"object_id","qualified_table","row_count","column_count","sensitive_named_column_count","domain","priority","sensitivity","useful_for_help_math_2_0","readable_jsonl_path","lossless_bcp_path"
"523148909","dbo.TimeInTask","8027300","8","0","behavior_session_notes","restricted_high","student_activity_or_outcome_data","Use only for de-identified aggregate analysis and to design the HELP Math 2.0 event, mastery, progress, and reporting models.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_523148909.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_523148909.bcp"
"1191675293","dbo.PreTestsQuestionsTemp","5211251","33","0","legacy_temp_import","reference_only","mixed_legacy_or_personal_data","Treat as duplicate, staging, or import-era data until reconciled with authoritative content tables; exclude from direct migration.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1191675293.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1191675293.bcp"
"1511676433","dbo.QuestionAnswered","4128639","5","0","assessment_outcomes_recommendations","restricted_high","student_activity_or_outcome_data","Use only for de-identified aggregate analysis and to design the HELP Math 2.0 event, mastery, progress, and reporting models.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1511676433.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1511676433.bcp"
"1570104634","dbo.LoginLogout","2368181","6","2","behavior_session_notes","restricted_high","student_activity_or_outcome_data","Use only for de-identified aggregate analysis and to design the HELP Math 2.0 event, mastery, progress, and reporting models.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1570104634.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1570104634.bcp"
"1207675350","dbo.PostTestsQuestionsTemp","2080844","33","0","legacy_temp_import","reference_only","mixed_legacy_or_personal_data","Treat as duplicate, staging, or import-era data until reconciled with authoritative content tables; exclude from direct migration.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1207675350.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1207675350.bcp"
"1269579561","dbo.Quizes","1911879","11","0","assessment_outcomes_recommendations","restricted_high","student_activity_or_outcome_data","Use only for de-identified aggregate analysis and to design the HELP Math 2.0 event, mastery, progress, and reporting models.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1269579561.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1269579561.bcp"
"1104722988","dbo.Student_Lesson_Assignments","1668035","4","0","assignments_activation_configuration","restricted_medium","student_teacher_or_school_links","Use the schema and aggregate relationships to design assignment, activation, and roster workflows; do not import raw historical links by default.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1104722988.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1104722988.bcp"
"176719682","dbo.Completed_Lessons","564170","5","0","assessment_outcomes_recommendations","restricted_high","student_activity_or_outcome_data","Use only for de-identified aggregate analysis and to design the HELP Math 2.0 event, mastery, progress, and reporting models.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_176719682.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_176719682.bcp"
"1717581157","dbo.ClassEnrollment","410487","40","3","accounts_organizations_classes","schema_only","direct_identifiers_or_credentials","Use only as a legacy entity-model reference for districts, schools, classes, teachers, students, and enrollment; do not migrate credentials or personal records.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1717581157.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1717581157.bcp"
"1172199226","dbo.Bookmarks","338438","5","0","behavior_session_notes","restricted_high","student_activity_or_outcome_data","Use only for de-identified aggregate analysis and to design the HELP Math 2.0 event, mastery, progress, and reporting models.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1172199226.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1172199226.bcp"
"1216723387","dbo.Students","247653","15","7","accounts_organizations_classes","schema_only","direct_identifiers_or_credentials","Use only as a legacy entity-model reference for districts, schools, classes, teachers, students, and enrollment; do not migrate credentials or personal records.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_1216723387.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_1216723387.bcp"
"187147712","dbo.Teacher_LoginLogout","145257","6","2","behavior_session_notes","restricted_high","student_activity_or_outcome_data","Use only for de-identified aggregate analysis and to design the HELP Math 2.0 event, mastery, progress, and reporting models.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_187147712.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_187147712.bcp"
"955150448","dbo.Completed_Tests","114687","7","0","assessment_outcomes_recommendations","restricted_high","student_activity_or_outcome_data","Use only for de-identified aggregate analysis and to design the HELP Math 2.0 event, mastery, progress, and reporting models.","extracted_NewHelpProgram_20210203/04_data_jsonl_gzip/data/T_955150448.jsonl.gz","extracted_NewHelpProgram_20210203/03_data_native/data/T_955150448.bcp"
