"relative_path","path_sha256","bytes","modified_utc","extension","category","priority","sensitivity","database_table","table_row_count","manifest_sha256","integrity_evidence","useful_for_help_math_2_0"
".DS_Store","e2eb93a61ffd7877ea5c751abcb3a618e8e2e9a2073a27f66d4114fe10819f86","8196","2026-07-25T05:30:13.240Z","","generated_system_file","low","none","","","","not_listed_in_existing_sha256_evidence","Not useful for HELP Math 2.0; safe to exclude from future archival packages."
"analysis/__pycache__/build_report_artifact.cpython-312.pyc","c5feeb89e41e6105fb25c062972fda95f43390853d2d0573a6d27a4443dca600","31753","2026-07-24T03:00:03.980Z","pyc","generated_system_file","low","none","","","","not_listed_in_existing_sha256_evidence","Not useful for HELP Math 2.0; safe to exclude from future archival packages."
"analysis/__pycache__/newhelp_content_audit.cpython-312.pyc","acd5ee61e4cf5ee294dd9bf23dd42aedf1827d6cba23ee3896602ae82d1d01b5","56257","2026-07-24T03:00:03.970Z","pyc","generated_system_file","low","none","","","","not_listed_in_existing_sha256_evidence","Not useful for HELP Math 2.0; safe to exclude from future archival packages."
"analysis/analysis_results.json","54019c48181a976b1d16bce91ed971fd5459ce9b555eba90bf915264aa63365b","31200","2026-07-24T02:51:19.430Z","json","aggregate_privacy_safe_analysis","high","aggregate_only","","","","not_listed_in_existing_sha256_evidence","Best first machine-readable summary of content, assessment, activity, integrity, and privacy findings."
"analysis/build_report_artifact.py","54fc02bc9d6125ffee3b27838152f3df278f418deea402b8d51bbfdcee44110e","32133","2026-07-24T02:59:19.990Z","py","aggregate_report_source","high","aggregate_only_or_code","","","","not_listed_in_existing_sha256_evidence","Builds or stores the stakeholder-facing aggregate report source."
"analysis/newhelp_content_audit.py","e76e16505a231db57541bd5d3f4fb8c3adf9170050cfeb3eb706356d562bdc70","38535","2026-07-24T02:51:44.190Z","py","aggregate_analysis_reproduction","high","code_only","","","","not_listed_in_existing_sha256_evidence","Reproduces the aggregate-only audit while intentionally suppressing personal values."
"analysis/NewHelpProgram_content_audit.ipynb","850bc367035eba161e5c304790404118d5ed02d9c01f0504d20872abd22ec8bd","3431","2026-07-24T02:50:22.290Z","ipynb","aggregate_analysis_reproduction","high","code_only","","","","not_listed_in_existing_sha256_evidence","Reproduces the aggregate-only audit while intentionally suppressing personal values."
"analysis/report_artifact.json","469256bbf990583968b37f9a9f0b347935719dccfc04793058d7f926177e9815","47381","2026-07-24T02:59:42.730Z","json","aggregate_report_source","high","aggregate_only_or_code","","","","not_listed_in_existing_sha256_evidence","Builds or stores the stakeholder-facing aggregate report source."
"extracted_NewHelpProgram_20210203/.DS_Store","b4e6005bae95d1d027892759143ed86fcbbebe1bd77d8bcd22fddf322049520f","10244","2026-07-25T05:30:13.240Z","","generated_system_file","low","none","","","","not_listed_in_existing_sha256_evidence","Not useful for HELP Math 2.0; safe to exclude from future archival packages."
"extracted_NewHelpProgram_20210203/00_backup_assessment/assessment_summary.md","650d7e2c176d532746a43666b72e6e7396bb68ee442cdd171571c326aa4181c8","1860","2026-07-23T20:29:06.120Z","md","backup_integrity_and_restore_evidence","high","infrastructure_metadata","","","","not_listed_in_existing_sha256_evidence","Establishes backup identity, SQL Server version, restore health, and DBCC integrity; not application content."
