animationId,assetId,canonicalAnimationId,isCanonical,sourcePath,sourceSha256,collection,grade,lesson,lessonTitleRaw,lessonTitleDisplay,section,pageNumber,titleEnglish,titleSpanish,domain,classificationStatus,referenced,unreferenced,variant,variantKind,shell,pairedFlaPath,swfSignature,swfVersion,stageWidth,stageHeight,fps,frameCount,durationMs,audioExactCount,audioGroupIds,migrationStatus
"course-g03-l01-fq-001","swf-b59922b3afee1db215038441d1bcdd255ac7c1a7dd75f4f36eb828c1b21771bb","course-g03-l01-fq-001","true","HELP_COURSES/ELMGR3/L1/FQ/L1FQ01.swf","b59922b3afee1db215038441d1bcdd255ac7c1a7dd75f4f36eb828c1b21771bb","course","3","1","Place Value","Place Value","FQ","1","Introduction","","assessment","confirmed","true","false","false","","false","HELP_COURSES/ELMGR3/L1/FQ/L1FQ01.fla","CWS","6","800","600","12","10","833.333333","0","[""course-g03-l01-fq-audio""]","discovered"
"course-g03-l01-fq-002","swf-8b2642a760cbe301f629fe5f66b88f551cb06944a3d4d2cd9c5125cc42e009f0","course-g03-l01-fq-002","true","HELP_COURSES/ELMGR3/L1/FQ/L1FQ02.swf","8b2642a760cbe301f629fe5f66b88f551cb06944a3d4d2cd9c5125cc42e009f0","course","3","1","Place Value","Place Value","FQ","2","Page 1","","assessment","confirmed","true","false","false","","false","HELP_COURSES/ELMGR3/L1/FQ/L1FQ02.fla","CWS","7","800","600","12","10","833.333333","0","[""course-g03-l01-fq-audio""]","discovered"
"course-g03-l01-fq-003","swf-0c05c6d63f3ab70c59757000b63fba1dada801210bef7f6486c0fbe0521148fe","course-g03-l01-fq-003","true","HELP_COURSES/ELMGR3/L1/FQ/L1FQ03.swf","0c05c6d63f3ab70c59757000b63fba1dada801210bef7f6486c0fbe0521148fe","course","3","1","Place Value","Place Value","FQ","3","Page 2","","assessment","confirmed","true","false","false","","false","HELP_COURSES/ELMGR3/L1/FQ/L1FQ03.fla","CWS","7","800","600","12","10","833.333333","0","[""course-g03-l01-fq-audio""]","discovered"
"course-g03-l01-fq-003-missing-audiobtn-march21-2015","swf-52771ab86eb87a7ec311ad1ccd5b9347025ae0f8328a982ad070af3c5dadc19a","course-g03-l01-fq-003-missing-audiobtn-march21-2015","true","HELP_COURSES/ELMGR3/L1/FQ/Missing_AudioBtn_March21_2015/L1FQ03.swf","52771ab86eb87a7ec311ad1ccd5b9347025ae0f8328a982ad070af3c5dadc19a","course","3","1","Place Value","Place Value","FQ","3","L1FQ03","","assessment","inferred","false","true","true","missing-audio-button-revision","false","","CWS","7","800","600","12","10","833.333333","0","[""course-g03-l01-fq-audio""]","discovered"
"course-g03-l01-gs-001","swf-88cba7a47de5343cc47028484a3cbd5cbdd6785ba2a3bd7d914646d6a658e940","course-g03-l01-gs-001","true","HELP_COURSES/ELMGR3/L1/GS/L1GS01.swf","88cba7a47de5343cc47028484a3cbd5cbdd6785ba2a3bd7d914646d6a658e940","course","3","1","Place Value","Place Value","GS","1","L1GS01","","number-sense-place-value","inferred","false","true","true","unreferenced-legacy","false","HELP_COURSES/ELMGR3/L1/GS/L1GS01.fla","CWS","6","800","600","12","10","833.333333","0","[]","discovered"
"course-g03-l01-gs-002","swf-0365097ba05bae67b5a8a01689d9b0cb7c71f542f689ac59b26ff203657dc908","course-g03-l01-gs-002","true","HELP_COURSES/ELMGR3/L1/GS/L1GS02.swf","0365097ba05bae67b5a8a01689d9b0cb7c71f542f689ac59b26ff203657dc908","course","3","1","Place Value","Place Value","GS","2","Game 1","","number-sense-place-value","confirmed","true","false","false","","false","","CWS","6","800","600","12","10","833.333333","1","[]","discovered"
"course-g03-l01-in-026","swf-4f17e29a9e9337f54052173f8900ed4e99c7b72e9a0a8f0ed25ea374ef98ed98","course-g03-l01-in-026","true","HELP_COURSES/ELMGR3/L1/IN/L1IN26.swf","4f17e29a9e9337f54052173f8900ed4e99c7b72e9a0a8f0ed25ea374ef98ed98","course","3","1","Place Value","Place Value","IN","26","Round Whole Numbers to the Nearest Thousands Using Rules","Redondeo de números a la millar más cercana usando reglas","number-sense-place-value","confirmed","true","false","false","","false","","CWS","6","800","600","12","10","833.333333","1","[]","discovered"
"course-g03-l01-in-027","swf-6fe305392709baecfec1cb481af1afa9affb6f520c67b7291482546bae0b9cb8","course-g03-l01-in-027","true","HELP_COURSES/ELMGR3/L1/IN/L1IN27.swf","6fe305392709baecfec1cb481af1afa9affb6f520c67b7291482546bae0b9cb8","course","3","1","Place Value","Place Value","IN","27","Round Whole Numbers to the Nearest Thousands Using Rules","Redondeo de números a la millar más cercana usando reglas","number-sense-place-value","confirmed","true","false","false","","false","","CWS","6","800","600","12","10","833.333333","1","[]","discovered"
"course-g03-l01-in-038","swf-070c1040f28dd34279fcc3599ad3cbe9bcc379dd84a8cbca1549a9591241b5a2","course-g03-l01-in-038","true","HELP_COURSES/ELMGR3/L1/IN/L1IN38.swf","070c1040f28dd34279fcc3599ad3cbe9bcc379dd84a8cbca1549a9591241b5a2","course","3","1","Place Value","Place Value","IN","38","Order Whole Numbers Problem Solving","Solución de problemas","number-sense-place-value","confirmed","true","false","false","","false","","CWS","6","800","600","12","10","833.333333","1","[]","discovered"
"course-g03-l01-ir-001-d7206542","swf-4bd03bd92756ebdaa712cafa16a6ed8fdc8c12d4d5db0e878edd0f16195f1467","course-g03-l01-ir-001-d7206542","true","HELP_COURSES/ELMGR3/L1/IR/L1IR01.swf","4bd03bd92756ebdaa712cafa16a6ed8fdc8c12d4d5db0e878edd0f16195f1467","course","3","1","Place Value","Place Value","IR","1","L1IR01","","number-sense-place-value","inferred","false","true","true","unreferenced-legacy","false","HELP_COURSES/ELMGR3/L1/IR/L1IR01.fla","CWS","6","800","600","12","10","833.333333","0","[]","discovered"
"course-g03-l01-ir-001-f1ec7620","swf-16cc9476a575b7b8a890e423b96e055a62def3c1c72e942e2a582e83ef5cf78c","course-g03-l01-ir-001-f1ec7620","true","HELP_COURSES/ELMGR3/L1/IR/L1RW01.swf","16cc9476a575b7b8a890e423b96e055a62def3c1c72e942e2a582e83ef5cf78c","course","3","1","Place Value","Place Value","IR","1","Introduction","","number-sense-place-value","confirmed","true","false","false","","false","HELP_COURSES/ELMGR3/L1/IR/L1RW01.fla","CWS","6","800","600","12","10","833.333333","0","[]","discovered"
"course-g03-l01-re-001","swf-576fb801c2a609f81a69e7fe783b84f56a0fd896b863aa94adb0ef636a97c9ba","course-g03-l01-re-001","true","HELP_COURSES/ELMGR3/L1/RE/L1RE01.swf","576fb801c2a609f81a69e7fe783b84f56a0fd896b863aa94adb0ef636a97c9ba","course","3","1","Place Value","Place Value","RE","1","L1RE01","","number-sense-place-value","inferred","false","true","true","auxiliary-review","false","HELP_COURSES/ELMGR3/L1/RE/L1RE01.fla","CWS","6","800","600","12","55","4583.333333","0","[]","discovered"
