sha256,size_bytes,action,relative_path,keep_relative_path,mtime_ns,mode_octal,reason
c81f27f33af2eb350961751c6ea5e64cd1540a02194b928d7c42fe38be703a2b,69851003,delete,Mike P. Zoom Meetings/2023-08-03 09.38.23 Meet w Mike Pirooz/audio1274421363(1).m4a,Mike P. Zoom Meetings/2023-08-03 09.38.23 Meet w Mike Pirooz/audio1274421363.m4a,1691027952000000000,0o664,reviewed exact documentary or media duplicate
c81f27f33af2eb350961751c6ea5e64cd1540a02194b928d7c42fe38be703a2b,69851003,keep,Mike P. Zoom Meetings/2023-08-03 09.38.23 Meet w Mike Pirooz/audio1274421363.m4a,Mike P. Zoom Meetings/2023-08-03 09.38.23 Meet w Mike Pirooz/audio1274421363.m4a,1691027952000000000,0o664,reviewed exact documentary or media duplicate
99ab104f1a42668507d4758920d1585d3b5ef85623d97da87746033e0853b51e,21239856,delete,"Ed Metz HM 2 concepts, video and Phase 1 significant sections/HM 3 Minute Video Elements for Ed Metz/help_program_-_math__promo_ copy.mp4",HELP Math promotional materials/help_program_-_math__promo_ copy.mp4,1667348558000000000,0o664,reviewed exact documentary or media duplicate
99ab104f1a42668507d4758920d1585d3b5ef85623d97da87746033e0853b51e,21239856,keep,HELP Math promotional materials/help_program_-_math__promo_ copy.mp4,HELP Math promotional materials/help_program_-_math__promo_ copy.mp4,1362523856000000000,0o664,reviewed exact documentary or media duplicate
4ab268b09743f30a9fa08e265af4441ab5d57b78661477ec85238f7aa141c640,5953536,keep,HM Reboot _24 BF/For Bill/HELP  Math PD presentation 2013.ppt,HM Reboot _24 BF/For Bill/HELP  Math PD presentation 2013.ppt,1556596260000000000,0o664,reviewed exact documentary or media duplicate
4ab268b09743f30a9fa08e265af4441ab5d57b78661477ec85238f7aa141c640,5953536,delete,HM Screenshots for Brandon/HELP  Math PD presentation 2013.ppt,HM Reboot _24 BF/For Bill/HELP  Math PD presentation 2013.ppt,1556596260000000000,0o664,reviewed exact documentary or media duplicate
4ab268b09743f30a9fa08e265af4441ab5d57b78661477ec85238f7aa141c640,5953536,delete,HM Screenshots for Brandon/HM Screenshots for Brandon2/HELP  Math PD presentation 2013.ppt,HM Reboot _24 BF/For Bill/HELP  Math PD presentation 2013.ppt,1556596260000000000,0o664,reviewed exact documentary or media duplicate
943d14bcf745855eb072c1a7f9541e657d9740009447882c0ee9436e3f0d8ad4,4334107,delete,HelpMath_Latest_ Flyer(1).pdf,HelpMath_Latest_ Flyer.pdf,1582190662000000000,0o664,reviewed exact documentary or media duplicate
943d14bcf745855eb072c1a7f9541e657d9740009447882c0ee9436e3f0d8ad4,4334107,keep,HelpMath_Latest_ Flyer.pdf,HelpMath_Latest_ Flyer.pdf,1652838450000000000,0o664,reviewed exact documentary or media duplicate
17f607d253c4583554dec2283f26cb6364deb2584ebcf15992bf6d4e6371b75b,2103883,keep,HELP Math Istation 2021/HELP Math 5_2021 IHAD.pptx,HELP Math Istation 2021/HELP Math 5_2021 IHAD.pptx,1621643176000000000,0o664,reviewed exact documentary or media duplicate
17f607d253c4583554dec2283f26cb6364deb2584ebcf15992bf6d4e6371b75b,2103883,delete,HM Reboot _24 BF/For Bill/HELP  Math 5_2021 Istation.pptx,HELP Math Istation 2021/HELP Math 5_2021 IHAD.pptx,1621643006000000000,0o664,reviewed exact documentary or media duplicate
6cbd93adc4768b44d506362e7d948782e78c79353efb7f484af47af78b67bbab,747868,delete,HELP Math Trials & Leads/Personal/Personal Finance/Taxes 2025 JR-JB/For Bill Patton/Merrill Multiple_Statements_Download.pdf,HELP Math Trials & Leads/Personal/Personal Finance/Taxes 2025 JR-JB/Merrill Multiple_Statements_Download.pdf,1770681476000000000,0o664,reviewed exact documentary or media duplicate
6cbd93adc4768b44d506362e7d948782e78c79353efb7f484af47af78b67bbab,747868,keep,HELP Math Trials & Leads/Personal/Personal Finance/Taxes 2025 JR-JB/Merrill Multiple_Statements_Download.pdf,HELP Math Trials & Leads/Personal/Personal Finance/Taxes 2025 JR-JB/Merrill Multiple_Statements_Download.pdf,1770681476000000000,0o664,reviewed exact documentary or media duplicate
f1340f26372304dae816488965b710b3da087330cce58b2029ad69177cf9e35f,180552,delete,HM 2.0 Alignments for LH/Grades 3-5 HM TEKS Crosswalk alignments for 2012  2.xlsx,HM 2.0 Alignments for LH/Grades 3-5 HM TEKS alignments for 2012 .xlsx,1567740282000000000,0o664,reviewed exact documentary or media duplicate
f1340f26372304dae816488965b710b3da087330cce58b2029ad69177cf9e35f,180552,delete,HM 2.0 Alignments for LH/Grades 3-5 HM TEKS Crosswalk alignments for 2012 .xlsx,HM 2.0 Alignments for LH/Grades 3-5 HM TEKS alignments for 2012 .xlsx,1567740282000000000,0o664,reviewed exact documentary or media duplicate
f1340f26372304dae816488965b710b3da087330cce58b2029ad69177cf9e35f,180552,keep,HM 2.0 Alignments for LH/Grades 3-5 HM TEKS alignments for 2012 .xlsx,HM 2.0 Alignments for LH/Grades 3-5 HM TEKS alignments for 2012 .xlsx,1567740282000000000,0o664,reviewed exact documentary or media duplicate
f1340f26372304dae816488965b710b3da087330cce58b2029ad69177cf9e35f,180552,delete,HM Reboot _24 BF/For Bill/Grades 3-5 HM TEKS alignments for 2012 .xlsx,HM 2.0 Alignments for LH/Grades 3-5 HM TEKS alignments for 2012 .xlsx,1423543080000000000,0o664,reviewed exact documentary or media duplicate
