asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
sprite-348,348,animation,vector-morph-button-timeline,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR3/L1/TS/L1TS08.swf,1-747,work/course-assets/course-g03-l01-ts-008-main-canvas/DefineSprite_348/frames.html,f0c949f42525eed2253280a4f5f04dc44814cddc558295046d9b3f9ba89f237b,FFDec Canvas HTML,2040x1239,,"one-indexed local frame n maps to zero-indexed export frame n-1; source root placement (8247,5658) twips; stage render offset (-834.25,-367.1)",machine-extracted,owner-provided SWF,"Structural drawing source only; does not execute ActionScript, audio, scoring, or host state"
safe-canvas-runtime,348,animation,generated-deterministic-canvas-adapter,work/course-assets/course-g03-l01-ts-008-main-canvas/DefineSprite_348/frames.html,1-747,public/flash-assets/courses/course-g03-l01-ts-008/canvas-renderer.js,77373bbb8f8511fd657048341507eea5bac314ff112d3ca35f339eefc1a84fac,JavaScript,800x600 backing canvas,,"310 drawing functions allowlisted; 13 embedded data images; en/es render the same untranslated source pixels; no AVM1 execution/timers/network/storage",engineering-candidate,derived from owner-provided SWF,"Not a Spanish translation, authoritative runtime, baseline, audio implementation, or strict implementation"
bilingual-visual-source-disposition,,,hash-bound-audit-disposition,scripts/build-ts008-bilingual-visual-disposition.mjs,,migrations/course-g03-l01-ts-008/audit/bilingual-visual-source-disposition.json,f5391c19d05ce96859400d7d900b689a09818c802f9d13a6ade9c57645c25e73,JSON,,,generated from the preserved SWF complete FFDec script export scenario inventory and course XML,machine-verified,derived audit evidence,"Permits identical untranslated source pixels only for root-standalone and source-drawing-default in en/es; every acceptance effect remains false"
host-function-binding,,,hash-bound-static-host-function-audit,scripts/build-ts008-host-function-binding.mjs,,migrations/course-g03-l01-ts-008/audit/host-function-binding.json,444b49203626ed196a59f77f9164158e47a450bb448d1f24bb40b7d3f13a068e,JSON,,,binds preserved child scripts and same-lesson index_local host feedback quiz glossary Spanish-audio and Replay function bodies,machine-verified,derived audit evidence,"Static source contract only; random mapping natural state scoring synchronization full Replay baseline RMSE and acceptance remain unresolved"
candidate-contact-sheet,348,animation,implementation-review-sheet,public/flash-assets/courses/course-g03-l01-ts-008/canvas-renderer.js,"1;295;434;550;659;728;747",migrations/course-g03-l01-ts-008/evidence/contact-sheets/implementation-source-drawing-keyframes.png,b7595df84c164b759be2329afb4eb6f425d3de76b80f64c020c10a8002de8a84,PNG,832x1392,,"seven candidate key states montaged without baseline pairs",candidate-only,derived implementation evidence,"No RMSE or visual-parity claim"
root-frame-manifest,root,root,source-runtime-root-frame-implementation-manifest,migrations/course-g03-l01-ts-008/baseline/adobe-flash-player-32-standalone-default.json,1-10,public/flash-assets/courses/course-g03-l01-ts-008/root-frames/manifest.json,6a9fcafd21632ebe39fefd21310e230ed79a31d41283a5908f2f27e4d3e01901,JSON,10 frames,,"hash-bound standalone English root-frame asset mapping",source-runtime-evidence,derived from owner-provided SWF,"Strict acceptance effect none; not natural host traversal or interaction/audio evidence"
root-frame-0001,root,root,source-runtime-root-frame,migrations/course-g03-l01-ts-008/baseline/adobe-flash-player-32-standalone-default.json,1,public/flash-assets/courses/course-g03-l01-ts-008/root-frames/frame-0001.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0002,root,root,source-runtime-root-frame,migrations/course-g03-l01-ts-008/baseline/adobe-flash-player-32-standalone-default.json,2,public/flash-assets/courses/course-g03-l01-ts-008/root-frames/frame-0002.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0003,root,root,source-runtime-root-frame,migrations/course-g03-l01-ts-008/baseline/adobe-flash-player-32-standalone-default.json,3,public/flash-assets/courses/course-g03-l01-ts-008/root-frames/frame-0003.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0004,root,root,source-runtime-root-frame,migrations/course-g03-l01-ts-008/baseline/adobe-flash-player-32-standalone-default.json,4,public/flash-assets/courses/course-g03-l01-ts-008/root-frames/frame-0004.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0005,root,root,source-runtime-root-frame,migrations/course-g03-l01-ts-008/baseline/adobe-flash-player-32-standalone-default.json,5,public/flash-assets/courses/course-g03-l01-ts-008/root-frames/frame-0005.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
