asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
fq-review-canvas-adapter,1168,sprite1168,generated-canvas-adapter,work/course-assets/course-g03-l06-fq-002-review-main-canvas/DefineSprite_1168/frames.html,,public/flash-assets/courses/course-g03-l06-fq-002-review/canvas-renderer.js,cd1a34c8873c50a33722e538106120d4bbd7277f974c0d73f712db58193e86ac,JavaScript,800x600,,stage offset -712.8/-71.4,source-derived,owner-provided SWF,"Static FFDec drawing adapter only; no AVM1, audio, network, timers, or reachable-state claim."
fq-review-canvas-manifest,1168,sprite1168,generated-asset-manifest,migrations/course-g03-l06-fq-002-review/audit/canvas-adapter-spec.json,,public/flash-assets/courses/course-g03-l06-fq-002-review/manifest.json,818b593ac460a072355a441014caa28a1d57bd700392f3cfa86d52ea98709806,JSON,manifest,,,source-derived,owner-provided SWF,"Binds the Canvas adapter inputs, output, safety boundary, and unresolved behavior."
fq-review-root-manifest,,root,root-frame-sequence-manifest,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/manifest.json,e9ea73b1f75a3adeb23cfc65293f48ba6aa30ab467a268266b17cbd6fa67921e,JSON,10 frames at 800x600,,,original-runtime-capture,owner-provided SWF,"English standalone root visuals only; no natural-host, Spanish, interaction, score, audio, Replay, or acceptance claim."
fq-review-root-0001,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,1,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0001.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0002,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,2,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0002.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0003,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,3,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0003.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0004,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,4,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0004.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0005,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,5,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0005.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0006,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,6,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0006.png,804c7c47b8e0b8954b9b142d4601d1a00bae54ecbdfb77a09f357ea25ad94bef,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0007,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,7,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0007.png,804c7c47b8e0b8954b9b142d4601d1a00bae54ecbdfb77a09f357ea25ad94bef,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0008,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,8,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0008.png,804c7c47b8e0b8954b9b142d4601d1a00bae54ecbdfb77a09f357ea25ad94bef,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0009,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,9,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0009.png,804c7c47b8e0b8954b9b142d4601d1a00bae54ecbdfb77a09f357ea25ad94bef,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
fq-review-root-0010,,root,root-runtime-frame,migrations/course-g03-l06-fq-002-review/baseline/adobe-flash-player-32-standalone-default.json,10,public/flash-assets/courses/course-g03-l06-fq-002-review/root-frames/frame-0010.png,804c7c47b8e0b8954b9b142d4601d1a00bae54ecbdfb77a09f357ea25ad94bef,PNG,800x600,,identity,original-runtime-capture,owner-provided SWF,Lossless Adobe standalone deterministic-step frame.
