asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
ir001-safe-canvas-runtime,58,Animation03,generated-canvas-runtime,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,1-142,public/flash-assets/courses/course-g04-l01-ir-001/canvas-renderer.js,2f8e103fd39bfbe957d81ab6aeae07693c40f01afc7cd5c09101def5417d3043,JavaScript Canvas,800x600,,"Hash-bound allowlisted extraction of FFDec vector/text drawing functions; legacy scripts/network/timers removed",engineering-candidate,owner-provided-source,"The source-shared untranslated visual is exposed for en and es requests; no audio, Spanish translation, host, human, or owner fidelity acceptance"
ir001-safe-canvas-manifest,58,Animation03,generated-asset-manifest,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,1-142,public/flash-assets/courses/course-g04-l01-ir-001/manifest.json,e0d287f831945df837872d6e31596adce9ed00484bef9697831846b49b704f62,JSON,not-applicable,,"Generator inputs, source hashes, safety allowlist, timeline mapping, source-shared visual languages, and unresolved obligations",machine-verified,owner-provided-source,"Strict acceptance effect is none"
ir001-root-standalone-manifest,root,root,authoritative-standalone-raster-manifest,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,1-10,public/flash-assets/courses/course-g04-l01-ir-001/root-standalone/manifest.json,081993969579c450acde4310142e9a0cf6fad259276a1ddbef69d801b5c3a444,JSON,not-applicable,,"Binds ten packaged root PNGs to the Adobe Flash Player 32 standalone baseline manifest and untouched SWF hash",machine-verified,owner-provided-source,"English standalone root only; InternalPreloader/course-shell behavior remains unresolved; strict acceptance effect is none"
ir001-root-frame-0001,root,root,authoritative-standalone-capture-raster,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,1,public/flash-assets/courses/course-g04-l01-ir-001/root-standalone/frame-0001.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"Byte-identical package copy of the hash-bound Adobe standalone frame",authoritative-standalone-only,owner-provided-source,"No Spanish, audio, random-branch, or course-host claim"
ir001-root-frame-0002,root,root,authoritative-standalone-capture-raster,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,2,public/flash-assets/courses/course-g04-l01-ir-001/root-standalone/frame-0002.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"Byte-identical package copy of the hash-bound Adobe standalone frame",authoritative-standalone-only,owner-provided-source,"No Spanish, audio, random-branch, or course-host claim"
ir001-root-frame-0003,root,root,authoritative-standalone-capture-raster,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,3,public/flash-assets/courses/course-g04-l01-ir-001/root-standalone/frame-0003.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"Byte-identical package copy of the hash-bound Adobe standalone frame",authoritative-standalone-only,owner-provided-source,"No Spanish, audio, random-branch, or course-host claim"
ir001-root-frame-0004,root,root,authoritative-standalone-capture-raster,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,4,public/flash-assets/courses/course-g04-l01-ir-001/root-standalone/frame-0004.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"Byte-identical package copy of the hash-bound Adobe standalone frame",authoritative-standalone-only,owner-provided-source,"No Spanish, audio, random-branch, or course-host claim"
ir001-root-frame-0005,root,root,authoritative-standalone-capture-raster,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,5,public/flash-assets/courses/course-g04-l01-ir-001/root-standalone/frame-0005.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"Byte-identical package copy of the hash-bound Adobe standalone frame",authoritative-standalone-only,owner-provided-source,"No Spanish, audio, random-branch, or course-host claim"
ir001-root-frame-0006,root,root,authoritative-standalone-capture-raster,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,6,public/flash-assets/courses/course-g04-l01-ir-001/root-standalone/frame-0006.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"Byte-identical package copy of the hash-bound Adobe standalone frame",authoritative-standalone-only,owner-provided-source,"No Spanish, audio, random-branch, or course-host claim"
ir001-root-frame-0007,root,root,authoritative-standalone-capture-raster,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L1/IR/L1RW01.swf,7,public/flash-assets/courses/course-g04-l01-ir-001/root-standalone/frame-0007.png,99c2a4bfa8bb7aae4d8bdaf1db33644151d95d59bb234b40bb08a1dd32a181b8,PNG,800x600,,"Byte-identical package copy of the hash-bound Adobe standalone frame",authoritative-standalone-only,owner-provided-source,"No Spanish, audio, random-branch, or course-host claim"
