asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,f97580cfb20f90358edd828497fdad93a68c5cf0e16fdae4f31f0f4963503688,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=31; exactTagIdentitySha256=97310ae42035e866d70fc902630753e44c0ee7d666ee33ae5cbde748a181a586; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00009,2,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,05774199c35c8ed33933edc55e62443b03dbe2b8b0947cbed65f6035c5eeafc8,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=36; exactTagIdentitySha256=a8e42e78a6faa6d09f1087b219b1652e2354a012e9a6d22c3f3727fa4a40dd96; declaredFrameCount=3; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00018,3,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,bba7fc59084b833ff92c012a666e276357bacb81d6bb675e48a3849ff7039394,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=16; exactTagIdentitySha256=929303d501d236c4f421f17f000ff344ee0aefe43b4e77f4cbd1241e3aa1cd22; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00023,4,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,d24a170c55c2a01ec72cd79c9a785c4b48ef6a8c3cae743296ff638e8ef8e583,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=36; exactTagIdentitySha256=6fee2d4732a996e905eb92ad1fb6818d79a5b8eb8bbabbf9f0adf48fa25bd045; declaredFrameCount=3; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00032,5,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,8083497ce65f057f97883ff367bb65d5374abe2086e300676a1689545df58145,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=15; exactTagIdentitySha256=08ec3f4a9bd5c04ecdf6d16a67348e6ff9d3e075f0fc409d0481552237ebcfa2; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00047,6,Bedrock,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,e1951af8420a2f3e47030f5edf33059b7bb5cf7c119f1aae339cdbf84816a6ff,DefineFont2,,5,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=324; exactTagIdentitySha256=42eddfdef360bc1c0cbad6bbc38fcd4ac451df847f9ddfc11486ea8501b9f4bb; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00048,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,ba529dcfab087095e5828287710591218fe7d75b5f122cd2e9e9562b8850ec85,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=33; exactTagIdentitySha256=a8e2635d1c1938d04e1572882ff3349175fbe1d8a01b32ee4a18ccb5b9f97081; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00049,8,Bertram LET,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,fb7d932e5dd6a0177713b787f3a47ca5a426765cc8d8ff81c917247271870a02,DefineFont2,,5,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=577; exactTagIdentitySha256=e45b5e10eb60dc7169219752bd696cffb10dc658e8f23449f6043b1fece88421; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00050,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,296759633ab94f904a82d57dc22e76080719c03e15e2f179b8d28d9032104a88,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=34; exactTagIdentitySha256=8d7315f1484294cc4cd6b447513c1973605079ad199887071d97bc15045ed7f8; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00051,10,Calligraph421 BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,d3a5b64c8d2f589499213645bc5adb82438a75456d4889a21cb792ff981648ff,DefineFont2,,8,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=827; exactTagIdentitySha256=5adbae8a4a31fef9d372b7997c3b62d69103cae23b45ec06f59eb49593feb79a; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00052,11,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,c2c9463322d7ad50ba7816dff12cab1bbdef13e3c3e0cdf2e6d4b383654f8d56,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=52; payloadBytes=41; exactTagIdentitySha256=c3e4dfaf8ca8ce81b868534641e36d438c2e1e633187804f0fe39c08d362bb4c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00053,12,Bobcat,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,28fc2dcdb2e2a97af89331d02790522b42780ec2d8be4fb35e77503f6e5f44e8,DefineFont2,,6,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=53; payloadBytes=595; exactTagIdentitySha256=9d8acd657c95f3061b22e0ad5779ba922176f4207d0db97c816de3637c655394; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00054,13,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,46697ee6060155c63c533e6f25e46160299580d2a504077b542302e78f7e2a54,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=54; payloadBytes=40; exactTagIdentitySha256=f7160c7e951b5a64e15cd6c37a5b1e67e96368599f3f60c237802933c0c9edb0; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00055,14,Boink LET,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,342251afd0f4c0e67a46f85ac50263c8c09d8a160958d4f9de6dc92b53d672d1,DefineFont2,,8,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=55; payloadBytes=506; exactTagIdentitySha256=e3c3c8eed7fca1af921caac34e25ea0168cfcd11edcc0a78cb16d8c8b9dc1cf0; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00056,15,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,a59f9c46cc37dda1d395e3ea94f948665b96bdb6e2b4325eaef72d31bb43f6cc,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=56; payloadBytes=43; exactTagIdentitySha256=78c1ac29a909e809d2c4df05c2804582e4dc61395326ea35bb854d61e4772a58; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00057,16,Bullpen 3D,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,af6dc2cffd8535d340fb691dbab095459b421617f54307d8ab91778c69e0cacd,DefineFont2,,3,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=57; payloadBytes=596; exactTagIdentitySha256=2e9a8c4c778561330c0367e418722376eb86d3a47d0b316d9e9bbe9180f12564; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00058,17,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,832959ad81835545fb55f5f5209953467ca1bf399a9e448ff53e2a08159cea45,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=58; payloadBytes=34; exactTagIdentitySha256=c760a509abb4ddf5397f11234951fbb4a47307c87646005f27dadd32e5e7bd61; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00059,18,Bubbleboy,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,3f0a9252f473876c3550c0c5b3f4ba6b3e752d9267c2c5c14488f5e3aec3b8bd,DefineFont2,,6,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=59; payloadBytes=679; exactTagIdentitySha256=54680fe32dd61910916efb488eb0ae79d0160c0612460e44e3a901181e4dabb6; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00060,19,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,978749ef607ca8304953189f963dfee54bf919b766bb0535dd3f91518ad28583,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=60; payloadBytes=37; exactTagIdentitySha256=2dcc14ec3a7a5a812df7094bb7d281b39120d16ace48f3c789e77abbf1c4c016; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00061,20,Arabolical,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,b19fe86e88a2073dedd8aaa8154f64d7482a5c9d19897c9bce13e133d651c40d,DefineFont2,,31,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=61; payloadBytes=3368; exactTagIdentitySha256=8691455711b342fcb21b6a28eac854a8e6a92e6692826b4eff2d52abd2ba310e; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00062,21,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/L3FQ01.swf,,,95bac6b343a01e12f520068114385bb8011138132b5ae6892baab731bc0c5a8c,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=62; payloadBytes=216; exactTagIdentitySha256=7b6afd2a7c592518b27e528795801dd961f009eceee3a7d0ae7243679c9c31e7; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
