cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-001,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q1.mp3,616ca80335bbf1b375526a7eae91cd121b90677cfa73d7085201881671ed1fb5,,,catalog association only; runtime cue is unresolved,13113.437,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-002,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q10.mp3,d9e4ad6c7450e9047bd043a6b62289cc76714b2c63c9591fa7401a18ef934533,,,catalog association only; runtime cue is unresolved,4284.063,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-003,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q10A.mp3,fb0a0f90c88bf045d10a0884c561f95589e902465cc7a5f248dfc645001d29f6,,,catalog association only; runtime cue is unresolved,731.375,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-004,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q11.mp3,3ed2f92ae3b18340f2e0755e84f68ef5a8fbbeadfe46edd9ca9c165a6d01780a,,,catalog association only; runtime cue is unresolved,3892.187,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-005,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q11B.mp3,328a6141436669a1609a52c8617aac6c7a668ae1f7e4054bfe85eb1022559099,,,catalog association only; runtime cue is unresolved,757.5,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-006,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q11C.mp3,99c0888db82a500c3cf85f6938ad071801e8848bcd1f4a07437f0f7a6fa823ea,,,catalog association only; runtime cue is unresolved,757.5,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-007,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q11D.mp3,2a017f6d9684407ce28586d37b7c4bb2137c75951e330c7fa2928cd1a7463513,,,catalog association only; runtime cue is unresolved,731.375,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-008,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q12.mp3,b70bb528415f6ee2d168137305ca3c5fff047f2892a1a57ad0b35f9cb0da36f3,,,catalog association only; runtime cue is unresolved,4075.062,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-009,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q12B.mp3,8534e85265bf0a16fbe53fe3b1669a53170097f852a1995ed11248fd81935a5c,,,catalog association only; runtime cue is unresolved,731.375,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
catalog-audio-010,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/FQ/EA/Q13C.mp3,85fc81b663ae362d5c6d9d19d46a85eccfec12933551c8a6420d2cf446284cf5,,,catalog association only; runtime cue is unresolved,5381.188,mp3,1,44100,,"association=catalog-shared-group; ffprobe/ffmpeg technical probe passed; normalized-language candidate=en; spoken language, cue, synchronization, listening quality, and acceptance are not established."
