asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,7f5ac73b66af2019ba920bfb4ef9fa9574c1f28c060ee7c06390bb02b5040ac3,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=105; exactTagIdentitySha256=ec3ef885f4bd1212d717ee9dc54e09c0971aa7a3de96582049e01384b69d1697; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00004,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,176ff3024801a34a294540512016d21bef8d1eb5a2198c73ef4b488d1c518bbf,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=4; payloadBytes=55; exactTagIdentitySha256=00d91beac09250d97f9b22bbb646dda39b83e0582f6ad00a1875dd12092660c6; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00005,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,a03baf02b6b1426fde4bc1bf925b39616911ebefc026e7b870d23f006b255753,DefineFont2,,45,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=5; payloadBytes=3242; exactTagIdentitySha256=91ff5d032a6f405b7182600637628956bab5b7cb2550cea24b9e42fb191f4a8c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00006,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,8842c2653fe111fc3ebdd9f18302a02b5a656dce9525308b30331f7cedb68b41,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=6; payloadBytes=37; exactTagIdentitySha256=9b1ec401d9db83fc7896f568ac955f3c74ebd4220b22546d3958fec750abdf7e; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00007,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,416e664b7796a0bcd6508468f7a31e1f80f11e3247fdb67ee8a4f910ef5a2f5c,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=7; payloadBytes=64; exactTagIdentitySha256=1145a93d8b283a71178f5d646ab2e065980fabf015581daea1efd1cc74eec2f0; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00008,6,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,c5a738121d6e797bcacb60b4071b654dd22ae79269f4cf2b8209962d13a46d12,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=8; payloadBytes=282; exactTagIdentitySha256=637a06ba7e796584168abe0d440bfac23a026ee2d80045c3f518bc974c8bce6a; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00009,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,97b5ac18f6e8d3fa152e2676f6332cde14a18e9b35e5eaeab7fa1ab3fe7622c1,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=289; exactTagIdentitySha256=1a25db4eba3db9613709c8edfc6d837133b99a5e468f591a945144c078a67ba9; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00010,8,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,9ea700539ca7af79716bf75f09c0ecbe0222535a8835b05c5a524ae80d12e0d8,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=10; payloadBytes=340; exactTagIdentitySha256=25af907b59ca643c63f7d3840371762c9595618d3422f1ffe0e6abf22cf8f21f; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00011,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,1006b4f328fdd7c8f74b42a174f6aee3d0c3e6ad0b4b23de72de72182ec4fc9b,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=34; exactTagIdentitySha256=8969384eb8e179e324209501af6c410f4b069cec96ffa6d3b2c71f8f1c41ee14; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00012,10,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,bae35772687aded097ab9ac646d168e509f3c3ffd7c6a5224f63cdd691f3dcc6,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=2040; exactTagIdentitySha256=39f27e51bfe9f1395f9afb049454f0f2c0dde89ce8c06c9bad8bd3a7b590d174; declaredFrameCount=5; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00027,11,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,88068f9ecb11f79a72ddb26ed853628201b9cf8eab55feb7ae28be90d4d4c43d,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=176; exactTagIdentitySha256=617b1a3ce848f15aa38588fe4cd50709d86ee01afddec77d7f941c2582a00504; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00028,12,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,66631b9ffe3fe43ef6a307b5fd045c97feb019e844190690db78a97b86313f50,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=36; exactTagIdentitySha256=8eea77c8b8546e93eb1cb622ea2ca98231b28fba1ffaf7edb085830373e585ae; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00029,13,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,f33c427f1f3c19fd9dc15c12600e4137d499e8d785d77512eac68752153dd7fe,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=182; exactTagIdentitySha256=2678df72b72e9b96054770fc4db44411bb8f4429ebc70b1c85906f10f91ac6c5; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00030,14,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,bf388f7027f199607c67d74d48754cdb5059b5b35bb9f13eff2bc39c90a18bae,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=118; exactTagIdentitySha256=05bf8a07dc3d6a9c988b9584b6b7592ced7c81ab5bffb0dc7bebac7d67a3aa10; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00031,15,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,55bba22684efb497aa97264a0e749acd5aa119aa042366e4e1e527a828375c22,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=214; exactTagIdentitySha256=d865d8304dd302e56d0a99fdb8fed693c98f0bac07525681df0a706d2e33dcae; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00032,16,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,75183384409df4fdf8733ca7b2b72755608f132623a04d76fb5fcafbcb7b7115,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=31; exactTagIdentitySha256=7ee1d68717b22686759f07821ed66070cc86638249a9295b2d6fa8c24ad15b90; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00033,17,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,81a29b48002f28054e74db55f96d4f7a62b186a0f30328ffbf9ded6b3d164a35,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=184; exactTagIdentitySha256=d9a690401d12398774cd47b99d92fa995711f6be5be312f96f7cbb37e58ddc52; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00034,18,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,33f9ed573ed324390460c23e8a205e1d1344dce2ad89be9a63cc89ab6b1ab99c,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=34; payloadBytes=184; exactTagIdentitySha256=165091903c543f5cb55886e23ea45604c868e01aff9df10c07ea1ec9ccaa6a25; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00035,19,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,a5192a32a805e69b8aaa508163e06a306f196c8f6ee53e13650a30a752fb4339,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=119; exactTagIdentitySha256=9267f94fd895176e32c830a8670e6ce5b313600e01dffb2b3ee020004746b6e1; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00047,20,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,94f165c3867a800817bdbcd25ac28563ecca53540be86cff8a6d9d790b13dcb5,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=170; exactTagIdentitySha256=5650e0fa55d2a354f1937ab308d1d6038aa9073a449f466c3e4b1abde451bbdd; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00048,21,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,42d3b131533009da7f55c39ef4bf7e008f6429359fda090abeaa5a17dc3453ee,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=97; exactTagIdentitySha256=f9c8bce805fe89114bfa10fc19110ef67feb39a572f78a0c811fcf739a51877f; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00049,22,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,96f50457bd5252228785dc0f5efcffb3cb4d853358aeb7c5ad151e653d2adfe4,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=53; exactTagIdentitySha256=9979ce64793612f11ed47a9c482c15c6ebb75f9ab48e2984d4615ee8cf1ae4c8; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00050,23,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,e539dc4b483418537170aa0fb4f9d1cd5ca9297d69420beabf6ed990136f38ba,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=53; exactTagIdentitySha256=f93f52a470b0246660e53e1c921559710dae1db68c9bed377b90e4812075ad5c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00051,24,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,c59a647255b80460b4ea75d671a3df6557c30da4ddd5d0b857c435c209cd012a,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=96; exactTagIdentitySha256=7393d24a45ea385d2b4bd4bae18b4f5f2ccaa5c3721352f11c8ccbe5333ffee3; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00052,25,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,9b76e0f0288b0b68a3053b3b52458557bdb7aa90f6b6ac7b534885ce23814dd3,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=52; payloadBytes=47; exactTagIdentitySha256=5ae2e68ffc36775da5c31c661997acfca2481c112d5b6f3476f9049a397c0380; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00062,26,Arial Baltic,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,9425f9741808372fb641e206ac86376169ddeba998449268d514974027d9620d,DefineFont2,,18,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=62; payloadBytes=1288; exactTagIdentitySha256=eeafb34a23dd168e73c3af47280b20aac5e9c6d97f3b77b2c29fd881c71939ef; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00063,27,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf,,,cf294d4001c5de5ddd3607bfbc0c8ce81888c75edb8813e83c6d91414f47c587,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=63; payloadBytes=75; exactTagIdentitySha256=9861dd9ffdc9ca8666e32ecea2847f2e0abc3ffb36c48fe914e8d4028cca96ff; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
