cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/SA/L3IN04.mp3,790c01a05ca5dde6f4b65d703111f0056afb6cf56f1717df6649eb11d7593ae6,,,catalog association only; runtime cue is unresolved,11376,mp3,1,48000,,"association=matching-basename; ffprobe/ffmpeg technical probe passed; normalized-language candidate=es; spoken language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-001,und,artifacts/g4-l3-embedded-audio/sha256/e5/e551e71005de2df6e95d44ca10fba65b6ae0131032336e67b2609c71b798e8cf.mp3,e551e71005de2df6e95d44ca10fba65b6ae0131032336e67b2609c71b798e8cf,1,sprite-53,static SoundStreamHead frame in owner domain; runtime reachability unresolved,4368,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-1/source-order-1; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-002,und,artifacts/g4-l3-embedded-audio/sha256/8b/8b843d72ae1de52bef4e2b22e65f6356f97dd115d8795bf9b3df69d87c3d16e7.mp3,8b843d72ae1de52bef4e2b22e65f6356f97dd115d8795bf9b3df69d87c3d16e7,1,sprite-55,static SoundStreamHead frame in owner domain; runtime reachability unresolved,1560,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-2/source-order-2; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-003,und,artifacts/g4-l3-embedded-audio/sha256/3d/3dda8c412ae366891bd7ce7f1603c70f4ec8438806191c75a25328963fdb8ee7.mp3,3dda8c412ae366891bd7ce7f1603c70f4ec8438806191c75a25328963fdb8ee7,1,sprite-72,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2210,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-3/source-order-3; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-004,und,artifacts/g4-l3-embedded-audio/sha256/e5/e5c99e029d9df7717bc7755b5f4660841ad3f453d10bb8dbc8010d69b5a653b6.bin,e5c99e029d9df7717bc7755b5f4660841ad3f453d10bb8dbc8010d69b5a653b6,1,sprite-84,static SoundStreamHead frame in owner domain; runtime reachability unresolved,,adpcm,,5512,,"unitReferenceId=course-g04-l03-in-004/sound-stream-4/source-order-4; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=adpcm; probeStatus=ffprobe-parse-failed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-005,und,artifacts/g4-l3-embedded-audio/sha256/7e/7e9810de5390cdc982dac2795e046343157a6ad9fe4a2ab13e1020b401b2ad11.mp3,7e9810de5390cdc982dac2795e046343157a6ad9fe4a2ab13e1020b401b2ad11,1,sprite-98,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2470,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-5/source-order-5; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-006,und,artifacts/g4-l3-embedded-audio/sha256/c9/c9502f3d979684587046242dc9022b8aa89e89c72688dfa4bc027858badd9e6e.mp3,c9502f3d979684587046242dc9022b8aa89e89c72688dfa4bc027858badd9e6e,1,sprite-119,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2548,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-6/source-order-6; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-007,und,artifacts/g4-l3-embedded-audio/sha256/ed/ede0affb88cb9c7d0378514ff027a74e843f5f1cbac3f751820392dd9420d9e8.mp3,ede0affb88cb9c7d0378514ff027a74e843f5f1cbac3f751820392dd9420d9e8,1,sprite-131,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2314,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-7/source-order-7; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-008,und,artifacts/g4-l3-embedded-audio/sha256/ad/ad4a86a727b8d4b5379655258cdffc62f85f89cb460a96565fad27d975a2aa38.mp3,ad4a86a727b8d4b5379655258cdffc62f85f89cb460a96565fad27d975a2aa38,1,sprite-151,static SoundStreamHead frame in owner domain; runtime reachability unresolved,390,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-8/source-order-8; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-009,und,artifacts/g4-l3-embedded-audio/sha256/a3/a3634114101cc46babbe7470bea683f3484c5bf31ce2813d7ca8d197ba9cbe04.mp3,a3634114101cc46babbe7470bea683f3484c5bf31ce2813d7ca8d197ba9cbe04,1,sprite-155,static SoundStreamHead frame in owner domain; runtime reachability unresolved,1222,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-9/source-order-9; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-010,und,artifacts/g4-l3-embedded-audio/sha256/b2/b2c63dbaf7304c2c1042dda5e0ee305284f5136c275d6bc8e3e1fcdb552c99a5.mp3,b2c63dbaf7304c2c1042dda5e0ee305284f5136c275d6bc8e3e1fcdb552c99a5,1,sprite-159,static SoundStreamHead frame in owner domain; runtime reachability unresolved,1976,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-004/sound-stream-10/source-order-10; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN04.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
