asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,73e02b3764db97a18004de4b4d6a045b8a1908b9aa934b5e4cfcb193fed9159d,DefineFont2,,36,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2820; exactTagIdentitySha256=b06a8c992f3fe9a2d9531c67cfb193ae615fd9eaa4f2d5f5e2cfef3800ec0800; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,e2b3d4f7c5f72cee464cefa8af26e7b4de93d240b7393328e715d5339efd5ed1,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=73; exactTagIdentitySha256=4e1f083b100d5ac7448bcaedd51e7d55edca03cb0b547ffdb91201c30449a774; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00014,3,Arial Baltic,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,44784fd15ac0be996ad643624b89651837d88f1785b19a1ca31ba7869819c184,DefineFont2,,17,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=1215; exactTagIdentitySha256=cab5abb64356683be693edfcbbe7016b18d70a95e5ba378c5b1234c0d42c9fe4; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,18cdf307678cc7e0bcb56bdcff800f13c521ee03376b9789b89b3fc8a42622e5,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=77; exactTagIdentitySha256=578e276104fcaaba366668c8053d5fec0b1530084a4432ff26032f2f336a3ae1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00016,5,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,83388c5278693ee3dc5ebe316df35993769d2858c8f0e129e50b3bbb8fcc3cbd,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=20; exactTagIdentitySha256=0eb933f976d67d0430361adbd3a4adcd60d394f3770aa2111412072a35816b06; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00021,6,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,b1df79db28034970b75aff415afe8eb9ca24144a850c39008fbf93815f131972,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=33; exactTagIdentitySha256=748a9298b4b07c7a4bc514c5be75254c437e0e376efeea509594629ae17b6eb6; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00022,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,4522cf45606b707b01afffb229174a043a68b3a925c5ea0452e711df43e231ff,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=40; exactTagIdentitySha256=264d5fc2ff52bcfc3a6fb51c927c8abb2e4301f046f40c7c5fd1e7127f271603; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00023,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,e67f922ef10a9ee817acc561bec1556925e652955b22184d01fa8629e0fa8f74,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=206; exactTagIdentitySha256=2bc337b09b97ded04654b327501a756486736d1425dba43411658b9c9c7d24f1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00024,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,540cdaad8efcca194d7d42ad597a4eb8920ff9adffb57212aed8da681fef362d,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=28; exactTagIdentitySha256=f04bee8a8fc598dccfa070300ec61d39ea876e304eec37faf446981129404a7f; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00025,10,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,f4b703e4c2adef0e718c518527b5db6ddd5b59ea963823ece7db605cd363b8b3,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=178; exactTagIdentitySha256=bf3f8ed3685bf1596dc1a37223d5303cee0c9c64bf5ebd4c5b9454a8437248c6; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00026,11,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,ccfcd2bbaa8983affc59b64b23f8a25c683b1f7ec700a0cad076530a018d69c2,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=177; exactTagIdentitySha256=31c0422164a536b392e32faf2ffb3a0c0fc6793badfd24e2d8a5c71fdb675cf0; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00027,12,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,e8d68a0199f1ba07b1292a284cf830346a7d19c3fc553859f4f380d5b05a9e83,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=174; exactTagIdentitySha256=a3503b5305890d8b4d28245d6000c49e4c9cd24fb3783a5e0fb3d107d46e37a1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00028,13,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,75a5ff8928f0edc8d1b91a0653bf1746599b98d5ef4d9c1de07493e13492ab36,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=27; exactTagIdentitySha256=704adef8f1b0eb7aacae965e631aa26e76e7674a9bf0349d1b2167bb349ac2fc; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00029,14,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,e8d02af63f9f0389c50de9b4943260c1ec9e8a5a754cb4e38a7b50ab8a058412,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=78; exactTagIdentitySha256=b0f6abfb1378d251a811a6c6b36cc95d1a87dd658e6e1e27fd2d5311bac7c464; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00030,15,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,37af45a4426f0d5eadadf67f0d1519befb86986166638ac94343a90ded9d217d,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=175; exactTagIdentitySha256=241e2ca9b630a1dccb9ed62bef6d15609936beb4e841b8aa2e8e0f680b4cd7c9; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00031,16,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,1817219e7537f6a2bd2415324fa5915f533b7ccb34243fa5b5f6f9545bee1c61,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=39; exactTagIdentitySha256=014982796f28a768c76e883a978cff9f936359b925c05d265f4305faa22a7a00; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00032,17,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN07.swf,,,302b6abab7801b96485cf2bc2c69f3e9e67bdaa5074faf60983760967cd44fb7,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=51; exactTagIdentitySha256=8a27c0c7a9186b25b69a621246e57bbc95b6102cf717578c9b75e9893b96cc5b; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
