asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,6b1781438578187956cba212827d20df43f122087221f07a6c8aa0a32a881368,DefineFont2,,40,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=3086; exactTagIdentitySha256=737e1c8e86d661ac36011c61e6b5b8787f64b58bce81725208470513a8e1a39b; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,8127c6a0cd9919f8bf858d23c71d0cc56f55f0415fed92b6dfb0ba04186048ae,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=73; exactTagIdentitySha256=f52691d8e8265ed67d0809ec3735e2e58c69f863817f04abdf76ad31d78a91ab; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00014,3,Arial Baltic,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,44784fd15ac0be996ad643624b89651837d88f1785b19a1ca31ba7869819c184,DefineFont2,,17,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=1215; exactTagIdentitySha256=cab5abb64356683be693edfcbbe7016b18d70a95e5ba378c5b1234c0d42c9fe4; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,18cdf307678cc7e0bcb56bdcff800f13c521ee03376b9789b89b3fc8a42622e5,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=77; exactTagIdentitySha256=578e276104fcaaba366668c8053d5fec0b1530084a4432ff26032f2f336a3ae1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00016,5,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,83388c5278693ee3dc5ebe316df35993769d2858c8f0e129e50b3bbb8fcc3cbd,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=20; exactTagIdentitySha256=0eb933f976d67d0430361adbd3a4adcd60d394f3770aa2111412072a35816b06; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00021,6,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,5a2e21527b24abfb62f1ca506f1e2da9ecae9efd7fa0f4df65f3c2f94ee228b2,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=43; exactTagIdentitySha256=ecb6d5542a1e1c7840e0ead7fed2ae4442fe4b2910d1cc03716578c876ffe8bd; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00022,7,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,2638dd10daf214687641796e5d9d27573235481d736c02d64b6239a247b3bfe0,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=168534; exactTagIdentitySha256=4e206aa8a18d113f860d0651756a8c7c3c7c7195f1c7fab663f71e2ac123be92; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00023,8,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,48b983eb9c0535f6e86a9956e5d7123c42bdab8c73ba03643564fdcb77156aa3,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=100; exactTagIdentitySha256=42e64a66d0e800cc03612bf504e8155989a9279355bfe24cf3e9b047e8831c5d; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00024,9,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,55ca8504d733775af930e766fee7589b140a3983fb83738484b068c058036cf6,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=7860; exactTagIdentitySha256=89393d840d37956711c51f29aa45f6be4933a34d709b9da4b328d9bc1c82483e; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00025,10,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,538a432e813d00e4a769bc0f9c49f295f672c7e2c8400a98cc4552832d490535,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=22102; exactTagIdentitySha256=49f9a7039025f023114580c957a81b362f8a392c7193f351a252c6d2ae57e31f; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00026,11,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,050daf124fe085e97a438a676bebd2c2a1afbc483cada4c61a4da555a2420577,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=172; exactTagIdentitySha256=4943e74bc04f90417408172fd6423853efec3def64ca8504b43215805cb7a7a5; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00027,12,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,bf6e3556fa92c9b6bee0e0c0fd726b1facced17c568fa201da0a403c35ef63a7,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=3620; exactTagIdentitySha256=66a9a35665d1ecff1015555dd85ab6a0f7a0558ec9f68256ededfa34fadeaded; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00028,13,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,69a137ecb0fb7b1d039ba58b6827c3b79763e32545886c09954d2826749a23e9,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=106; exactTagIdentitySha256=c1a90c8e4fffacc0fdc8a140dd21de688f89162649ab336241cae35fefa5598a; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00029,14,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,6b6bd2f046bc45c75aa60971670e9356e6c0ecd075aedb81645864d3fb956eb9,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=7021; exactTagIdentitySha256=91d94a63c4f1fa52c8cbab1463ee34617a2da1cd337dceb6f8f6270628347825; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00030,15,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,7e39008551065badad52988ff946e7f952c1bb86f0a3d12ab87bdba934ab84ad,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=57; exactTagIdentitySha256=751b2776458deed135e7a7225dd1e638719e05523df0414dc383264ac652900d; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00031,16,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,a4a325dd048ad3f8d345614641bdef374b51f5b34d6b3d08e9c2119408a17878,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=13702; exactTagIdentitySha256=4c0a06f3c6ed0d9938b7a1023ccbc0946b992af8eae8933ac668a395d8d0b38b; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00032,17,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,a8b32991324d20165a79f063d38cfa9bb920a86092372e17a5c48b279a7365ba,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=54; exactTagIdentitySha256=9c48d9592d27297cfceecbfbbc07545a0042850ac447eeda257a36cc83f1b68e; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
