asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,f97580cfb20f90358edd828497fdad93a68c5cf0e16fdae4f31f0f4963503688,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=31; exactTagIdentitySha256=97310ae42035e866d70fc902630753e44c0ee7d666ee33ae5cbde748a181a586; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00009,2,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,05774199c35c8ed33933edc55e62443b03dbe2b8b0947cbed65f6035c5eeafc8,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=36; exactTagIdentitySha256=a8e42e78a6faa6d09f1087b219b1652e2354a012e9a6d22c3f3727fa4a40dd96; declaredFrameCount=3; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00018,3,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,bba7fc59084b833ff92c012a666e276357bacb81d6bb675e48a3849ff7039394,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=16; exactTagIdentitySha256=929303d501d236c4f421f17f000ff344ee0aefe43b4e77f4cbd1241e3aa1cd22; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00023,4,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,d24a170c55c2a01ec72cd79c9a785c4b48ef6a8c3cae743296ff638e8ef8e583,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=36; exactTagIdentitySha256=6fee2d4732a996e905eb92ad1fb6818d79a5b8eb8bbabbf9f0adf48fa25bd045; declaredFrameCount=3; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00032,5,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,8083497ce65f057f97883ff367bb65d5374abe2086e300676a1689545df58145,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=15; exactTagIdentitySha256=08ec3f4a9bd5c04ecdf6d16a67348e6ff9d3e075f0fc409d0481552237ebcfa2; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00047,6,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,287f5ee057e31db1623126926628a50d9b4258bc48a610bbd26869dc3731c89f,DefineFont2,,4,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=204; exactTagIdentitySha256=2a399b14a41a75255e960162f4f5abfa466d89d08b186ff6ebcba1b0cd64893d; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00049,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,6e4c5472bb71152829517b0ae4b0ba04561ed0d06e6b78bdc6011a553ab3f7c4,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=31; exactTagIdentitySha256=fff768ea4cc92264af0700f425b6073e30b85f0bf7c0b2d64d7f0b23ca7948c7; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00050,8,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,79ed48716cd2de364b9bf351efb8a2cd119058fbb21ae1427cfa0b1200dad3c4,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=35; exactTagIdentitySha256=c13887a2c2a5bfa8539263da1f83895ff85944e98f8068c3d06d530e557796ac; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00051,9,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,8a8c0c9307828e371b0811bea14e518d79da710fe7499362c7db6da0bc5cfb24,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=68738; exactTagIdentitySha256=be920686f3375e6e462aff6bd229338e2fcd0d832dbdd046a7679dd056250aa6; declaredFrameCount=135; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00327,10,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IR/L3RW01.swf,,,f681c82e6116bf321f4d0053bc0aa10ba187a5c28ce778db4993b2eb80151159,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=327; payloadBytes=68738; exactTagIdentitySha256=ced0c3ef17946cf366be6be98c009c12158f451ad5196c2cb48996e859a405fd; declaredFrameCount=135; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
