asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,a829cbd084ed0f1794ed10838b2590291a99498b185150a3fe61760f511507dd,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=35; exactTagIdentitySha256=0eaeadd3492d84e3cb5fc90cc76404bc5393086cd87d864069a4dc0d1516f220; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00012,2,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,86f75e5a890511cc01b703180a85a28f3394dd19689a67a8a31eac6668274f31,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=1872; exactTagIdentitySha256=0b07c8bf615c857d9ebca8e7f7f46faebe7d665cf3fab51c7576ec11bdc2379e; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00013,3,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,5bb764b44a05639e535dcf6e90c7da9010566fa43817df34a42b0dc129017c5a,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=13130; exactTagIdentitySha256=fae78ca91784ac4460c88cb8bdf880fd4c71d9baf91a5899a0734380a1757606; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00014,4,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,2b45db5aa120ce977c36be3a425935d087097839aabad6b204736b4ebb1111ad,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=11363; exactTagIdentitySha256=950ed72b983bc9300c4383a0201bee7f727ebcaef050d6ecf58d4f61e8d572d1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00015,5,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,7e91a4a6110b424adf9a8a0851413064a42fdc10f61c6ba414dbd97f56aed6fd,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=6171; exactTagIdentitySha256=9879ebb56e8f7c36ae1a070b1707a49147d4d238377be4e00c1394cf6453f56c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00016,6,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,cc449be811487cfa65970b901f5f9965d00f40a62a0da1d1549be2a2b04ed234,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=62446; exactTagIdentitySha256=5737abdfd59d5ae65ded3e165c312966dae97aa49ff7bc6d316e8dc81ab3f71e; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00017,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,3b34aaa6b72cdb83f32cb9999ddc8909819b2934aa87015ca57848b19475e829,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=3626; exactTagIdentitySha256=f11b217ce94d1dd865d4fc97612ce31778cbc0e13b2ece1d7cf875eda45226a6; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00018,8,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,7687dea8b6218ebcdc424cea87b9c416d12d805f53cab68f98b144fb10a6fc37,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=42; exactTagIdentitySha256=206648a84b6b22b59a9fbb93593db47681850604cbe6a558b439b9cf7d26f9b5; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00019,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,7c442c5154a2a98d2f480e284befc441ca2ad8e983640df49b1571e1908974fb,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=569; exactTagIdentitySha256=87fe4c49983c48ae3743a75bc7b777455c63e947440a79e712aec60a4080f456; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00020,10,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,335ebb5e7869abe526bde0e005b50016a9a596b04bef6815d8ffc3c18df75638,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=7149; exactTagIdentitySha256=4ea9375362dc0989174c0db4bcfd7a9ef7450da4f2beca3a052fb9983ac41d33; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
