asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,4d3de5ca8c63eed388ad9c5b90b29e14fb5afb087fd79fd96f30e25d6b9017cd,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=35; exactTagIdentitySha256=8e6d1afad91634117558442f1592b2cc08d60631dc885de93515b1ad06f4cd97; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00012,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,e612a0e1bad320d77d95674ffb8b405e1b654145c8b39bda9ae1cba83a4f979d,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=51; exactTagIdentitySha256=7581f1289b107efe2b40c75d89e1fca6b3403d8169f144b136f7303c85d1d973; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00013,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,0e2ace7b99c342ea8f2e627524c6ec633dd087d91c8e9e6c7bc0a7ce0435204e,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=1415; exactTagIdentitySha256=29df84e2da7de9736074827317a76b07c7216812f678ebc94c9b0f118eca0503; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00014,4,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,8e08d52c3e282c58d35801a0b4902cb33d026d3d7dbde106a986b8a35bfb3204,DefineFont2,,33,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2556; exactTagIdentitySha256=cf18b3be90f0f5ae33fa14212401de0e5b9db52394a651a7f203de33e7e212c6; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00015,5,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,530b68286fcd0b32932c4f84441fcc4eb94bee40bade2171f591bb0a825e1cc5,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=27; exactTagIdentitySha256=49592ac97e5cf5d0dd474397aa8f58858f8932816c932d44f7e010a6b3236026; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00016,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,90e856fe282e0ec93e17fd3bb33c86377e4ce05ffed8c5398f9c5a20e86bcff4,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=26; exactTagIdentitySha256=75b144ad09287cbe3f3b0cc5575c32698010e28e0a164fa6486d6dfe1a11bb5b; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00017,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,3c2eed0ef52ccf132746101bbf9e08e17c27031a907c6244a9a475f9e84ba02c,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=26; exactTagIdentitySha256=6816a749dceaa78f8fae0b205f3dee2e334005e6a283ff69b73ee1c52b4f5fb8; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00018,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,94fafd16689a3a8ad491279cd26c4862133188d37af952df70fe9298e2423d50,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=26; exactTagIdentitySha256=ca6bf176298a804bec549ca27e551a7e86e9f3348f3ed290125aa254123ed832; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00019,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,003974693005c838833bbdb99c78764090a01747d05ea049cea4446f81ac6d47,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=26; exactTagIdentitySha256=172894b00220e9673ff1918ea311235664b7fcb8e9207bcc9f109c1e6e6b8cd0; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00020,10,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW03.swf,,,ccedbffc9c5e7a7210a4daecde4109ea0383f529001ae74ecda0b15187f59456,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=25; exactTagIdentitySha256=421f2829fd607a20d8aed0eff57378d61bff1e8600d3b20c8799fe593ad73cdc; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
