asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,8c0efa2b3a0c18dc0a282237e4ef6bb9fb2d22fa2cc38aaddf6003fce9f08b41,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=170; exactTagIdentitySha256=2346e97604b854909529cf96d082f4416db16a54f3b30e9c4a6c8a4c9a552de8; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00004,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,83e92ccb6979d665e3a5686e523e18847c6c8ca6d4c2a9345199e0d0825177ca,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=4; payloadBytes=97; exactTagIdentitySha256=0f6aaab1017272e0ccfb4634fc98f80e9318ea4e72a42555948b06ce9c77f617; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00005,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,7f229f4eba1b57c8029497fe39b40893f4880c8e9dc95f9a8c0891d86a870a79,DefineFont2,,62,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=5; payloadBytes=4614; exactTagIdentitySha256=bb8bd2406ed9db0a474dd32091c39cbd3f076f7f027af45b1ff2d7bd8b3034bc; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00006,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,31f593c4b8771501f7f62fa40d2a7608467d18c654b56c7a488c80bd946a7cc4,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=6; payloadBytes=55; exactTagIdentitySha256=bbf92c8ce1b97ff2e2ae884126c1602f6c8d541a213947128201ab3f6eeb1164; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00007,5,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,60fc9bdea3b9c1a1700eb87a943f3e3dc31a9d3c84cd43b82209fee0e18c7ac5,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=7; payloadBytes=55; exactTagIdentitySha256=d59ed14e9f116ba68c30ebcfad34bf77315d48ed233d4044d4de9a8b9b9c9667; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00008,6,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,9fc3e7de03b7c2617832f45c4cdb070597b7ddfa93e377f06198a26062521d15,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=8; payloadBytes=96; exactTagIdentitySha256=8e6bf1f4c74573ebc72f81a3c3e6b4099a49d5f8a7b969b7e8421280a5b1242c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00009,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,a16c43d83eecb4cef71c6cfaf078b3da18f184af53fbd599164f1c832744d185,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=34; exactTagIdentitySha256=bff3ccca7ea34ece8addb651d5beb9c113c2a4b8042dfcb442d0e4e8c5625901; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00010,8,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,ed5d99088f59d8147e3e99dc9403e4506ed8c7466614234328637fa8a6dd885e,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=10; payloadBytes=78; exactTagIdentitySha256=3ace8cdf4af95cfed3eec99f7a626d7dd5227b5a78395e3bcf67d1d2fb73688c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00012,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,68fde67fee57f188aa745617d3a64cca94797f0796a6afa8554343d4e6edacb9,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=167; exactTagIdentitySha256=a8d98f2522cd390152a74a2464fbb7bd342b3981df587126ab087fc0b8446a58; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00013,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS08.swf,,,3428adc4b3323c8f5c9fbf875b05d82a2b532872ca8e4459f381cc0eef26fd61,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=94; exactTagIdentitySha256=18933907c00ea2e8d49d300f6ed2164790e3b264a9c7c316c5d41909c1d3719b; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
