asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,e77818bfd07bd0c6e0c64c275f183e47cddfd2d330d8d3c20a0546fecc765ddf,DefineFont2,,27,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2057; exactTagIdentitySha256=91ae165d415f07173b6f3be84a1af89a5b8ecf44c0c09917d51343343f428269; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,0e4d3a4e53bfaa190e33d337223354267caed529994cd1022299eca632ab0d22,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=87; exactTagIdentitySha256=368b8ed8a59e4e027bb0447593cb8d022f047d4586dbf6d878763f404b5df26c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00014,3,Arial Baltic,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,c618f82846cc5980f42c468d1a276ff43748b8ba944464262e35edc63f8a9818,DefineFont2,,20,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=1568; exactTagIdentitySha256=888228acaafc6dc88681b2f16e6b8ea1b23811660f38cfea563ae95ec9819110; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,717d4a3b5b733ec3db7902f8e33a81d41cf1cfe2f8b0ab21a0598a2d8d1620a3,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=91; exactTagIdentitySha256=ee042834274fe06aabdd489c947859863820294c388695e42ee866904b287c3c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00016,5,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,83388c5278693ee3dc5ebe316df35993769d2858c8f0e129e50b3bbb8fcc3cbd,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=20; exactTagIdentitySha256=0eb933f976d67d0430361adbd3a4adcd60d394f3770aa2111412072a35816b06; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00021,6,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,f51a1a83f6ae36467f69cc762abf7bb8ca4370087facb094f08e494996889d63,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=70; exactTagIdentitySha256=debcffcee9f0f2f8d9abd227e61801038426727c2f6f59d0aeb35d42adb6c48c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00022,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,eb784d95ba672f4b41806725bf1b721bdaf445c05756383e9eac698ea6c5ce23,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=35; exactTagIdentitySha256=e0b524ea4a216f26c1d8f290c4c406d113ee731a752ef9db4e2acc962834c0b5; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00023,8,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,e0cdf4b21d9bc877f80888d535cc94cd0e4c5af7b2531bc2aafc7deab1a0ec2f,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=40; exactTagIdentitySha256=c8dbca15acc6e05ecc7fcd06eefe1a45d6e6fc28b76a3f95bb138ade298cb834; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00024,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,54310621b0fbbc0669fa63983c6260813493359c096c5795d88fae66aa917fed,DefineText,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=114; exactTagIdentitySha256=aba401850d77cca4824acf99a1ba5796fb55ac23e770362815e6f647b13774b2; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00025,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,c3c1383e11d296f19d7b8cfbaa04c3e7be65128055b2c304c31a65226addd2e1,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=31; exactTagIdentitySha256=60c8cbcf6837826cbd1f5fac3ae5f049846e11686cd320522919111312845ab5; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00026,11,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,a87ed43b1b3f376dd5c9995c94f1e9156bf817b13a8156e2c34bb93d5fe8d5ff,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=177; exactTagIdentitySha256=4aec3080d3bedde365c88da3fb86a3edd3f83316dde56ba7d39af7afb9725f87; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00027,12,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,6dc9de1fcc45e5e9d4b8aa1c27a6bd028adff6ec377e1b7eb8d33fec5162ab62,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=174; exactTagIdentitySha256=6b7eb1195eb91b9fbc07d05b55b22ea6b0b230ed1f2c480db9ebeb7044eabc44; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00028,13,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,17741937038e84f3971cac7f03a37360becfa00991aec6311658f11464f15233,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=166; exactTagIdentitySha256=28be64fd1772215c89074de8d3930f7087d49890a20a50084aba58858806b7df; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00029,14,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,c56ecaa98e4b0cd56f042e01161744a556b9ead47fba61233a9ffbba2201ae6d,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=34; exactTagIdentitySha256=4336cb161c8972c01ca789138b4949f7c64b95fd9f416711d42175ca9e34b4f7; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00030,15,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB04.swf,,,5cceeba6989acf17e382aa697f78520094290c3bee79c7469c2abd58b9d0f205,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=189; exactTagIdentitySha256=392cb6b627e86a50adcd4c2d1176afee8abc0e5855033e348cd572713e03d9cb; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
