cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/SA/L3VB08.mp3,6bb1c07967965ec131dcd57617c84f709c772b0e46c5ca27dec91c74b9f7ef90,,,catalog association only; runtime cue is unresolved,4584,mp3,1,48000,,"association=matching-basename; ffprobe/ffmpeg technical probe passed; normalized-language candidate=es; spoken language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-001,und,artifacts/g4-l3-embedded-audio/sha256/ad/ad4a86a727b8d4b5379655258cdffc62f85f89cb460a96565fad27d975a2aa38.mp3,ad4a86a727b8d4b5379655258cdffc62f85f89cb460a96565fad27d975a2aa38,1,sprite-52,static SoundStreamHead frame in owner domain; runtime reachability unresolved,390,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-1/source-order-1; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-002,und,artifacts/g4-l3-embedded-audio/sha256/f8/f87ec03bf9163390a117b6ad1ea7c47dab7ea7e729219acff0e0617f6100a9f1.mp3,f87ec03bf9163390a117b6ad1ea7c47dab7ea7e729219acff0e0617f6100a9f1,1,sprite-63,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2210,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-2/source-order-2; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-003,und,artifacts/g4-l3-embedded-audio/sha256/d7/d7a98a5d899d27fb01a48d98e1a3957f03edfe8c7f68dddfb40fe552e311c0d0.mp3,d7a98a5d899d27fb01a48d98e1a3957f03edfe8c7f68dddfb40fe552e311c0d0,1,sprite-74,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2210,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-3/source-order-3; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-004,und,artifacts/g4-l3-embedded-audio/sha256/18/187a32ba065a2534843eaef91e70bd2491595f9f00b9598ea15be9a843a24d3d.mp3,187a32ba065a2534843eaef91e70bd2491595f9f00b9598ea15be9a843a24d3d,1,sprite-86,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2314,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-4/source-order-4; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-005,und,artifacts/g4-l3-embedded-audio/sha256/c3/c374d3f9cf0f5fd1adfbd46c74abd7d3bd2d0b1d41bf15b3758a87386a6ca7d1.mp3,c374d3f9cf0f5fd1adfbd46c74abd7d3bd2d0b1d41bf15b3758a87386a6ca7d1,1,sprite-98,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2392,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-5/source-order-5; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-006,und,artifacts/g4-l3-embedded-audio/sha256/18/18e52976f77c535c485dccc2c41a17b63a651044748593990b355cee29b01aec.mp3,18e52976f77c535c485dccc2c41a17b63a651044748593990b355cee29b01aec,1,sprite-110,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2132,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-6/source-order-6; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-007,und,artifacts/g4-l3-embedded-audio/sha256/52/529ef71f4768ba9c0f830a67547066e4b8b20091bc8e3cd0782e1fbdfbb64085.mp3,529ef71f4768ba9c0f830a67547066e4b8b20091bc8e3cd0782e1fbdfbb64085,1,sprite-138,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2210,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-7/source-order-7; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-008,und,artifacts/g4-l3-embedded-audio/sha256/1b/1b7f35c62c832068bd2e0e54246c591df18f08e9ff8c77527e6f3ba03650246f.mp3,1b7f35c62c832068bd2e0e54246c591df18f08e9ff8c77527e6f3ba03650246f,1,sprite-163,static SoundStreamHead frame in owner domain; runtime reachability unresolved,1976,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-8/source-order-8; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-009,und,artifacts/g4-l3-embedded-audio/sha256/3d/3dda8c412ae366891bd7ce7f1603c70f4ec8438806191c75a25328963fdb8ee7.mp3,3dda8c412ae366891bd7ce7f1603c70f4ec8438806191c75a25328963fdb8ee7,1,sprite-179,static SoundStreamHead frame in owner domain; runtime reachability unresolved,2210,mp3,1,22050,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-9/source-order-9; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-010,und,artifacts/g4-l3-embedded-audio/sha256/e5/e5c99e029d9df7717bc7755b5f4660841ad3f453d10bb8dbc8010d69b5a653b6.bin,e5c99e029d9df7717bc7755b5f4660841ad3f453d10bb8dbc8010d69b5a653b6,1,sprite-191,static SoundStreamHead frame in owner domain; runtime reachability unresolved,,adpcm,,5512,,"unitReferenceId=course-g04-l03-vb-008/sound-stream-10/source-order-10; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/VB/L3VB08.swf; sourceFormat=adpcm; probeStatus=ffprobe-parse-failed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
