cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-01,es,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/SA/L9GS02.mp3,fc1d611959deedae1d0ac4005b09c416fbd1711536c3190d190795798a4ad9d3,,,host-user-activated,44544,mp3,1,48000,,ffprobe version 8.1.2 Copyright (c) 2007-2026 the FFmpeg developers; codec=mp3; stream_bitrate_bps=112000; container_bitrate_bps=112000; language=es from legacy host directory semantics (The legacy host maps language code SP and Spanish page audio to the SA directory.); start_semantics=host-user-activated; no child-timeline start_frame is asserted; spoken content and synchronization require authoritative listening.
embedded-stream-0001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,392,swf-mp3-stream,1,22050,11,"SoundStream in sprite:11, local head frame 1, first block frame 1, 5 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0002,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,7314,swf-mp3-stream,1,22050,223,"SoundStream in sprite:223, local head frame 1, first block frame 3, 88 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0003,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,7314,swf-mp3-stream,1,22050,291,"SoundStream in sprite:291, local head frame 1, first block frame 6, 89 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0004,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,7314,swf-mp3-stream,1,22050,371,"SoundStream in sprite:371, local head frame 1, first block frame 3, 89 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0005,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,6740,swf-mp3-stream,1,22050,402,"SoundStream in sprite:402, local head frame 1, first block frame 3, 81 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0006,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,6975,swf-mp3-stream,1,22050,462,"SoundStream in sprite:462, local head frame 1, first block frame 4, 84 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0007,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,6818,swf-mp3-stream,1,22050,516,"SoundStream in sprite:516, local head frame 1, first block frame 3, 82 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0008,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,7053,swf-mp3-stream,1,22050,546,"SoundStream in sprite:546, local head frame 1, first block frame 3, 85 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0009,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,7811,swf-mp3-stream,1,22050,644,"SoundStream in sprite:644, local head frame 1, first block frame 5, 94 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0010,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L9/GS/L9GS02.swf,41cdb7e5cc5735eef2af3e4831908c47781840f0addcc3ac1a2142cbb0d48f15,,,interaction-state,3396,swf-mp3-stream,1,22050,651,"SoundStream in sprite:651, local head frame 1, first block frame 2, 41 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
