frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,0,default,en,structural-specification-initial,source-root-structural-specification-only; nativeStage=800x600; rootFrame=1/10; structuralReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:16a1a4a126c5b6db52b058c53b13e05b11d8b78e333fcb84d1cb267ed8b31d96; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
1,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,0,default,es,structural-specification-initial,source-root-structural-specification-only; nativeStage=800x600; rootFrame=1/10; structuralReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:dda6b3eed04eeb6afd0a0bf928ccde2fc623d2583f693d04e9cb15324991c0ca; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,416.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/10; structuralReasons=exported-action-script|frame-label:Begin|root-named-placement|script-stop-state|static-root-render-hash-transition|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:16a1a4a126c5b6db52b058c53b13e05b11d8b78e333fcb84d1cb267ed8b31d96; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,416.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/10; structuralReasons=exported-action-script|frame-label:Begin|root-named-placement|script-stop-state|static-root-render-hash-transition|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:dda6b3eed04eeb6afd0a0bf928ccde2fc623d2583f693d04e9cb15324991c0ca; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,500,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:16a1a4a126c5b6db52b058c53b13e05b11d8b78e333fcb84d1cb267ed8b31d96; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,500,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:dda6b3eed04eeb6afd0a0bf928ccde2fc623d2583f693d04e9cb15324991c0ca; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,583.333333,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:16a1a4a126c5b6db52b058c53b13e05b11d8b78e333fcb84d1cb267ed8b31d96; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,583.333333,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:dda6b3eed04eeb6afd0a0bf928ccde2fc623d2583f693d04e9cb15324991c0ca; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,666.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:16a1a4a126c5b6db52b058c53b13e05b11d8b78e333fcb84d1cb267ed8b31d96; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,666.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:9d6861473d9acae55d93e5f15e5b2623b96b1547926a973349423c27f6a4d857; baseline/ffdec-root-frames.json@sha256:1e3d524979e71df8ed7fd7d2681a63421800c56570531369476cc165f4f15983; evidence/full-frame-coverage.json@sha256:55818f93797157020ed37bd4387059f1a37e665473181c4706a59f0b169cb166; migrations/course-g04-l10-fq-003/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:dda6b3eed04eeb6afd0a0bf928ccde2fc623d2583f693d04e9cb15324991c0ca; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:e49ecc1eaecc22966296a76f32665a7ea288217cf7ee57ab1d62ff91ca76f80e,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
