frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,0,default,en,structural-specification-initial,source-root-structural-specification-only; nativeStage=800x600; rootFrame=1/10; structuralReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:f48e850e5d14849c0c8bec95c2ec48e60d8ae275017728ba70bc3831e5dc9034; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
1,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,0,default,es,structural-specification-initial,source-root-structural-specification-only; nativeStage=800x600; rootFrame=1/10; structuralReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:80aa2d2f9aac51c9b1def721f011cfac4d4b082996560417399c3d47ae002089; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,416.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/10; structuralReasons=exported-action-script|frame-label:begin|root-named-placement|script-stop-state|static-root-render-hash-transition|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:f48e850e5d14849c0c8bec95c2ec48e60d8ae275017728ba70bc3831e5dc9034; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,416.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/10; structuralReasons=exported-action-script|frame-label:begin|root-named-placement|script-stop-state|static-root-render-hash-transition|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:80aa2d2f9aac51c9b1def721f011cfac4d4b082996560417399c3d47ae002089; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,500,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:f48e850e5d14849c0c8bec95c2ec48e60d8ae275017728ba70bc3831e5dc9034; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,500,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:80aa2d2f9aac51c9b1def721f011cfac4d4b082996560417399c3d47ae002089; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,583.333333,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:f48e850e5d14849c0c8bec95c2ec48e60d8ae275017728ba70bc3831e5dc9034; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,583.333333,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:80aa2d2f9aac51c9b1def721f011cfac4d4b082996560417399c3d47ae002089; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,666.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:f48e850e5d14849c0c8bec95c2ec48e60d8ae275017728ba70bc3831e5dc9034; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,666.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:5a10d7c508546b3b4d3957fb4cde48bddc883b2d1d2296a785c010c818f1ddad; baseline/ffdec-root-frames.json@sha256:2fbd1725e5b8f62616d4862a3a226ddddeeda26c9335565a45e0e1630003efc7; evidence/full-frame-coverage.json@sha256:88fd103c1664269ff0219e6c140cc8ffdd90c1eacec39efacdcb1115efe6aa21; migrations/course-g04-l10-in-008/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:80aa2d2f9aac51c9b1def721f011cfac4d4b082996560417399c3d47ae002089; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:8bed1d57627b47c1e51bbb30e65005f11f8a42ab8f0953be081c65678a24406f,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
