cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-01,es,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/SA/L10IN16.mp3,fbb761b5332c0190ba6ab51f228c9b191fcb7a56bc4b6852ba214562c71956c0,,,host-user-activated,8016,mp3,1,48000,,ffprobe version 8.1.2 Copyright (c) 2007-2026 the FFmpeg developers; codec=mp3; stream_bitrate_bps=112000; container_bitrate_bps=112000; language=es from legacy host directory semantics (The legacy host maps language code SP and Spanish page audio to the SA directory.); start_semantics=host-user-activated; no child-timeline start_frame is asserted; spoken content and synchronization require authoritative listening.
embedded-stream-0001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,392,swf-mp3-stream,1,22050,44,"SoundStream in sprite:44, local head frame 1, first block frame 1, 5 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0002,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2403,swf-mp3-stream,1,22050,50,"SoundStream in sprite:50, local head frame 1, first block frame 3, 29 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0003,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2220,swf-mp3-stream,1,22050,78,"SoundStream in sprite:78, local head frame 1, first block frame 2, 27 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0004,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2220,swf-mp3-stream,1,22050,89,"SoundStream in sprite:89, local head frame 1, first block frame 2, 27 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0005,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2403,swf-mp3-stream,1,22050,101,"SoundStream in sprite:101, local head frame 1, first block frame 2, 30 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0006,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2403,swf-mp3-stream,1,22050,127,"SoundStream in sprite:127, local head frame 1, first block frame 2, 30 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0007,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2220,swf-mp3-stream,1,22050,144,"SoundStream in sprite:144, local head frame 1, first block frame 2, 27 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0008,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2560,swf-mp3-stream,1,22050,165,"SoundStream in sprite:165, local head frame 1, first block frame 3, 31 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0009,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2325,swf-mp3-stream,1,22050,177,"SoundStream in sprite:177, local head frame 1, first block frame 1, 28 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0010,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/IN/L10IN16.swf,a75e16f8707676152626d272643820076316029f9b1aa2e5b9938cf5f853e1d3,,,interaction-state,2064,swf-mp3-stream,1,22050,208,"SoundStream in sprite:208, local head frame 1, first block frame 2, 25 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
