frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,0,default,en,structural-specification-initial,source-root-structural-specification-only; nativeStage=800x600; rootFrame=1/10; structuralReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:d647401a685f7de8496aaaea486e189d77554d35b8a7b810c5a52f7aff1328f9; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
1,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,0,default,es,structural-specification-initial,source-root-structural-specification-only; nativeStage=800x600; rootFrame=1/10; structuralReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:373f40642ef05a96f4f767aeb7902ac894abcada663a1f7b8e2c656ea95a5d8d; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,416.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/10; structuralReasons=exported-action-script|frame-label:begin|root-named-placement|script-stop-state|static-root-render-hash-transition|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:d647401a685f7de8496aaaea486e189d77554d35b8a7b810c5a52f7aff1328f9; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,416.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/10; structuralReasons=exported-action-script|frame-label:begin|root-named-placement|script-stop-state|static-root-render-hash-transition|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:373f40642ef05a96f4f767aeb7902ac894abcada663a1f7b8e2c656ea95a5d8d; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,500,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:d647401a685f7de8496aaaea486e189d77554d35b8a7b810c5a52f7aff1328f9; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,500,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:373f40642ef05a96f4f767aeb7902ac894abcada663a1f7b8e2c656ea95a5d8d; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,583.333333,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:d647401a685f7de8496aaaea486e189d77554d35b8a7b810c5a52f7aff1328f9; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,583.333333,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:373f40642ef05a96f4f767aeb7902ac894abcada663a1f7b8e2c656ea95a5d8d; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,666.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:d647401a685f7de8496aaaea486e189d77554d35b8a7b810c5a52f7aff1328f9; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,666.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:7f080bef9c4ee007bc85a413df0ff212e57919988b2fdcfecde803615fe2f737; baseline/ffdec-root-frames.json@sha256:71969fa58c913c59dea2eb0491fec366690eaecdd98f431a0244b874a0d12531; evidence/full-frame-coverage.json@sha256:b0491ea730fcafcd93d4375f18772f68688845cd727b76f7791d9b15146107fa; migrations/course-g04-l10-rw-004/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:373f40642ef05a96f4f767aeb7902ac894abcada663a1f7b8e2c656ea95a5d8d; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:c39d08f37c1828e2b229189a5bcea588b5b32462f84144524a43d39382d8ac88,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
