cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-01,es,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/SA/L10TS07.mp3,3ea4640a0ef8a7b4fdb2bc80fa0afb929b82ded77ed780ca95eede8020568372,,,host-user-activated,9144,mp3,1,48000,,ffprobe version 8.1.2 Copyright (c) 2007-2026 the FFmpeg developers; codec=mp3; stream_bitrate_bps=112000; container_bitrate_bps=112000; language=es from legacy host directory semantics (The legacy host maps language code SP and Spanish page audio to the SA directory.); start_semantics=host-user-activated; no child-timeline start_frame is asserted; spoken content and synchronization require authoritative listening.
embedded-stream-0001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,5721,swf-mp3-stream,1,22050,121,"SoundStream in sprite:121, local head frame 1, first block frame 2, 69 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0002,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,392,swf-mp3-stream,1,22050,157,"SoundStream in sprite:157, local head frame 1, first block frame 1, 5 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0003,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,2220,swf-mp3-stream,1,22050,221,"SoundStream in sprite:221, local head frame 1, first block frame 2, 27 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0004,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,2403,swf-mp3-stream,1,22050,235,"SoundStream in sprite:235, local head frame 1, first block frame 3, 29 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0005,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,2325,swf-mp3-stream,1,22050,246,"SoundStream in sprite:246, local head frame 1, first block frame 2, 28 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0006,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,2220,swf-mp3-stream,1,22050,258,"SoundStream in sprite:258, local head frame 1, first block frame 2, 27 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0007,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,2220,swf-mp3-stream,2,22050,292,"SoundStream in sprite:292, local head frame 1, first block frame 1, 27 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0008,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,1082,swf-adpcm-stream,1,5512.5,304,"SoundStream in sprite:304, local head frame 1, first block frame 1, 13 blocks, sync=stream; nominal-samples-per-block-times-block-count; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0009,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,2325,swf-mp3-stream,1,22050,317,"SoundStream in sprite:317, local head frame 1, first block frame 1, 28 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0010,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,1985,swf-mp3-stream,2,22050,349,"SoundStream in sprite:349, local head frame 1, first block frame 2, 24 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0011,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,2142,swf-mp3-stream,1,22050,388,"SoundStream in sprite:388, local head frame 1, first block frame 2, 26 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0012,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L10/TS/L10TS07.swf,64070bdec0badb3cb009a741fe1b5e9c96bd98e68b92c4dfe125db3b43617eff,,,interaction-state,68963,swf-mp3-stream,1,22050,415,"SoundStream in sprite:415, local head frame 1, first block frame 14, 829 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
