frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,structural_reasons_json,runtime_reachability,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,reviewer,adoption_status
1,req:sprite-120:source-proven-independent-domain-entry-unresolved:en,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:en:seed-0,a2ba7802bded99336ca0c6a8b3db9a8309c0fe8f5ef0dec213482387ed739cdf,0,source-proven-independent-domain-entry-unresolved,en,structural-specification-initial,"[""initial-one-indexed-frame"",""soundstream-head-frame""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
3,req:sprite-120:source-proven-independent-domain-entry-unresolved:en,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:en:seed-0,a2ba7802bded99336ca0c6a8b3db9a8309c0fe8f5ef0dec213482387ed739cdf,166.666667,source-proven-independent-domain-entry-unresolved,en,structural-specification-transition,"[""glossary-button-placement"",""clip-depth-placement""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
4,req:sprite-120:source-proven-independent-domain-entry-unresolved:en,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:en:seed-0,a2ba7802bded99336ca0c6a8b3db9a8309c0fe8f5ef0dec213482387ed739cdf,250,source-proven-independent-domain-entry-unresolved,en,structural-specification-transition,"[""first-soundstream-block""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
51,req:sprite-120:source-proven-independent-domain-entry-unresolved:en,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:en:seed-0,a2ba7802bded99336ca0c6a8b3db9a8309c0fe8f5ef0dec213482387ed739cdf,4166.666667,source-proven-independent-domain-entry-unresolved,en,structural-specification-transition,"[""glossary-button-placement"",""clip-depth-placement""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
130,req:sprite-120:source-proven-independent-domain-entry-unresolved:en,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:en:seed-0,a2ba7802bded99336ca0c6a8b3db9a8309c0fe8f5ef0dec213482387ed739cdf,10750,source-proven-independent-domain-entry-unresolved,en,structural-specification-transition,"[""clip-depth-placement""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
203,req:sprite-120:source-proven-independent-domain-entry-unresolved:en,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:en:seed-0,a2ba7802bded99336ca0c6a8b3db9a8309c0fe8f5ef0dec213482387ed739cdf,16833.333333,source-proven-independent-domain-entry-unresolved,en,structural-specification-terminal,"[""last-soundstream-block"",""script-stop-state"",""terminal-structural-frame""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
1,req:sprite-120:source-proven-independent-domain-entry-unresolved:es,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:es:seed-0,ffa33365361c0058ded8972ece63bc29a387a4fb5402615c5c01376ff131fe76,0,source-proven-independent-domain-entry-unresolved,es,structural-specification-initial,"[""initial-one-indexed-frame"",""soundstream-head-frame""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
3,req:sprite-120:source-proven-independent-domain-entry-unresolved:es,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:es:seed-0,ffa33365361c0058ded8972ece63bc29a387a4fb5402615c5c01376ff131fe76,166.666667,source-proven-independent-domain-entry-unresolved,es,structural-specification-transition,"[""glossary-button-placement"",""clip-depth-placement""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
4,req:sprite-120:source-proven-independent-domain-entry-unresolved:es,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:es:seed-0,ffa33365361c0058ded8972ece63bc29a387a4fb5402615c5c01376ff131fe76,250,source-proven-independent-domain-entry-unresolved,es,structural-specification-transition,"[""first-soundstream-block""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
51,req:sprite-120:source-proven-independent-domain-entry-unresolved:es,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:es:seed-0,ffa33365361c0058ded8972ece63bc29a387a4fb5402615c5c01376ff131fe76,4166.666667,source-proven-independent-domain-entry-unresolved,es,structural-specification-transition,"[""glossary-button-placement"",""clip-depth-placement""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
130,req:sprite-120:source-proven-independent-domain-entry-unresolved:es,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:es:seed-0,ffa33365361c0058ded8972ece63bc29a387a4fb5402615c5c01376ff131fe76,10750,source-proven-independent-domain-entry-unresolved,es,structural-specification-transition,"[""clip-depth-placement""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
203,req:sprite-120:source-proven-independent-domain-entry-unresolved:es,sprite-120,trace:sprite-120:source-proven-independent-domain-entry-unresolved:es:seed-0,ffa33365361c0058ded8972ece63bc29a387a4fb5402615c5c01376ff131fe76,16833.333333,source-proven-independent-domain-entry-unresolved,es,structural-specification-terminal,"[""last-soundstream-block"",""script-stop-state"",""terminal-structural-frame""]",unresolved,,,,,,,,,,,candidate-only-do-not-write-current-keyframes
