object_id,tag_type,element_bytes,element_sha256,source_artifact,source_artifact_sha256,source_uncompressed_sha256,projection,runtime_reachability,renderer_adoption,acceptance_effect
1,DefineFont2,37207,0f92ea4dae8030a979ad26cd668411ebd5c34038c3b0ead3d1c63c79c5e4acbf,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
2,DefineText,2632,dd1a151bce22cfbc3afab3e003c9f5e20b85551070bdac0a822694c3eb191480,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
3,DefineFont2,41619,c3378d92797ec94907867fbc5145897cd10340e8a5a11a243579fdd022ff5b0f,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
4,DefineText,2629,d1b0f3e0d876fa16cf9b809aa68377a344ec80c9414e38f004ce13dc481e0b9a,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
5,DefineSprite,322,7e2fb4e101fb82a08f6c4aa5fdbbe2c116ee4649df3f040a77dd317dc444ee0a,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
6,DefineShape3,835,de5ec8cdbbb5d2acfd70489b80b65cb83e522d04a9721fdbee7a4ccf10e69945,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
7,DefineShape,803,3af4e6cfec878f83f1bdd554401005d260192858ccb18e45f4c1f466b390e15c,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
8,DefineText,5028,812101fed79fb99830be653a35197881f1f992bca5b41578596d95e66c477237,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
9,DefineShape,818,b3e42cf1b8cfccd963e8c2df7ecc1913d447455052cb5c15fffe62c22573437b,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
10,DefineButton2,3423,177efdfddabd85864460e1d246455892c36e5c5119186e5ca4e1af3e3e511681,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
11,DefineButton2,3412,0eecc35525b8d376fe890baf104c33ef5aafd7bc068bf3ecb49c4f787828964f,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
12,DefineShape3,835,25ab753736d106e48782a7cd3c6dae811892799c2614b77f022dcb055226392c,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
13,DefineShape,718,2cd09739ee22e8a6de141df5423dc8e715053cc59aab210c1fc6d1920789db4d,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
14,DefineText,4834,cb99f2f46d25a201904747b554f2f9179dfb397e3ffd6d0235121a23aa6a5c2d,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
15,DefineButton2,3410,442ef3e08308d0b664f18c28fdc9209e2b9680e56af2644318bec83f1791ba2c,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
16,DefineShape3,22566,a854ff20665dadb460c4e6fdfe87342b448d18ebe71e4dfb09b053aac5e707a8,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
17,DefineFont2,19787,ed3e2bc9484500a4a36bda375b74a3557bd5dd65ee0ae76b528075e3b8597d98,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
18,DefineText,849,5a082316ac99e5d8028165cba1e1400814bd63c9a05fc66ffd67557659401bb6,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
19,DefineText,848,5021580015ffd048f4119b5df9fd39b508dd16a5a9069492fc251a6df2967560,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
20,DefineText,848,52ab5e9c2fa4f94ac21d3d5c1d1935fb0802dd31bb70acb9337f4eb790b51bff,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
21,DefineText,848,e1d426e133eebe66935a02cb99fd47af6cd454d10c5c8f30188cba939c79f9e9,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
