frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,0,default,en,structural-specification-initial,source-root-structural-specification-only; nativeStage=800x600; rootFrame=1/10; structuralReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:e74412b8daa122df3c2bed57be97453555c43e5b6695528138b4f983cc375946; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
1,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,0,default,es,structural-specification-initial,source-root-structural-specification-only; nativeStage=800x600; rootFrame=1/10; structuralReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:4832f2060570577304289f28a9794aad897c71f3dcd50d3a1bf32015eb85bd7a; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,416.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/10; structuralReasons=exported-action-script|frame-label:begin|root-named-placement|script-stop-state|static-root-render-hash-transition|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:e74412b8daa122df3c2bed57be97453555c43e5b6695528138b4f983cc375946; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
6,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,416.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=6/10; structuralReasons=exported-action-script|frame-label:begin|root-named-placement|script-stop-state|static-root-render-hash-transition|structural-action:DoAction; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:4832f2060570577304289f28a9794aad897c71f3dcd50d3a1bf32015eb85bd7a; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,500,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:e74412b8daa122df3c2bed57be97453555c43e5b6695528138b4f983cc375946; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
7,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,500,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=7/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:4832f2060570577304289f28a9794aad897c71f3dcd50d3a1bf32015eb85bd7a; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,583.333333,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:e74412b8daa122df3c2bed57be97453555c43e5b6695528138b4f983cc375946; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
8,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,583.333333,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=8/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:4832f2060570577304289f28a9794aad897c71f3dcd50d3a1bf32015eb85bd7a; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,666.666667,default,en,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-en.json@sha256:e74412b8daa122df3c2bed57be97453555c43e5b6695528138b4f983cc375946; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
9,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,666.666667,default,es,structural-specification-transition,source-root-structural-specification-only; nativeStage=800x600; rootFrame=9/10; structuralReasons=static-root-render-hash-transition; runtimeReachability=unresolved,source-static-root-frame-selection-only; no runtime trigger or causality claimed; strictAcceptanceEffect=none,,,,,,,,,,audit/scenario-inventory.json@sha256:4a3e9b6e8678526a7f1ac874b622a19fcf69750dbcaf085607f724ebf46f5667; baseline/ffdec-root-frames.json@sha256:81bafac9f6b1b9f8564ac1318e0a34defc852dba31ab2a20bc1cf9b167175f11; evidence/full-frame-coverage.json@sha256:c7814e225c5f4332f640bccdad091ab807975dec2e3ef82ee78e1df3631c6cd7; migrations/course-g04-l10-vb-007/audit/trace-specs/lesson-releases/lesson-g04-l10-perimeter-area/req-default-root-es.json@sha256:4832f2060570577304289f28a9794aad897c71f3dcd50d3a1bf32015eb85bd7a; migrations/lesson-release-trace-spec-indexes/lesson-g04-l10-perimeter-area.json@sha256:d2f846831fa9a5c7c3a7e9cb0276a8b3671fbf6c26d17067bf4610c132e8687f; audit/frame-domain-disposition.json@sha256:96d07d4633c6bf18a772d64883bab3111d4427920d8e1127418cc6eb63e683bf,,"Source-evidenced root structural specification only. Runtime reachability and natural playback remain unresolved. EN and ES rows bind separate exact coverage identities; no language visual difference or bilingual acceptance is asserted. Audio cue content, timing, host synchronization, and Replay behavior remain unresolved. Nested keyframes are not invented. Baseline, implementation, diff, RMSE, timing, visual-result, and reviewer fields are intentionally blank. Fidelity, human review, owner acceptance, strict completion, and publication remain unresolved. strictAcceptanceEffect=none."
