asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,f97580cfb20f90358edd828497fdad93a68c5cf0e16fdae4f31f0f4963503688,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=31; rawTagPayloadSha256=f97580cfb20f90358edd828497fdad93a68c5cf0e16fdae4f31f0f4963503688; exactTagIdentitySha256=97310ae42035e866d70fc902630753e44c0ee7d666ee33ae5cbde748a181a586; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00009,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,8663655edadd0550b9269a65fff00aa115a535f8b5e9c2d129092e20df54313a,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=28; rawTagPayloadSha256=8663655edadd0550b9269a65fff00aa115a535f8b5e9c2d129092e20df54313a; exactTagIdentitySha256=070b2a214c2b3d9a49710107c4da0b8228dec64ee9a26fc11013eda71433f40d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00010,3,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,227e33a8ccb8f5d242917ffadbe4247b677751c0d130a2a24b214015fcee998f,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=10; payloadBytes=16; rawTagPayloadSha256=227e33a8ccb8f5d242917ffadbe4247b677751c0d130a2a24b214015fcee998f; exactTagIdentitySha256=d1ff8733771b22015d78091ba45bf7efabcfe1ec36532c9ea73d731cbb06cd79; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,458098b39d4bf4af53f46bf1e90c8cb02efcfc35b98e4fdabcd84d7a9896de1b,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=39; rawTagPayloadSha256=458098b39d4bf4af53f46bf1e90c8cb02efcfc35b98e4fdabcd84d7a9896de1b; exactTagIdentitySha256=99c6c626108cc1e45b674033aa5434fd92e579b8191dcf853bbe2de86ffb3c5b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,5,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,37be2a16c38ddbf9c8a22087ac43fbacec315961775b97eb08530873cf9da874,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=16; rawTagPayloadSha256=37be2a16c38ddbf9c8a22087ac43fbacec315961775b97eb08530873cf9da874; exactTagIdentitySha256=9fbdafc1e1015ac3dc0c409654e99fab6a0aee8c5747e77cb7ec527131001bed; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,6,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,5b7b1dde0704a3649f8f1b9051dcc89a8be41270cc9800bf0cf7d6cb727bcf82,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=32; rawTagPayloadSha256=5b7b1dde0704a3649f8f1b9051dcc89a8be41270cc9800bf0cf7d6cb727bcf82; exactTagIdentitySha256=d842f918dbff9495447a09f2db92d4c28ddfd9d72ad45cd156f2b569d2286029; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,7,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,5df3a1544a573ef6eedb95f79300db40b374ab944f1a4145e0c6ad07b56bb10d,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=16; rawTagPayloadSha256=5df3a1544a573ef6eedb95f79300db40b374ab944f1a4145e0c6ad07b56bb10d; exactTagIdentitySha256=b873ae71f6a8662087232e69a6e84deb9ae5ad1f28ae8f7b523bbf59ba8ac107; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00024,8,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,f5ae0591c123a83797bb989635aa9b5ef2e0d399f76c177c3c415fd1ef0514ee,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=33; rawTagPayloadSha256=f5ae0591c123a83797bb989635aa9b5ef2e0d399f76c177c3c415fd1ef0514ee; exactTagIdentitySha256=8d167933bfc05be9b3fe6c26f58e12a4c7bfb27b626d02ff6c51f84c26f13677; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00025,9,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,a982858d440a18ca1580cc3d60f41c84a432baa57d23dd322cf570f864798179,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=16; rawTagPayloadSha256=a982858d440a18ca1580cc3d60f41c84a432baa57d23dd322cf570f864798179; exactTagIdentitySha256=819bce85c541d5b681635696fcb914539afa8aca5b8bb8aa514cabf234c57dad; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/FQ/L4FQ01.swf,,,28d9c1ca55fe469d2572ab08ff772db7f5bcd5bde9cb5235b9dee4e590e7478f,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=33; rawTagPayloadSha256=28d9c1ca55fe469d2572ab08ff772db7f5bcd5bde9cb5235b9dee4e590e7478f; exactTagIdentitySha256=598f8d465980667b383d27a3942cc227b62e7563620914c226796db77dcb4631; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
