asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,d040f7aeafa0480bee37c4b7b0f6e36a8cf06a0c91f5e3c63f597a7067b7a473,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=106; rawTagPayloadSha256=d040f7aeafa0480bee37c4b7b0f6e36a8cf06a0c91f5e3c63f597a7067b7a473; exactTagIdentitySha256=7ce835170086f43142dff359d52b0772b9776715da0d1d19a7b4a84d90511a45; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00004,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,176ff3024801a34a294540512016d21bef8d1eb5a2198c73ef4b488d1c518bbf,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=4; payloadBytes=55; rawTagPayloadSha256=176ff3024801a34a294540512016d21bef8d1eb5a2198c73ef4b488d1c518bbf; exactTagIdentitySha256=00d91beac09250d97f9b22bbb646dda39b83e0582f6ad00a1875dd12092660c6; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00005,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,6b0ca6889009817c90bff2c612d7b8d3911f7a2ffcac7bb75a59d53070a9d2e0,DefineFont2,,52,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5; payloadBytes=3957; rawTagPayloadSha256=6b0ca6889009817c90bff2c612d7b8d3911f7a2ffcac7bb75a59d53070a9d2e0; exactTagIdentitySha256=fb305cb7df999565d579b4ec71252e17dd32b0c2a0c31079b752416151fbfc0f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00006,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,1173082c6ebb7574d63c26fbaa59219b1df94136f5ef75cd3d431c015ae4eafb,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=6; payloadBytes=37; rawTagPayloadSha256=1173082c6ebb7574d63c26fbaa59219b1df94136f5ef75cd3d431c015ae4eafb; exactTagIdentitySha256=07ccf3c6e48de324c8c5880a48796ee9d25946493b8928622ad3cc2ed0a0c380; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00007,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,416e664b7796a0bcd6508468f7a31e1f80f11e3247fdb67ee8a4f910ef5a2f5c,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=7; payloadBytes=64; rawTagPayloadSha256=416e664b7796a0bcd6508468f7a31e1f80f11e3247fdb67ee8a4f910ef5a2f5c; exactTagIdentitySha256=1145a93d8b283a71178f5d646ab2e065980fabf015581daea1efd1cc74eec2f0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00008,6,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,418e100cdad690bb72ff08de66e3a173dcd4d998e979b07e9aa375432730bf5b,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=8; payloadBytes=280; rawTagPayloadSha256=418e100cdad690bb72ff08de66e3a173dcd4d998e979b07e9aa375432730bf5b; exactTagIdentitySha256=38ac8dc93d0fc4aee406f2bbb51c48de47cf67bb981a941c90ac152a45b07bb7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00009,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,a16c43d83eecb4cef71c6cfaf078b3da18f184af53fbd599164f1c832744d185,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=34; rawTagPayloadSha256=a16c43d83eecb4cef71c6cfaf078b3da18f184af53fbd599164f1c832744d185; exactTagIdentitySha256=bff3ccca7ea34ece8addb651d5beb9c113c2a4b8042dfcb442d0e4e8c5625901; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00010,8,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,63d51bc54e97d191dc66d51f894ce4140aa555210c1738616416237ca693492b,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=10; payloadBytes=2040; rawTagPayloadSha256=63d51bc54e97d191dc66d51f894ce4140aa555210c1738616416237ca693492b; exactTagIdentitySha256=af1c1ac59be03139a6882dce792c0d9de7bb39b9cc3f7fd0bc49aba210215834; declaredFrameCount=5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00025,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,8c3cb3ac920b10c34fcf94b843088bd92715159167c8cecbe0825504a7163fff,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=291; rawTagPayloadSha256=8c3cb3ac920b10c34fcf94b843088bd92715159167c8cecbe0825504a7163fff; exactTagIdentitySha256=fad81d3db33e8c56ac5f211313111074774bc2ce1ac6c5e9b78369998f5b801f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00026,10,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,bf9689cbfe2e55bf3941661970bfc6922bb46cef3d748c0a0d6063dbf61469e6,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=266; rawTagPayloadSha256=bf9689cbfe2e55bf3941661970bfc6922bb46cef3d748c0a0d6063dbf61469e6; exactTagIdentitySha256=fb67895b32c4c99419978fd6908b1c8af5c91afa53b9f608b926dc9e95a6475d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00027,11,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,875c870c95ae302aa59fb6a68de50d80b363d14f6c803a1ac6c6cc9b668e08b6,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=162; rawTagPayloadSha256=875c870c95ae302aa59fb6a68de50d80b363d14f6c803a1ac6c6cc9b668e08b6; exactTagIdentitySha256=9b4bbbc6c1ca66bf2fa4b906761bffaa8cc2fd1c0c248fbd442e053ef878e366; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00028,12,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,441a7ca1e9b569de525b75012c43b9ad691145341e3285e3fc3d5315903d646b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=118; rawTagPayloadSha256=441a7ca1e9b569de525b75012c43b9ad691145341e3285e3fc3d5315903d646b; exactTagIdentitySha256=7d4eda70ef6f59a5f0673e66c27dd50cacad4ffee09037a75a29d7fea7424a30; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,13,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,74dbc2a9c37c22010d67f13767f987ecd0162a258822873a3c5b36a03e4d5537,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=212; rawTagPayloadSha256=74dbc2a9c37c22010d67f13767f987ecd0162a258822873a3c5b36a03e4d5537; exactTagIdentitySha256=66a72c1fd4fed0eb69a2f37ae0c0f57353925fc895915727046f3a95440d0c81; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00030,14,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/GS/L4GS02.swf,,,43dda38fbe465484bae97480da7737512ff46160c86de65ae5e07988d3292a14,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=83; rawTagPayloadSha256=43dda38fbe465484bae97480da7737512ff46160c86de65ae5e07988d3292a14; exactTagIdentitySha256=e050e6b422df18feecc33e40ae3a1bcd9ba07102d58cd5ff151ca2fe537c0f62; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
