frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,69732ab8bceef88937e57ba5fd8b734fb8192e944490e25f547768bf1084c082,0,root-unavailable,en,structural-initial,source-derived structural candidate; directReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=221105092d5c999cde2c58c7eb95ba0de7eda567919479a5d1847a0bb0040815,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,e9758ae1fc922f695bf64730926b77a9d29becff09bf353fd92a60db41f8f9b2,0,root-unavailable,es,structural-initial,source-derived structural candidate; directReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=221105092d5c999cde2c58c7eb95ba0de7eda567919479a5d1847a0bb0040815,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
6,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,69732ab8bceef88937e57ba5fd8b734fb8192e944490e25f547768bf1084c082,416.666667,root-unavailable,en,authored-stop,source-derived structural candidate; directReasons=exported-action-script|frame-label:begin|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=09dce2a80c77395aaa09775376ac896b57c6637421c1fd8f41f04030a4778a37,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
6,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,e9758ae1fc922f695bf64730926b77a9d29becff09bf353fd92a60db41f8f9b2,416.666667,root-unavailable,es,authored-stop,source-derived structural candidate; directReasons=exported-action-script|frame-label:begin|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=09dce2a80c77395aaa09775376ac896b57c6637421c1fd8f41f04030a4778a37,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
10,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,69732ab8bceef88937e57ba5fd8b734fb8192e944490e25f547768bf1084c082,750,root-unavailable,en,structural-terminal,source-derived structural candidate; directReasons=terminal-structural-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=2394157a0e542f99514f54d672b901e56b3df89eb30e0d9772825652888acbc1,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
10,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,e9758ae1fc922f695bf64730926b77a9d29becff09bf353fd92a60db41f8f9b2,750,root-unavailable,es,structural-terminal,source-derived structural candidate; directReasons=terminal-structural-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=2394157a0e542f99514f54d672b901e56b3df89eb30e0d9772825652888acbc1,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:sprite-436:lesson-shell-natural-entry:en,sprite-436,trace:sprite-436:lesson-shell-natural-entry:en:seed-0,f80f0b8650d3c3ae068adbdb47f43eb99218766bca39f5383b81d9c2504acb9f,0,source-static-frame,en,interaction,source-derived structural candidate; directReasons=initial-one-indexed-frame; controlStates=3; interactionInstances=4; events=release; categories=glossary-or-hyperlink; sourceTimelineCount=2; projectionSha256=237a6da3c179e900587a2bea727dc3bfd78c58b3d68341ec75b58e7733926385,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:sprite-436:lesson-shell-natural-entry:es,sprite-436,trace:sprite-436:lesson-shell-natural-entry:es:seed-0,83dd121d9d00789c3c915d755b47cbda24d22422020580d74fcd247e3f2ac0a7,0,source-static-frame,es,interaction,source-derived structural candidate; directReasons=initial-one-indexed-frame; controlStates=3; interactionInstances=4; events=release; categories=glossary-or-hyperlink; sourceTimelineCount=2; projectionSha256=237a6da3c179e900587a2bea727dc3bfd78c58b3d68341ec75b58e7733926385,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
452,req:sprite-436:lesson-shell-natural-entry:en,sprite-436,trace:sprite-436:lesson-shell-natural-entry:en:seed-0,f80f0b8650d3c3ae068adbdb47f43eb99218766bca39f5383b81d9c2504acb9f,37583.333333,source-static-frame,en,interaction,source-derived structural candidate; directReasons=event-handler:release|event-handler:rollOut|event-handler:rollOver|exported-action-script|frame-label:StartGame|script-stop-state|structural-action:DoAction; controlStates=6; interactionInstances=3; events=release|rollOut|rollOver; categories=navigation-or-timeline; sourceTimelineCount=3; projectionSha256=9a425936aa7ae7fc800c9f6549ac082e9be75c6c40a6fc08f1e56fe0fe57ab08,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
452,req:sprite-436:lesson-shell-natural-entry:es,sprite-436,trace:sprite-436:lesson-shell-natural-entry:es:seed-0,83dd121d9d00789c3c915d755b47cbda24d22422020580d74fcd247e3f2ac0a7,37583.333333,source-static-frame,es,interaction,source-derived structural candidate; directReasons=event-handler:release|event-handler:rollOut|event-handler:rollOver|exported-action-script|frame-label:StartGame|script-stop-state|structural-action:DoAction; controlStates=6; interactionInstances=3; events=release|rollOut|rollOver; categories=navigation-or-timeline; sourceTimelineCount=3; projectionSha256=9a425936aa7ae7fc800c9f6549ac082e9be75c6c40a6fc08f1e56fe0fe57ab08,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-gs-002/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
