asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,9279eea34e2ca762d2816bd52a71077d83cd2bd303b1a8863f306f7c970fd27d,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=1130; rawTagPayloadSha256=9279eea34e2ca762d2816bd52a71077d83cd2bd303b1a8863f306f7c970fd27d; exactTagIdentitySha256=9c0bd9238398b227b3019a4acd566132a0281218c9f6f7876d0b87209ce7ff0b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,5c6e8a09b78b7b381cdd59ee41acb516db8a66dc34a84efe4cbcd680aefdf23c,DefineFont2,,36,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=2634; rawTagPayloadSha256=5c6e8a09b78b7b381cdd59ee41acb516db8a66dc34a84efe4cbcd680aefdf23c; exactTagIdentitySha256=610df53fced00267d126ed19ec4437ebec0ecc9cb4e7199c3aaf9bafc8c71773; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,2f17c391ea249bcc3a590f5747fb7293c45538c9e7be0f50263c0607bc4710d3,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=33; rawTagPayloadSha256=2f17c391ea249bcc3a590f5747fb7293c45538c9e7be0f50263c0607bc4710d3; exactTagIdentitySha256=8d38591cbab41118b8fbd55e791d982ea969ee29ccd915bf1659c0406e53605a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,f521edfe2a1238b3c4bdfb2649a6884bfa06c2c9bc356b3112c16b2243e22c85,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=30; rawTagPayloadSha256=f521edfe2a1238b3c4bdfb2649a6884bfa06c2c9bc356b3112c16b2243e22c85; exactTagIdentitySha256=8020f66c342000b44db825b7ba5664fd17cfdbe4492c4a6e356421197fc3a3c2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,485ea624a8ce02a6580e6bb73628b8f5c753ec8cea9defcd1c76b15d16d81aae,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=161; rawTagPayloadSha256=485ea624a8ce02a6580e6bb73628b8f5c753ec8cea9defcd1c76b15d16d81aae; exactTagIdentitySha256=614771586c6fd595709da9ba27737af9b45aac20128301473b4bde27c3fcfeac; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,ed01565a11b9620bcba865d16c35c72bc48078f99488ca1344ff79c1dcb6bbc3,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=29; rawTagPayloadSha256=ed01565a11b9620bcba865d16c35c72bc48078f99488ca1344ff79c1dcb6bbc3; exactTagIdentitySha256=5f5c515e67e7b20572a3cef29118d394826622403541469b56dad0dcdf4d5af8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,f4046daa36bd3b453d14c5e96368d2ae61465bc15b42ddccf104a3c2fec3039a,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=128; rawTagPayloadSha256=f4046daa36bd3b453d14c5e96368d2ae61465bc15b42ddccf104a3c2fec3039a; exactTagIdentitySha256=79124bed56ee8819d145b7abfd6a5634498802cdce9c8e559795acbc171fd109; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,5756a35b2c3541f4c5e7dff15d0cb2e459b749a94d5b159465f2b07e5d2387a2,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=78; rawTagPayloadSha256=5756a35b2c3541f4c5e7dff15d0cb2e459b749a94d5b159465f2b07e5d2387a2; exactTagIdentitySha256=47af3ec32c094f3ab7f1b9d4c790af01eedcf257176d3c96c7e5e3dac5dab3ab; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,aca9c678b60b99d1905c302f69eb64718e5b7613dcec75087fd5ba7d12fe8fc0,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=48; rawTagPayloadSha256=aca9c678b60b99d1905c302f69eb64718e5b7613dcec75087fd5ba7d12fe8fc0; exactTagIdentitySha256=c83c7946d72364bbe22fa9c0c95c0e6e4d3a08f66fe5a3c284c42d1120f52f93; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN12.swf,,,b88b958f58f5a2adbb75234d38f597f819e16c524f08773132bc1a0ea6b3bf48,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=194; rawTagPayloadSha256=b88b958f58f5a2adbb75234d38f597f819e16c524f08773132bc1a0ea6b3bf48; exactTagIdentitySha256=5637d82f6e331ed88f834139ca9a54dd4f7abff3d956604f9b69aca7dffce7c8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
