asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,structural-shape-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineShape,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=1130; rawTagPayloadSha256=0d0f0cc57bdd50b005921c691bd9d50be84ae70939f47b5292137e1f1b98eaef; exactTagIdentitySha256=05e440afa6d04a39630361a6a64d9aa060505ee3459604dbe1d9ceaa60a0db2c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00013,2,,structural-font-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineFont2,,29,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"swfEmbeddedFontName=Bauhaus Md BT; container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=1979; rawTagPayloadSha256=d7d7de5acab0b59f9089d1d67bee681fa9e274e50ae2d0ae53ae0bcf8d98a2d0; exactTagIdentitySha256=4d567ee86f0e9c48596b86147057d09458641b301f8d027240da41f613894e47; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00015,3,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=126; rawTagPayloadSha256=2e44f2cfef5e280168ee1d6f30835fa25f029c39bf873c4a721a0e0fff19928e; exactTagIdentitySha256=4758545d884dbead67f481967254fa25eb74ebd40ed381162ad99bd647a82b88; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00016,4,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=33; rawTagPayloadSha256=7cd0c4002a82c7933f59b5967766c4918cd1b18935edff6f22f05118b1ccc9dd; exactTagIdentitySha256=6aaa7175e798970d0b1258ecd8cd98f4e32b6256b1cce69e55ad1038d2a8feb1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00017,5,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=30; rawTagPayloadSha256=005c15cb6ba9474708ac889e51c5f3436104a8c18f29f78e8ca6a205cdc8b108; exactTagIdentitySha256=b6cd76c8afca22c620e028820a20c1e907934234d2a713db960948ca25cb9500; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00018,6,,structural-shape-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineShape2,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=311; rawTagPayloadSha256=c7ed3b11dc2eee53f774fe3ded5283c12089c739c820adada7b5864bb56667d8; exactTagIdentitySha256=9c4208d64577ccfd0fe9754052cdef538c5023b36ca2366e0d4fa9644cd4db6b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00019,7,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=29; rawTagPayloadSha256=72fc40b66fda53ad5c2a037834451d2f8ebb2248b284bfb7f37dc987094e541d; exactTagIdentitySha256=7fb06b3b0b1f65a08725c84f79d8c9db96ea2179b0dec557f9f91462c9da2156; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00020,8,,structural-shape-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineShape2,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=128; rawTagPayloadSha256=19c3825cec86f359af23c484a1c7aa254e636a630330be2e322b693ef9cb76a0; exactTagIdentitySha256=d4d7d105e9d402b14316a6e172034b1134f2cd91f5634487afef87ceab00d488; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00021,9,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=29; rawTagPayloadSha256=52e3dd4dd72caa763b5e887f9f82a6c44b039044db579c443884a77ced9049da; exactTagIdentitySha256=64d7779dac440150cc7bedd9fb11fba8b75cdf872d3fa8e7fb534e20c782ab9d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00022,10,,structural-shape-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineShape,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=80; rawTagPayloadSha256=8faf4397a7f8848b75ab9e2f920851f04891d49703087c0217785ea6ed368e62; exactTagIdentitySha256=1c5749d0208a1820f92e603bb7e758af5c7d13f72a18798feffce140250a35e1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00023,11,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=29; rawTagPayloadSha256=b4369418c95575939d6afb9bedddf685cff36e394a8f22050dfee97bf04fb0ea; exactTagIdentitySha256=00754a6ea106447e1834a3e50b7446b3b918cf4540633740816105ddcc3125b3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00024,12,,structural-shape-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineShape3,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=34; rawTagPayloadSha256=681e1b459957de0887022202cff094ada559ecdae36c0f5f7bf334534ef75fbf; exactTagIdentitySha256=02cc881b855b05a5aae9bfbbd1cd5a4d351a96b04fc5262a3ea7a57688354cef; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00025,13,,structural-sprite-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineSprite,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=24; rawTagPayloadSha256=168a7c81dc518a6af40cf60b0aaf8effb2fbe9fd66454b50ab1405d9ccf542a5; exactTagIdentitySha256=25cdbc9ddff7d1bf7ef3c22b128ad84ebee7bacbd53bc3863484c204755a3d0e; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00029,14,,structural-sprite-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineSprite,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=24; rawTagPayloadSha256=c16120c429a3829e7a96578ac8c5afec5c71a25216315952ecb8632be2a4c41b; exactTagIdentitySha256=ee88ba2600b7463f8de7c36e83cd3e51ce1bfb82a60290d87ba47731c0861147; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00033,15,,structural-sprite-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineSprite,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=16; rawTagPayloadSha256=873a8d2b353c8e13071c176806e110b428e2924b14a33bd424f865468ec057e1; exactTagIdentitySha256=26724df56fc73326b7dbc32836648dfb96e0441fcc56e48dc68276bad396f6bc; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00037,16,,structural-shape-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN13.swf,,migrations/course-g05-l04-in-013/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f,CSV definition-index record for DefineShape,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=55; rawTagPayloadSha256=f84eb59ec751d70d98ddc9126f069f505b53ca330e83b6be7ec73e66d688701f; exactTagIdentitySha256=a39f4f91344f047ad2594f7d7e84399474f958bbaaeb8fd26c243309517da26f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=2fb9cc525220341a457005f5458da53864a24473166268140e902dd1259b8b9f; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
