frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,527a31e6077686cf7f4de11a8357c49e2030d22d10cc70641c4eaa5d3e39f51d,0,root-unavailable,en,structural-initial,source-derived structural candidate; directReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=9503531cce5daf300b2e8ec5d33750f4474bbc664e18a16de4471d71b4506f98,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,a37203e4cb0df43bb5911b88948fd1fbb4200aea2983575bfc0bfee987996956,0,root-unavailable,es,structural-initial,source-derived structural candidate; directReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=9503531cce5daf300b2e8ec5d33750f4474bbc664e18a16de4471d71b4506f98,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
6,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,527a31e6077686cf7f4de11a8357c49e2030d22d10cc70641c4eaa5d3e39f51d,416.666667,root-unavailable,en,authored-stop,source-derived structural candidate; directReasons=exported-action-script|frame-label:begin|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=888fc0b6e0047fe86f21dd8e76d6d3f0bdd290758e6c4638a8d515c067aa7c69,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
6,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,a37203e4cb0df43bb5911b88948fd1fbb4200aea2983575bfc0bfee987996956,416.666667,root-unavailable,es,authored-stop,source-derived structural candidate; directReasons=exported-action-script|frame-label:begin|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=888fc0b6e0047fe86f21dd8e76d6d3f0bdd290758e6c4638a8d515c067aa7c69,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
10,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,527a31e6077686cf7f4de11a8357c49e2030d22d10cc70641c4eaa5d3e39f51d,750,root-unavailable,en,structural-terminal,source-derived structural candidate; directReasons=terminal-structural-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=eaef127078ebe48d11f8d38d999d02d86726259a73b8b8d653eef0c9f918c4a3,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
10,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,a37203e4cb0df43bb5911b88948fd1fbb4200aea2983575bfc0bfee987996956,750,root-unavailable,es,structural-terminal,source-derived structural candidate; directReasons=terminal-structural-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=eaef127078ebe48d11f8d38d999d02d86726259a73b8b8d653eef0c9f918c4a3,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:sprite-220:lesson-shell-natural-entry:en,sprite-220,trace:sprite-220:lesson-shell-natural-entry:en:seed-0,8b46bf19342237cd2cfe234335322930942b6ea7dcfa584623ed81e3487cfeb6,0,source-static-frame,en,structural-initial,source-derived structural candidate; directReasons=initial-one-indexed-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=d538c93defb94e1e6b1ba996bc100e2b2fe0e93812ffddfa5a2d8463eb895c28,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:sprite-220:lesson-shell-natural-entry:es,sprite-220,trace:sprite-220:lesson-shell-natural-entry:es:seed-0,7f15d5027bafe4210fec7d23ed9bb93404d24f43ff31a30b827cebd89d404f45,0,source-static-frame,es,structural-initial,source-derived structural candidate; directReasons=initial-one-indexed-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=d538c93defb94e1e6b1ba996bc100e2b2fe0e93812ffddfa5a2d8463eb895c28,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
218,req:sprite-220:lesson-shell-natural-entry:en,sprite-220,trace:sprite-220:lesson-shell-natural-entry:en:seed-0,8b46bf19342237cd2cfe234335322930942b6ea7dcfa584623ed81e3487cfeb6,18083.333333,source-static-frame,en,interaction,source-derived structural candidate; directReasons=exported-action-script|script-stop-state|structural-action:DoAction; controlStates=15; interactionInstances=3; events=release; categories=correct-outcome|navigation-or-timeline|wrong-outcome; sourceTimelineCount=8; projectionSha256=0381aa8bbf3d074b697441e7c08b42377636f8cc9d81c99884f85f44f8781192,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
218,req:sprite-220:lesson-shell-natural-entry:es,sprite-220,trace:sprite-220:lesson-shell-natural-entry:es:seed-0,7f15d5027bafe4210fec7d23ed9bb93404d24f43ff31a30b827cebd89d404f45,18083.333333,source-static-frame,es,interaction,source-derived structural candidate; directReasons=exported-action-script|script-stop-state|structural-action:DoAction; controlStates=15; interactionInstances=3; events=release; categories=correct-outcome|navigation-or-timeline|wrong-outcome; sourceTimelineCount=8; projectionSha256=0381aa8bbf3d074b697441e7c08b42377636f8cc9d81c99884f85f44f8781192,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-in-018/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
