asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,structural-sprite-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineSprite,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=31; rawTagPayloadSha256=f97580cfb20f90358edd828497fdad93a68c5cf0e16fdae4f31f0f4963503688; exactTagIdentitySha256=97310ae42035e866d70fc902630753e44c0ee7d666ee33ae5cbde748a181a586; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00009,2,,structural-sprite-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineSprite,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=36; rawTagPayloadSha256=05774199c35c8ed33933edc55e62443b03dbe2b8b0947cbed65f6035c5eeafc8; exactTagIdentitySha256=a8e42e78a6faa6d09f1087b219b1652e2354a012e9a6d22c3f3727fa4a40dd96; declaredFrameCount=3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00018,3,,structural-sprite-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineSprite,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=16; rawTagPayloadSha256=bba7fc59084b833ff92c012a666e276357bacb81d6bb675e48a3849ff7039394; exactTagIdentitySha256=929303d501d236c4f421f17f000ff344ee0aefe43b4e77f4cbd1241e3aa1cd22; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00023,4,,structural-sprite-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineSprite,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=36; rawTagPayloadSha256=d24a170c55c2a01ec72cd79c9a785c4b48ef6a8c3cae743296ff638e8ef8e583; exactTagIdentitySha256=6fee2d4732a996e905eb92ad1fb6818d79a5b8eb8bbabbf9f0adf48fa25bd045; declaredFrameCount=3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00032,5,,structural-sprite-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineSprite,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=15; rawTagPayloadSha256=8083497ce65f057f97883ff367bb65d5374abe2086e300676a1689545df58145; exactTagIdentitySha256=08ec3f4a9bd5c04ecdf6d16a67348e6ff9d3e075f0fc409d0481552237ebcfa2; declaredFrameCount=1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00047,6,,structural-shape-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineShape,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=294; rawTagPayloadSha256=6a9a6508c5dc167487b8c03bd0ce0610b17c671d1d902cd7c81509da95f0be74; exactTagIdentitySha256=a24e9f5c80d78c3305db6735d9748ee5cee198a102d5fcdb3971db0b8f5f7803; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00048,7,,structural-font-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineFont2,,35,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"swfEmbeddedFontName=Bauhaus Md BT; container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=2493; rawTagPayloadSha256=d80eb17946e8118ad9855a78d7b75089624fccb316e445897ab0288c69ab32be; exactTagIdentitySha256=322fd1185b2bed329a57f04c2149756f4f01a1d814b8f81e806a56d7acff1006; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00050,8,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=25; rawTagPayloadSha256=7f9bad1ac458859f0869ed20e5c7324227ba59acb43efed56bcfaf871b5baa80; exactTagIdentitySha256=f324d8373385dc84cdf0a7fb2500c16c69bc125d794f43ab89131bff81e1d85a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00051,9,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=25; rawTagPayloadSha256=ed33b2d046762092bf47074cbde6b48174a4a54347571cebc03167a014ba155d; exactTagIdentitySha256=05ed96a7c8ffe2f81c8f64a0b918557e7a819690dda9e3f339a59e4f9ee3b98d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
swf-definition-00052,10,,structural-text-definition-candidate,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,,migrations/course-g05-l04-ir-001-a662633d/audit/machine/g5-l4-pre-runtime-swf-definition-inventory.csv,4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4,CSV definition-index record for DefineText,,,"projection only; no asset bytes exported, transformed, redrawn, or generated",machine-extracted-structural-candidate,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=52; payloadBytes=25; rawTagPayloadSha256=7ad7672c201ac891c098eedc18805ea755e88adc0b88d5d556a2adc2faa83258; exactTagIdentitySha256=1d427f927a1b9a08a02bf8715c4fffe28b77bfb3a0fa98544605407f39aeba76; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved; machineDefinitionIndexSha256=4072267f510fbc924132c2275e80c5111dbf627afde41fdd3b4567a6524b07d4; Structural/static source-derived candidate only. The exported_file is the shared machine definition-index evidence, not a visual or renderer asset export. It is not an authoritative original-runtime baseline and establishes no runtime reachability, placement, asset usage, visual appearance, renderer suitability, human or owner acceptance, strict completion, or publication."
