asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00012,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,bbc8f09094a6776b8fd3af015fabd232fdcc84bf3743a901044786e7bf8e7c5d,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=35; rawTagPayloadSha256=bbc8f09094a6776b8fd3af015fabd232fdcc84bf3743a901044786e7bf8e7c5d; exactTagIdentitySha256=f6420cfec79eff82c6512dcc090cc2612efd1b011e013633b89b23ac53c67bea; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,8ed24d288a091315a1c8fd9c6101da03cee9b73305f99f3c51996a08c5f407ef,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=49506; rawTagPayloadSha256=8ed24d288a091315a1c8fd9c6101da03cee9b73305f99f3c51996a08c5f407ef; exactTagIdentitySha256=8584bd7f88094acf5979415014a442fc82a7a18f9ff7d2d40e297a31f95798e4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,4c13a77ab78c981ad43ff245114c96eb1aff154d9f0d702e454e0997d31ded2a,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=199; rawTagPayloadSha256=4c13a77ab78c981ad43ff245114c96eb1aff154d9f0d702e454e0997d31ded2a; exactTagIdentitySha256=c3c4f90d6e9dd3aeb521e25ed0728c36d5b8e597a250aa130eea9fd7970820d6; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,e3cfb2b1b0e7ef6afcbea97023e8b9b808c64f15acba19618c3b0063a1bc4cc7,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=109; rawTagPayloadSha256=e3cfb2b1b0e7ef6afcbea97023e8b9b808c64f15acba19618c3b0063a1bc4cc7; exactTagIdentitySha256=e9d36283a715ba17a380f0e676f78f403068f247617f3d19c88a91057accfe58; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,f217e7af39cae5bbd044e2fc6dd28bdb445997798fb8af35f2b3267ed22359ed,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=132; rawTagPayloadSha256=f217e7af39cae5bbd044e2fc6dd28bdb445997798fb8af35f2b3267ed22359ed; exactTagIdentitySha256=216535d566efd563c88a66f61fb7bab258a12a814b18528e2d699b376d5e9f2f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,71f1c290e9ff8571f2ae75de7f4daa35dc970e7c62249590ebb372f3d7dd9567,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=291; rawTagPayloadSha256=71f1c290e9ff8571f2ae75de7f4daa35dc970e7c62249590ebb372f3d7dd9567; exactTagIdentitySha256=499e8e7b498da899959c924fb9b342db8edf29190eb11ff38cc45e10b4af5169; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,b4b6d9435812765454a39942425575b9436fcb01bd532b5522ecf49d7b695384,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=153; rawTagPayloadSha256=b4b6d9435812765454a39942425575b9436fcb01bd532b5522ecf49d7b695384; exactTagIdentitySha256=294102744855c20144228a966ca35e96684bf55043b9ee92e8501298c5ce66ea; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,ea37d06bfff530bb44239fbed87f07178dcf37b5b56aa386da1c0103fadd69e2,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=97; rawTagPayloadSha256=ea37d06bfff530bb44239fbed87f07178dcf37b5b56aa386da1c0103fadd69e2; exactTagIdentitySha256=b0befae07204c8d43a43ea44b7ee0c4140dc73c47fcafb022bb5a3ab20854f00; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,3fdea735e935c0c1097621b64365b4853a9e75e63250745ea4f3db3d3d4a1c3d,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=2760; rawTagPayloadSha256=3fdea735e935c0c1097621b64365b4853a9e75e63250745ea4f3db3d3d4a1c3d; exactTagIdentitySha256=c61b92290198f01dde1b6db6e5d612d2a867dd817b6641a492f8fe7da6ac015f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,a777e520f6e6312bd3dbba479b40022f00ade36874055c2f9ed857c3720a8cdd,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=2750; rawTagPayloadSha256=a777e520f6e6312bd3dbba479b40022f00ade36874055c2f9ed857c3720a8cdd; exactTagIdentitySha256=a221174b17b0ee22f8f7d046f78cfe4276c35dc813815bf754b081414faeb66f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,11,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,a7920a4ca8fc343b3047e3864285ff687b267b79545a5e50e2428bbee994a27b,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=94; rawTagPayloadSha256=a7920a4ca8fc343b3047e3864285ff687b267b79545a5e50e2428bbee994a27b; exactTagIdentitySha256=e7f230813597863f7b50bb93cb59990c8a128e5718fc185baf7440fefa8d38d7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
