frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,3e1bdaaf8db720853d4d697b0c6ae8145563787f836ba28516c4ac6a22dec623,0,root-unavailable,en,structural-initial,source-derived structural candidate; directReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=51d9f56f2d9aed495858e4a250a73361660c9c87a77692c24c683ce106aa57e3,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,8e0597aabfe3a1dc6d7089907fbd13af0a01b2c375700802c395b4d52b4296bf,0,root-unavailable,es,structural-initial,source-derived structural candidate; directReasons=exported-action-script|initial-one-indexed-frame|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=51d9f56f2d9aed495858e4a250a73361660c9c87a77692c24c683ce106aa57e3,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
6,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,3e1bdaaf8db720853d4d697b0c6ae8145563787f836ba28516c4ac6a22dec623,416.666667,root-unavailable,en,authored-stop,source-derived structural candidate; directReasons=exported-action-script|frame-label:begin|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=57aecfc3d6aa90e634fb0c4ef299c61e1cd43df5821dd48ae5407defce1e94ea,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
6,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,8e0597aabfe3a1dc6d7089907fbd13af0a01b2c375700802c395b4d52b4296bf,416.666667,root-unavailable,es,authored-stop,source-derived structural candidate; directReasons=exported-action-script|frame-label:begin|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=57aecfc3d6aa90e634fb0c4ef299c61e1cd43df5821dd48ae5407defce1e94ea,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
10,req:root:lesson-shell-natural-entry:en,root,trace:root:lesson-shell-natural-entry:en:seed-0,3e1bdaaf8db720853d4d697b0c6ae8145563787f836ba28516c4ac6a22dec623,750,root-unavailable,en,structural-terminal,source-derived structural candidate; directReasons=terminal-structural-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=cdfbdfca846d5a06cfd80800ce4defb3d372f2598f35a733e808eedcc441b5a7,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
10,req:root:lesson-shell-natural-entry:es,root,trace:root:lesson-shell-natural-entry:es:seed-0,8e0597aabfe3a1dc6d7089907fbd13af0a01b2c375700802c395b4d52b4296bf,750,root-unavailable,es,structural-terminal,source-derived structural candidate; directReasons=terminal-structural-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=cdfbdfca846d5a06cfd80800ce4defb3d372f2598f35a733e808eedcc441b5a7,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:sprite-227:lesson-shell-natural-entry:en,sprite-227,trace:sprite-227:lesson-shell-natural-entry:en:seed-0,587b46cc1061e985c469ad3def2790ca7962283d621e178b6c47f0a3df20fba0,0,source-static-frame,en,structural-initial,source-derived structural candidate; directReasons=initial-one-indexed-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=5c0ced5e7e170b24cb11f74a28a8a16cfffc1b4d828a9895a678c5f68d5ac433,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
1,req:sprite-227:lesson-shell-natural-entry:es,sprite-227,trace:sprite-227:lesson-shell-natural-entry:es:seed-0,c55555b17dfc88676fbbfc435427d98eaa07d7448ae161f72641f3d00f93b847,0,source-static-frame,es,structural-initial,source-derived structural candidate; directReasons=initial-one-indexed-frame; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=5c0ced5e7e170b24cb11f74a28a8a16cfffc1b4d828a9895a678c5f68d5ac433,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
385,req:sprite-227:lesson-shell-natural-entry:en,sprite-227,trace:sprite-227:lesson-shell-natural-entry:en:seed-0,587b46cc1061e985c469ad3def2790ca7962283d621e178b6c47f0a3df20fba0,32000,source-static-frame,en,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=1; events=release; categories=calculator|glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=26a615713b32498214ac50df79fe49d109174d184e7b3bdd46d4632f604f37ea,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
385,req:sprite-227:lesson-shell-natural-entry:es,sprite-227,trace:sprite-227:lesson-shell-natural-entry:es:seed-0,c55555b17dfc88676fbbfc435427d98eaa07d7448ae161f72641f3d00f93b847,32000,source-static-frame,es,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=1; events=release; categories=calculator|glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=26a615713b32498214ac50df79fe49d109174d184e7b3bdd46d4632f604f37ea,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
396,req:sprite-227:lesson-shell-natural-entry:en,sprite-227,trace:sprite-227:lesson-shell-natural-entry:en:seed-0,587b46cc1061e985c469ad3def2790ca7962283d621e178b6c47f0a3df20fba0,32916.666667,source-static-frame,en,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=1; events=release; categories=calculator|glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=a11a873b936135b5a820bebdbbf171c218bfa2c6d336b95bf3c69d379879ad80,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
396,req:sprite-227:lesson-shell-natural-entry:es,sprite-227,trace:sprite-227:lesson-shell-natural-entry:es:seed-0,c55555b17dfc88676fbbfc435427d98eaa07d7448ae161f72641f3d00f93b847,32916.666667,source-static-frame,es,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=1; events=release; categories=calculator|glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=a11a873b936135b5a820bebdbbf171c218bfa2c6d336b95bf3c69d379879ad80,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
427,req:sprite-227:lesson-shell-natural-entry:en,sprite-227,trace:sprite-227:lesson-shell-natural-entry:en:seed-0,587b46cc1061e985c469ad3def2790ca7962283d621e178b6c47f0a3df20fba0,35500,source-static-frame,en,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=1; events=release; categories=calculator|glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=9c1f2a5cb362f4ff0c6b1e9f79f3fcb44da334d80808547a01aa13cbedfb9e8e,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
427,req:sprite-227:lesson-shell-natural-entry:es,sprite-227,trace:sprite-227:lesson-shell-natural-entry:es:seed-0,c55555b17dfc88676fbbfc435427d98eaa07d7448ae161f72641f3d00f93b847,35500,source-static-frame,es,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=1; events=release; categories=calculator|glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=9c1f2a5cb362f4ff0c6b1e9f79f3fcb44da334d80808547a01aa13cbedfb9e8e,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
428,req:sprite-227:lesson-shell-natural-entry:en,sprite-227,trace:sprite-227:lesson-shell-natural-entry:en:seed-0,587b46cc1061e985c469ad3def2790ca7962283d621e178b6c47f0a3df20fba0,35583.333333,source-static-frame,en,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=4; events=release; categories=glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=389741127fa661b056b0d07fd787d16467d5f587d8061e98a3936d246e0f8aaf,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
428,req:sprite-227:lesson-shell-natural-entry:es,sprite-227,trace:sprite-227:lesson-shell-natural-entry:es:seed-0,c55555b17dfc88676fbbfc435427d98eaa07d7448ae161f72641f3d00f93b847,35583.333333,source-static-frame,es,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=4; events=release; categories=glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=389741127fa661b056b0d07fd787d16467d5f587d8061e98a3936d246e0f8aaf,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
438,req:sprite-227:lesson-shell-natural-entry:en,sprite-227,trace:sprite-227:lesson-shell-natural-entry:en:seed-0,587b46cc1061e985c469ad3def2790ca7962283d621e178b6c47f0a3df20fba0,36416.666667,source-static-frame,en,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=4; events=release; categories=glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=685816156a5e18129339a75bfc25542022b5869403f41a7bc26dd51561c3024b,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
438,req:sprite-227:lesson-shell-natural-entry:es,sprite-227,trace:sprite-227:lesson-shell-natural-entry:es:seed-0,c55555b17dfc88676fbbfc435427d98eaa07d7448ae161f72641f3d00f93b847,36416.666667,source-static-frame,es,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=4; events=release; categories=glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=685816156a5e18129339a75bfc25542022b5869403f41a7bc26dd51561c3024b,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
455,req:sprite-227:lesson-shell-natural-entry:en,sprite-227,trace:sprite-227:lesson-shell-natural-entry:en:seed-0,587b46cc1061e985c469ad3def2790ca7962283d621e178b6c47f0a3df20fba0,37833.333333,source-static-frame,en,interaction,source-derived structural candidate; directReasons=none; controlStates=0; interactionInstances=4; events=release; categories=glossary-or-hyperlink; sourceTimelineCount=1; projectionSha256=3983a3887bc073ac9e821f0c672dc63b4da3d7245223d6a734bf5b83ccc96029,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/course-g05-l04-rw-004/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent."
