cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-01,es,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/SA/L4TI02.mp3,ceb01daec6d9d1a2f1524e4fac9df279cc2f481f0513640df5e8f7be9cbb8997,,,host-user-activated,22560,mp3,1,48000,,ffprobe version 8.1.2 Copyright (c) 2007-2026 the FFmpeg developers; codec=mp3; stream_bitrate_bps=112000; container_bitrate_bps=112000; language=es from legacy host directory semantics (The legacy host maps language code SP and Spanish page audio to the SA directory.); start_semantics=host-user-activated; no child-timeline start_frame is asserted; spoken content and synchronization require authoritative listening.
embedded-stream-0001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,392,swf-mp3-stream,1,22050,186,"SoundStream in sprite:186, local head frame 1, first block frame 1, 5 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0002,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,3892,swf-mp3-stream,1,22050,278,"SoundStream in sprite:278, local head frame 1, first block frame 2, 47 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0003,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,4571,swf-mp3-stream,1,22050,304,"SoundStream in sprite:304, local head frame 1, first block frame 2, 56 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0004,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,6635,swf-mp3-stream,1,22050,351,"SoundStream in sprite:351, local head frame 1, first block frame 4, 80 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0005,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,4571,swf-mp3-stream,1,22050,395,"SoundStream in sprite:395, local head frame 1, first block frame 2, 56 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0006,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,1985,swf-mp3-stream,1,22050,399,"SoundStream in sprite:399, local head frame 1, first block frame 2, 24 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0007,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,4389,swf-mp3-stream,1,22050,401,"SoundStream in sprite:401, local head frame 1, first block frame 3, 53 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0008,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,1567,swf-mp3-stream,1,22050,403,"SoundStream in sprite:403, local head frame 1, first block frame 2, 19 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0009,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,392,swf-mp3-stream,1,22050,408,"SoundStream in sprite:408, local head frame 1, first block frame 1, 5 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0010,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TI/L4TI02.swf,9922c110563282176b765f3d0befbc81000d85505475c18d5cd8b3fb415e8158,,,interaction-state,1228,swf-mp3-stream,1,22050,412,"SoundStream in sprite:412, local head frame 1, first block frame 1, 15 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
