asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,a4b9cec7dd9cb3eb754cea320e393eece1d8fec60713dbe0dc351d0c9b449268,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2278; rawTagPayloadSha256=a4b9cec7dd9cb3eb754cea320e393eece1d8fec60713dbe0dc351d0c9b449268; exactTagIdentitySha256=c6e7a0b2e6bd1be35a1686bc25b129ab6024717aeccec046c8fa6b0c5e1fa729; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,bf9b62dd775adb5314c30fe57f9dbaf1a2b0bf5959e20e874f00a1d61e2e77ee,DefineFont2,,34,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=2646; rawTagPayloadSha256=bf9b62dd775adb5314c30fe57f9dbaf1a2b0bf5959e20e874f00a1d61e2e77ee; exactTagIdentitySha256=a399fcdfdee62af952c48be7472277d74d8f7a866bf37c388a1709833a361e37; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,f3916bb75f774409b1f1b1ff3a949463d375e47bae389d8a67f5d895f0c71906,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=95; rawTagPayloadSha256=f3916bb75f774409b1f1b1ff3a949463d375e47bae389d8a67f5d895f0c71906; exactTagIdentitySha256=fdb65c749797e6dba627446b3f31631e8345e45d0465ccaaa1ba12c54f6873ec; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,4eaa20f744b087b82ec1cd09483ee3332e7162507e85c4d4a3409b5cabd2b08d,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=1493; rawTagPayloadSha256=4eaa20f744b087b82ec1cd09483ee3332e7162507e85c4d4a3409b5cabd2b08d; exactTagIdentitySha256=072a57b192df3c278440f5b68b2bfb45cd3117ba6b383eee28d00c12297681c5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,ba34e7aa72d0be58502db3d8a3d3f64f55bf1ccac0088cc8fbfbed19f4da630a,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=1230; rawTagPayloadSha256=ba34e7aa72d0be58502db3d8a3d3f64f55bf1ccac0088cc8fbfbed19f4da630a; exactTagIdentitySha256=1f4f560ca09a559f386ec1453b95ad7b458ba120087a4ccfb3f2193e7aecf5b8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,2b3d68c028df119436d6313ff7f189c7bf484ba66073a6e5ae7ce95511711f8e,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=28; rawTagPayloadSha256=2b3d68c028df119436d6313ff7f189c7bf484ba66073a6e5ae7ce95511711f8e; exactTagIdentitySha256=13a1f7a98d3a392e694f69e1b0231145488640b7b404124a787d07b0c176ac8b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,38603c2bb09f875f63ad5d32e01549a0db519ecb4601f2a746dde9d7c168c015,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=28; rawTagPayloadSha256=38603c2bb09f875f63ad5d32e01549a0db519ecb4601f2a746dde9d7c168c015; exactTagIdentitySha256=9f729e152e07cba57a20a3e4520238ef59f894587462fe2d75ae2a979777bf18; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,3903966d9e31601c176eb0969f3b869664dd02162c47f52ec4d0fa6386dfa8db,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=28; rawTagPayloadSha256=3903966d9e31601c176eb0969f3b869664dd02162c47f52ec4d0fa6386dfa8db; exactTagIdentitySha256=ce7a574339f5b76b9c0da0b59d9e91df9d26f6ac07d63f8e8aa061b1bd22d80d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,21108f5ff8bcf5b2cbf5284e07c945f34d06ef53b1076af7b61fd82bfa3f0ea6,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=26; rawTagPayloadSha256=21108f5ff8bcf5b2cbf5284e07c945f34d06ef53b1076af7b61fd82bfa3f0ea6; exactTagIdentitySha256=d9b4dacbb594a69615ab62dd52d22d5736be56e396b118c899c8512a089bb15a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,10,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,a61a4a5dcbd0c81c7c02f6a639ada645764b99c36824116aa140a11353977fec,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=26; rawTagPayloadSha256=a61a4a5dcbd0c81c7c02f6a639ada645764b99c36824116aa140a11353977fec; exactTagIdentitySha256=77229424f3b198a289614e91a9db1c4e5baee8437fe84ba754cd7f8b26f39520; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00024,11,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,a834435c5a36f582bc66d277ff23499ea7bb0e7a6d2de50c9ea3765ddeedbe14,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=94; rawTagPayloadSha256=a834435c5a36f582bc66d277ff23499ea7bb0e7a6d2de50c9ea3765ddeedbe14; exactTagIdentitySha256=ef81c08d917589ea88249924ff372e1893fabd2df3f328ddb2063829739b8dad; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00025,12,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,728baba332107351013386b3164af5b242ff4cf39955a548c5a3433c96ec98e0,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=90; rawTagPayloadSha256=728baba332107351013386b3164af5b242ff4cf39955a548c5a3433c96ec98e0; exactTagIdentitySha256=d8fc65ce75e8f516b83727bbefb6c5c743a7d5cb075079d9fcc27e689ec46e9f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00026,13,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,185249c6f14894275813bbd3a8a69640a5ee5f7bc798b0b5d089fb5baf4ad130,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=31; rawTagPayloadSha256=185249c6f14894275813bbd3a8a69640a5ee5f7bc798b0b5d089fb5baf4ad130; exactTagIdentitySha256=40d7e19a64dfc0d45f73c898f2aa8e463ed25db39fc6b57bc8bee9674050bbac; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00027,14,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,890894e52d30a9b58e13f57ad2d59660f02918c3f003d90e24fd4e9f4b3605df,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=174; rawTagPayloadSha256=890894e52d30a9b58e13f57ad2d59660f02918c3f003d90e24fd4e9f4b3605df; exactTagIdentitySha256=95edbbd18d0a6274acb5c307b905f5b6c81800a7a73cf80982440d5e5017f49f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00028,15,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,7be48bc25b99aa044ada5abfc766098990354d5e13d1ce9cb0eedbc4ce9d16d6,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=177; rawTagPayloadSha256=7be48bc25b99aa044ada5abfc766098990354d5e13d1ce9cb0eedbc4ce9d16d6; exactTagIdentitySha256=7a8ddff6d8fecc60dca2955ebb8c2081deb94ea0e020e7df1c080447c5df79e4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,16,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/TS/L4TS02.swf,,,50105ccb6fd03565db673fa6f91b0579bf3e40f02b756b0dbc8cc44aa33b2d71,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=37; rawTagPayloadSha256=50105ccb6fd03565db673fa6f91b0579bf3e40f02b756b0dbc8cc44aa33b2d71; exactTagIdentitySha256=c4f6df7d8b0945bf83205d380ade8ad63a38136824b2d1b40646aa9b51501d1f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
