asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,d07e31c8d68ea80fbfbefce10d027e07e9931733de2bc4a8ae30980b03c20cbb,DefineFont2,,29,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2078; rawTagPayloadSha256=d07e31c8d68ea80fbfbefce10d027e07e9931733de2bc4a8ae30980b03c20cbb; exactTagIdentitySha256=08ba4cc470fcbc64f6d10b829adb8ffc0c94a34ea45dcf6429e0099540fb7c30; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,6335769eb880acec69b4587ed6ff7509c6793880cf163974bf3ac98654935fe7,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=80; rawTagPayloadSha256=6335769eb880acec69b4587ed6ff7509c6793880cf163974bf3ac98654935fe7; exactTagIdentitySha256=56f9aef2f3b7d4975cf8df2ae36be5ac255313fe84e387a8f9a416a4d1bf643d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,c55a51c472abb24e7cc356ca46130691b166e2c33ad9eef46410fa6ecedabc89,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=1696; rawTagPayloadSha256=c55a51c472abb24e7cc356ca46130691b166e2c33ad9eef46410fa6ecedabc89; exactTagIdentitySha256=88bb0f0db35f3b54388ed3750ab6b48f51d53e9d74808e6a1f08ce8783845097; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,be8af0a48fa357ed3428ac6209a7a35480aeb7d4849c0a433a7035650395fa7e,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=35; rawTagPayloadSha256=be8af0a48fa357ed3428ac6209a7a35480aeb7d4849c0a433a7035650395fa7e; exactTagIdentitySha256=847b8ce55a2572335dd1aaac1e894e86b44a9698214cf7e33889d5f4cede3f0e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,75415cb269cc4ea4ff31fb6b4efed20d7b3f82358655dba85e8526a1b9a58bf9,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=47; rawTagPayloadSha256=75415cb269cc4ea4ff31fb6b4efed20d7b3f82358655dba85e8526a1b9a58bf9; exactTagIdentitySha256=5dbac70543966acc233141c05afbc2f039cacccd6cc7dc4568ef43184f0f0e63; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,1906fbeba776ed716a446bb3e53a6d6cc1aad441282e79998473424f4bd02e93,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=186; rawTagPayloadSha256=1906fbeba776ed716a446bb3e53a6d6cc1aad441282e79998473424f4bd02e93; exactTagIdentitySha256=b31dcf4d4454b69d8bc0e72d8dd913fe831717bdde28c5ad3055d09aaac5d2d9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,135cc14028d7ae6700c7c0bab5f8cf8bef79f982ced97ba96b1e1d4ec2bb8c85,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=31; rawTagPayloadSha256=135cc14028d7ae6700c7c0bab5f8cf8bef79f982ced97ba96b1e1d4ec2bb8c85; exactTagIdentitySha256=ff8cf610991120cb34d4aa18b7253025eae549ddba544bf8808d73cd10336dbc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,8,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,d6718b33041a86c23f83871d57765d5a7471b0075fe3e48f1fbae2a88d8c17ea,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=173; rawTagPayloadSha256=d6718b33041a86c23f83871d57765d5a7471b0075fe3e48f1fbae2a88d8c17ea; exactTagIdentitySha256=501e05057c5455e53b53ffbd531250e3b34f6cc8cd5aeeb6bf5de755c5236ff3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,9,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,653f6bb6a053f2ac2bd792b05d14b9ee3aac63d60a35f69759c89d7bd8202c87,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=166; rawTagPayloadSha256=653f6bb6a053f2ac2bd792b05d14b9ee3aac63d60a35f69759c89d7bd8202c87; exactTagIdentitySha256=4a824780b5173390a1cf02adb31553ebb25adb2a91d15927877fac0340dc0f04; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,10,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB02.swf,,,07f55cb1abbd8b2752082cedae291ab44d8c47ca1c469f7bdf17b3fb345f242e,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=167; rawTagPayloadSha256=07f55cb1abbd8b2752082cedae291ab44d8c47ca1c469f7bdf17b3fb345f242e; exactTagIdentitySha256=886af9c7cc833d910d2df10f4a09fc6da881d733656d2925d6cafcde52e88865; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
