asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,0fc588f79dbfd0c9181d8464231de6f6ffa2953651b362b9d8823f16902234ff,DefineFont2,,26,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=1887; rawTagPayloadSha256=0fc588f79dbfd0c9181d8464231de6f6ffa2953651b362b9d8823f16902234ff; exactTagIdentitySha256=b4f8bd1ff9b99d6c473548448420470cba8156f3e57c880f1cfb1bc220e8acb9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,8d7b2bfab4f44e7ed04445a44c406d0ecbdc3e39407ba3ace316d2edc663ca0a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=80; rawTagPayloadSha256=8d7b2bfab4f44e7ed04445a44c406d0ecbdc3e39407ba3ace316d2edc663ca0a; exactTagIdentitySha256=e60590b5d9a401bc35ad23e5422a189499fbd69b89607b02ef648cac47535141; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,3ea7fdc759199e414ffd967c8a2dd612d3e6d35f835175893d4e956d76c00f91,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=1696; rawTagPayloadSha256=3ea7fdc759199e414ffd967c8a2dd612d3e6d35f835175893d4e956d76c00f91; exactTagIdentitySha256=77bbf25db35e22b8319ca37925f2f09c8a539d0dbce94d9783e1087e386d327c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,be8af0a48fa357ed3428ac6209a7a35480aeb7d4849c0a433a7035650395fa7e,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=35; rawTagPayloadSha256=be8af0a48fa357ed3428ac6209a7a35480aeb7d4849c0a433a7035650395fa7e; exactTagIdentitySha256=847b8ce55a2572335dd1aaac1e894e86b44a9698214cf7e33889d5f4cede3f0e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,757ab45739328cbf35b40d2a00dfe82f7d435e6563567946450b5920f4512634,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=48; rawTagPayloadSha256=757ab45739328cbf35b40d2a00dfe82f7d435e6563567946450b5920f4512634; exactTagIdentitySha256=d35ac9a9d2aa2d08664445190700d23233bbce457e913f499edd10dfc93d6c6f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,845bd9b74d58229c7f3c8e621f28f7f58c66334354372e8fdbbca8b5169c9b41,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=156; rawTagPayloadSha256=845bd9b74d58229c7f3c8e621f28f7f58c66334354372e8fdbbca8b5169c9b41; exactTagIdentitySha256=4cf42c00bfb571ab0a2554c17deb79ed37ba7a3d880e8151acfe43c41583f0b0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,135cc14028d7ae6700c7c0bab5f8cf8bef79f982ced97ba96b1e1d4ec2bb8c85,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=31; rawTagPayloadSha256=135cc14028d7ae6700c7c0bab5f8cf8bef79f982ced97ba96b1e1d4ec2bb8c85; exactTagIdentitySha256=ff8cf610991120cb34d4aa18b7253025eae549ddba544bf8808d73cd10336dbc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,8,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,4ed032f2dad69200752bced619bad39db794e405f2adecbf5353a47a254c7eee,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=179; rawTagPayloadSha256=4ed032f2dad69200752bced619bad39db794e405f2adecbf5353a47a254c7eee; exactTagIdentitySha256=21e9cfab4fcfb51bbfaf8db3d6f86c2f00ce844d57748cd8d65f4257fd1cf526; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,9,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,0c92e9996ae0d4463fe24eea8f0d077291348b83b9a8b59ce41540ba8f591263,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=170; rawTagPayloadSha256=0c92e9996ae0d4463fe24eea8f0d077291348b83b9a8b59ce41540ba8f591263; exactTagIdentitySha256=86eaefe26abad6daae5d4f8197181fb56e7de6ae33fd44acde5eafe508f7a9bf; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,10,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,a0c97cd37b8a09ff69f3d2a66d12308ab1dfc7ff0795e9ef3b0932dd294f1a66,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=171; rawTagPayloadSha256=a0c97cd37b8a09ff69f3d2a66d12308ab1dfc7ff0795e9ef3b0932dd294f1a66; exactTagIdentitySha256=5c8b886b6876dd950dd3616589cb54164884998cdf9abb43b090a78c5f11c48c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,11,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,c9825e83857df8348ae50bfcdfacecb63989dadacc3898015606af91c2b5e40d,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=166; rawTagPayloadSha256=c9825e83857df8348ae50bfcdfacecb63989dadacc3898015606af91c2b5e40d; exactTagIdentitySha256=6629889c210756d768f4387883c55dde1266b99328a0b9203ffa1b40554d4ec5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00024,12,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,28dc20bea595f29cb882c8431048e9970c648642a243accf8eba1bfd5b60f054,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=34; rawTagPayloadSha256=28dc20bea595f29cb882c8431048e9970c648642a243accf8eba1bfd5b60f054; exactTagIdentitySha256=a3f49c9cb70905524dce069d677094f49e20d743a3d94fc937b06b23b5f49084; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00025,13,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,3df73111ae117157f89f3f2206577434f5569952467ba98383b2916ec393072b,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=189; rawTagPayloadSha256=3df73111ae117157f89f3f2206577434f5569952467ba98383b2916ec393072b; exactTagIdentitySha256=13deccb471806f294e13e189870fc4eaa5c13fa8e26c5a55401e8f51b071b459; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00026,14,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,51bd0bf51f36cb8cb2c6a0358978b54de102a62311b7316582431f094896e4cc,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=25; rawTagPayloadSha256=51bd0bf51f36cb8cb2c6a0358978b54de102a62311b7316582431f094896e4cc; exactTagIdentitySha256=afc864d3ef3b6ecf69a315758273d80dc3184e3cb04b07b7913a1da0cbb9c001; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00027,15,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,e91e4a26345e9a7a5e7b075e1eccf210f85641574a4a402eef6ea2fcc5308ea0,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=199; rawTagPayloadSha256=e91e4a26345e9a7a5e7b075e1eccf210f85641574a4a402eef6ea2fcc5308ea0; exactTagIdentitySha256=d2e0367daa44fefb4894a540d117180986e23f13f9b84c4c556fc9bbfab42a8e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00028,16,Arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,5dcd6549036956d01c742ee9b68ab7ca1b5a07aa23e8243075b1ffe67a899f1d,DefineFont2,,8,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=795; rawTagPayloadSha256=5dcd6549036956d01c742ee9b68ab7ca1b5a07aa23e8243075b1ffe67a899f1d; exactTagIdentitySha256=681e3510beaac60124f416492f32feafed55d0ea33f5a66958a96fb5c6934f5d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,17,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,61584743f0eda088663fda891fade1aaf6af48f2d0599c0fa0ef1c3d1f6abb8b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=25; rawTagPayloadSha256=61584743f0eda088663fda891fade1aaf6af48f2d0599c0fa0ef1c3d1f6abb8b; exactTagIdentitySha256=28d54870bc31e7e6f91af1caeea5e8ed89f52b5c6cd6e31bdc84239a69e29a1f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
