asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,1c6f46c6c2ffa0a91074991e35e0ba438e80c18651f3793de7ce76d4cca4e8ed,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2219; rawTagPayloadSha256=1c6f46c6c2ffa0a91074991e35e0ba438e80c18651f3793de7ce76d4cca4e8ed; exactTagIdentitySha256=7bbfbedd23e73543dee52ef73d4aa1a8fb6942da0c23b7c75488819620d18871; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,29220c80ad78a458bafc24922869db7b767041f96ac95f830bffa1230565567e,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=196; rawTagPayloadSha256=29220c80ad78a458bafc24922869db7b767041f96ac95f830bffa1230565567e; exactTagIdentitySha256=ff28c2faab7ded4cc5809697c072c68cfa205d3f43d7c4d3578d41cf82d3b05d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,5931bce046228625c60ce0eb807548895fa03d3d595eec7ae93791a8f8e35478,DefineFont2,,46,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=3569; rawTagPayloadSha256=5931bce046228625c60ce0eb807548895fa03d3d595eec7ae93791a8f8e35478; exactTagIdentitySha256=91a52a1afb43cd4ac89f2d3be45190e976fa26e46c6deaeca04b980619f7b7b9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,0f303fb8492e01ade93c8b552770dcc843468aa71d3d0fe6587ae7963d007ea2,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=61; rawTagPayloadSha256=0f303fb8492e01ade93c8b552770dcc843468aa71d3d0fe6587ae7963d007ea2; exactTagIdentitySha256=78ed3e780efe62c6c9c66846806d704c78dbe1376cd0ea4499b8cab7f4e18459; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,b5cba54a0932c12b12ccda580413b933c254da38b460c6b12dad116158980041,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=35; rawTagPayloadSha256=b5cba54a0932c12b12ccda580413b933c254da38b460c6b12dad116158980041; exactTagIdentitySha256=530b1aaa6c14a1654549e6851fe202bad6e8b3c4b47052fa30948d7119507e6c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,6,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,d97f0de7d88a188f97456dfc27602ff1e8ba7421a43d43b98bff3e1565a592c5,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=5459; rawTagPayloadSha256=d97f0de7d88a188f97456dfc27602ff1e8ba7421a43d43b98bff3e1565a592c5; exactTagIdentitySha256=76d39e68639991ee7437cf6ccc3230a560e9b739247c9486e83af2a29ed4e8c0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,025fa1eb6d4d7d723cf7b197e5fcdc1e55c8190a8f7f2250c9da992e66b07b15,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=136; rawTagPayloadSha256=025fa1eb6d4d7d723cf7b197e5fcdc1e55c8190a8f7f2250c9da992e66b07b15; exactTagIdentitySha256=10309157a4853931d1eed08568a4806006dda7a153495b02b5b4a986c14e7f37; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,8,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,7f6dba0eb80706498b02a8e398f84be403b579fb81c770f3f8bdf3e0031725aa,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=49126; rawTagPayloadSha256=7f6dba0eb80706498b02a8e398f84be403b579fb81c770f3f8bdf3e0031725aa; exactTagIdentitySha256=c91ba8edc242ef53277341decc15f2ac2e8019d803c8a08a06c845f4f8f63050; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,9d39ba6eaf22d294912b76a616b4a0f0eb562265c42002044741475ddd1e0f6f,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=55; rawTagPayloadSha256=9d39ba6eaf22d294912b76a616b4a0f0eb562265c42002044741475ddd1e0f6f; exactTagIdentitySha256=2558826b374f40365911fdc1b0135806daa755e1547d19216d61651a5854f849; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,10,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,e4b46b9931d5738cdac02150b8394f4b6e67926770a8e79611f7098c0379f043,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=999; rawTagPayloadSha256=e4b46b9931d5738cdac02150b8394f4b6e67926770a8e79611f7098c0379f043; exactTagIdentitySha256=1b1d410cb794e530b9ca6f66ad40701e9f232be49156fe2bc38588a19a56e4b8; declaredFrameCount=62; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00148,11,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/GS/L5GS02.swf,,,0367b9680090e7f0e84d101007b158aba6c721a3bcfbc303c85a1cdb0e90663f,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=148; payloadBytes=568; rawTagPayloadSha256=0367b9680090e7f0e84d101007b158aba6c721a3bcfbc303c85a1cdb0e90663f; exactTagIdentitySha256=a6b29ea4ea66101a9478c57705a28612af66472bc46c64ee6d9b47b1a9ec47fa; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
