asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,7990e001c5af1a2505b8f4322f4e9de19b991ed64d1d7fc8a594d1445b6093d4,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2292; rawTagPayloadSha256=7990e001c5af1a2505b8f4322f4e9de19b991ed64d1d7fc8a594d1445b6093d4; exactTagIdentitySha256=5de567c95c89424b1da267d7fcea3078ba8ab915e3e3f93d2a85aca0a96b7cac; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,baee6572f6e5df040fb3e3d627231015cb1bbcfe1e77a456b14507ba0a3ca59f,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=39; rawTagPayloadSha256=baee6572f6e5df040fb3e3d627231015cb1bbcfe1e77a456b14507ba0a3ca59f; exactTagIdentitySha256=7cdd2dc6457671cdb3d4b067e275f53161f85ab9f6a12c8875861c7ce285bdd0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,d08147a92b8f85f795cdf832d8bc57542dd22de246ddb4d3363cced1665d3215,DefineFont2,,34,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2455; rawTagPayloadSha256=d08147a92b8f85f795cdf832d8bc57542dd22de246ddb4d3363cced1665d3215; exactTagIdentitySha256=b67849b7badad2c05d28fee4e833c14147208637c32446d032757ee856e7283d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,1146aecdc5c84ddec49303a33619d087106f642e68730ee04fbe0d9256f87d33,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=25; rawTagPayloadSha256=1146aecdc5c84ddec49303a33619d087106f642e68730ee04fbe0d9256f87d33; exactTagIdentitySha256=495cae0c382dccddce099ccdcaab587eb764368f437aa207655b5ee26fa25ac8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,f34d6a9cc9df4b95b936d36144b75c084974df5c5960571bfcd279323294dfb4,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=25; rawTagPayloadSha256=f34d6a9cc9df4b95b936d36144b75c084974df5c5960571bfcd279323294dfb4; exactTagIdentitySha256=d65c4959cca00c4981c7dfd220a70b1071d2807dfa0419133ffaf865e937718d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,6d49ccaaed02b0dbb8e416cfd1670e4deb269b264a97c037accd1069e3e3aef9,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=25; rawTagPayloadSha256=6d49ccaaed02b0dbb8e416cfd1670e4deb269b264a97c037accd1069e3e3aef9; exactTagIdentitySha256=7769f3768cdb06153fb54c3d9f0f2e740a330a1e47eacc5534a0a37b15000c51; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,7f01917ddda8d4df84216daa7a5e3457a71cfce1c64bcc8114fab5691f8ca76b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=25; rawTagPayloadSha256=7f01917ddda8d4df84216daa7a5e3457a71cfce1c64bcc8114fab5691f8ca76b; exactTagIdentitySha256=775a5611c310fde769c95ba879782282b3eac20a45d09caa5c08ee4f25c3165b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,06ed171bb99a927f9dd979fee6d5130283d3d51068045b31eea7f4ef1f3faa9c,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=25; rawTagPayloadSha256=06ed171bb99a927f9dd979fee6d5130283d3d51068045b31eea7f4ef1f3faa9c; exactTagIdentitySha256=13c26bb6df78dae95eb8d51eaa7047d642a9f16ae36be0d7716eb021491cea0f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,684f7dd130af0c2b2badbac89673a851e46d36e282b84c3901591cd6bc2d8dc5,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=25; rawTagPayloadSha256=684f7dd130af0c2b2badbac89673a851e46d36e282b84c3901591cd6bc2d8dc5; exactTagIdentitySha256=a494c3903d8ac976b2edf8e17ae66f4a7efd1fb450ad73fb4f01005568497dda; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,6c4a88f969ca5c3588aabd76fca3f9751ab6fb2f629df08640dcdf116e93434a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=25; rawTagPayloadSha256=6c4a88f969ca5c3588aabd76fca3f9751ab6fb2f629df08640dcdf116e93434a; exactTagIdentitySha256=25de5bd6c9d8b30fd2b0afcd15b4019aab6ca4b123e3ef6159e7d8b68f233d0b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,11,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,6fff53b6d0b584a23f31637618c0c70ee87cc3735903db9afd15784089b0b5ae,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=25; rawTagPayloadSha256=6fff53b6d0b584a23f31637618c0c70ee87cc3735903db9afd15784089b0b5ae; exactTagIdentitySha256=80d98b76e87cbfdf135bcf0c4b79812c1b6f2e0dc4a2339335d966f52acbc095; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
