asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,d6d87c55e699568a33ed343a3e0b9db3430abb176c8922315f97d4a450e21497,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2292; rawTagPayloadSha256=d6d87c55e699568a33ed343a3e0b9db3430abb176c8922315f97d4a450e21497; exactTagIdentitySha256=01e890b4852035b7fd30f9e2148a15a6104b9eaa1883f9e37d427c00b9747149; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,3b44b96348c94e8165b1260185a680d6723a94093939f8275a72e321c6169ee0,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=40; rawTagPayloadSha256=3b44b96348c94e8165b1260185a680d6723a94093939f8275a72e321c6169ee0; exactTagIdentitySha256=1bec89ff74cdebb0710076eef1b23a8761242c27e87ce0f2c6fe7bb624f27e33; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,5af153105d4c6ca711ae6002c5d2cd985df9e719d1ad1cee9537663861fbb55e,DefineFont2,,41,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2886; rawTagPayloadSha256=5af153105d4c6ca711ae6002c5d2cd985df9e719d1ad1cee9537663861fbb55e; exactTagIdentitySha256=84c3b28a453e8be4c976a48acb062320fb262215b47482af524bc277d509433c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,9858a4c03c4f06ff2ca729b187b1c406ee4a4e131e67a0da6763b836fe331783,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=94; rawTagPayloadSha256=9858a4c03c4f06ff2ca729b187b1c406ee4a4e131e67a0da6763b836fe331783; exactTagIdentitySha256=33ffa4d5383f6fa2abfcdf1bc60ef053c0cb4a80d87e1afe617fb40404f26fc1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,94e42e6776f5d884255f10fbd33d2469b230c7e50769cd77fe8276c83085d850,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=31; rawTagPayloadSha256=94e42e6776f5d884255f10fbd33d2469b230c7e50769cd77fe8276c83085d850; exactTagIdentitySha256=4ab890a2aadd9641227deaaa44fc77e93b45dd90995ff0bdff8ca9b421222975; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,a9963e3210223ffecc4032da408de0fc7374a0eba09136b12c3bcff8a8521a83,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=167; rawTagPayloadSha256=a9963e3210223ffecc4032da408de0fc7374a0eba09136b12c3bcff8a8521a83; exactTagIdentitySha256=24ffda07d61bdcc9458af6e744ecf60362eaeff2ad6abf8c7286505c71959f52; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,36b4714b79f953d2f865a357bb92503859c4e68d79b492efe6b3e8b624b9449b,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=169; rawTagPayloadSha256=36b4714b79f953d2f865a357bb92503859c4e68d79b492efe6b3e8b624b9449b; exactTagIdentitySha256=13e499e1417a719c8009e249d9b8836821072b9f96a277d201ee13840bfcb0d5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,9175ddc2dd8693dd9af3f34f724d833c2b5ad664f258004e03422298eadc75bc,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=170; rawTagPayloadSha256=9175ddc2dd8693dd9af3f34f724d833c2b5ad664f258004e03422298eadc75bc; exactTagIdentitySha256=998ef7d0f9ee2939aa40f707c05629d13075b11c5668445a6e81085c961e5928; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,797a4c28079b0dc0bc04599d67f9fcda7a8e99a49260f89daf3b34e127f4159c,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=302; rawTagPayloadSha256=797a4c28079b0dc0bc04599d67f9fcda7a8e99a49260f89daf3b34e127f4159c; exactTagIdentitySha256=ce547b409ba5edab68c0c9e6add22cce3e0bbbb5cfa7572c54176055a91ada46; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,3406393754252e755060e4e42d8328f1d12528e2b74847d083a0f5a4ea548d05,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=33; rawTagPayloadSha256=3406393754252e755060e4e42d8328f1d12528e2b74847d083a0f5a4ea548d05; exactTagIdentitySha256=5ae546033b36dfd651091e2c244a4d51ff09052fea78c4165b12a805c22d7e54; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,11,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN05.swf,,,1b68f7b591f45d89ad0084064cef515e5a2dcb5a1d1bfcc5fa476a4fb7c391cc,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=167; rawTagPayloadSha256=1b68f7b591f45d89ad0084064cef515e5a2dcb5a1d1bfcc5fa476a4fb7c391cc; exactTagIdentitySha256=69b3081fca67b4655a92f77525dd6658c4fe2241cb635132b68988ad1a74cded; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
