asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,17feb75f3e0125cd73366ba88db15196814ae3539abcb49f8d4f3d0aa7d18c46,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2292; rawTagPayloadSha256=17feb75f3e0125cd73366ba88db15196814ae3539abcb49f8d4f3d0aa7d18c46; exactTagIdentitySha256=d7564ada000d00627d247b4a7701887f00d08b7a1b0ee3b971b09d0631f026e8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,581a94ac5370f9d52932aae1cd99f475970f76ab9120c46e4c2a3d487e4fa784,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=89; rawTagPayloadSha256=581a94ac5370f9d52932aae1cd99f475970f76ab9120c46e4c2a3d487e4fa784; exactTagIdentitySha256=5897dbce65ef8713c87a97d1976c8ae6638f5fc54370fab44b5cd49d8f28ed18; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,26f5045770df62666af32d34a9f397664efe360d8e7e86e3503eb3ecda6688a6,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=77; rawTagPayloadSha256=26f5045770df62666af32d34a9f397664efe360d8e7e86e3503eb3ecda6688a6; exactTagIdentitySha256=48304054db1195ba23842a1b17d974aa2c6cf36719f4e764f3d478737a9b0bde; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,2b7e1d9947aa33448e4e261e98e194f0a40067fa1e74e9e692c58db944959fbe,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=25; rawTagPayloadSha256=2b7e1d9947aa33448e4e261e98e194f0a40067fa1e74e9e692c58db944959fbe; exactTagIdentitySha256=0f5860e024dd28ae78e3cf4f7ae46b2fa13fab205c38758541598c73c5ab5677; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,c0cc967d6bfbdc59e80a6044c5611a818998ba570363605daa7986d28b9dffac,DefineFont2,,40,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=2684; rawTagPayloadSha256=c0cc967d6bfbdc59e80a6044c5611a818998ba570363605daa7986d28b9dffac; exactTagIdentitySha256=deecb977a66d558bbbe47236222ba1660a1bb10dbb7ca733c3d8892689800c65; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,9e8d16826bf8678535fdc9b493394fa20c7e7ae632f43174d7aac19b2c791a21,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=76; rawTagPayloadSha256=9e8d16826bf8678535fdc9b493394fa20c7e7ae632f43174d7aac19b2c791a21; exactTagIdentitySha256=f9399e94f9ce2a6df6d2fcca955c536a586f60214920d9d9b97ac9d2530aa055; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,a16ade3f05247dc8aa09042fce45711213b7cc087595d60a3cee10eaafef9a3e,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=31; rawTagPayloadSha256=a16ade3f05247dc8aa09042fce45711213b7cc087595d60a3cee10eaafef9a3e; exactTagIdentitySha256=a95e67ae896fcf12ffc456daf071fb0d41e8c559aafcedfe0c133c262f04d164; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,f829e59d881b3249d1420b39a07018acd4e1eb2d776b5fbd6491e7c86b1e8c7d,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=170; rawTagPayloadSha256=f829e59d881b3249d1420b39a07018acd4e1eb2d776b5fbd6491e7c86b1e8c7d; exactTagIdentitySha256=ef35cb5851be71674b670b5cc4d65e21d4b251e7548ee1ccf8301b842d8c2224; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,9105bb08ddc341feaf72504bf225ab09c3ce0fbe3e073d6cf60e452a15177935,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=34; rawTagPayloadSha256=9105bb08ddc341feaf72504bf225ab09c3ce0fbe3e073d6cf60e452a15177935; exactTagIdentitySha256=0ec452c18a3fb0047d4132d30dc36831be28204b3e9b692018928fa1450c3d8d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,38dba69ab45c5e354f64c18e55ec60b40e389274ba9c8033a0071efd745154d7,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=77; rawTagPayloadSha256=38dba69ab45c5e354f64c18e55ec60b40e389274ba9c8033a0071efd745154d7; exactTagIdentitySha256=3204def21c097f0a01dcab0999e3685456710ae4e706f5ae69a05bf9cae078f8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,11,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,a41a4dfa787f9d3cc09436c700ac70f8ef8663facb7d0c98c05782ed67c92729,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=33; rawTagPayloadSha256=a41a4dfa787f9d3cc09436c700ac70f8ef8663facb7d0c98c05782ed67c92729; exactTagIdentitySha256=f59ccd6777475d791655ed017451ccd5f524ae20365dea7b61ac388c7198b645; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
