asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,4df1d068b7995db17b512ee3f21944241ea20d3e63acc4f1114f2beba601bfee,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2292; rawTagPayloadSha256=4df1d068b7995db17b512ee3f21944241ea20d3e63acc4f1114f2beba601bfee; exactTagIdentitySha256=d3073ac94ae7df3eb39ebea81745d9b920231265c86087e967d26094ddfd7d23; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,bc73f4a62651cb94b6b4665abfa9aed37dd787c864ab41e7d1f05303b94c7605,DefineFont2,,30,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=2246; rawTagPayloadSha256=bc73f4a62651cb94b6b4665abfa9aed37dd787c864ab41e7d1f05303b94c7605; exactTagIdentitySha256=2886b6ebd78cf8249679d988eeb52269338d0412f7d1a594efe51e51aa810885; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,05e239c9631c9e21a8fc89c70aa933c013d999c1f893d507223b39c201d4422b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=26; rawTagPayloadSha256=05e239c9631c9e21a8fc89c70aa933c013d999c1f893d507223b39c201d4422b; exactTagIdentitySha256=1806dc4a73712d4a35feac4ab5301865f43be7bf46a9bd33395b8b240638ec51; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,995b5b0bbc3c24bc5880ba6e5538fe8aef09e42dcadc7e8e6847ed1d6cc64945,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=31; rawTagPayloadSha256=995b5b0bbc3c24bc5880ba6e5538fe8aef09e42dcadc7e8e6847ed1d6cc64945; exactTagIdentitySha256=f58a67a0323d3f19921bcde2db6e97415000d5b0dc8aa568eefa75ac3cc4305a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,9d74598d57bb06f45bea0564cf83f51854abd37502caf07768294e3e0cde51e8,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=54; rawTagPayloadSha256=9d74598d57bb06f45bea0564cf83f51854abd37502caf07768294e3e0cde51e8; exactTagIdentitySha256=62a10e69449d4328105d79c59cb84269af403304532958d905d98e7f3d576efc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,c02e84d5ffcbc9cb00f764ffa311ec210401777701ccc63985493fcede6f741f,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=107; rawTagPayloadSha256=c02e84d5ffcbc9cb00f764ffa311ec210401777701ccc63985493fcede6f741f; exactTagIdentitySha256=41864a4f19871ffaffd6458db0551485eb4d97e5e2b791e0e0dabdaad2088b80; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,b85647e5ca7365f5b0fc576185c53b8b0137b3d451bdb25e83fd0c6807156254,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=30; rawTagPayloadSha256=b85647e5ca7365f5b0fc576185c53b8b0137b3d451bdb25e83fd0c6807156254; exactTagIdentitySha256=34d7d934494f81ebb11c06c08a0411a9f6c89d91849899a1599a377d4d2bb007; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,ef28206a3fa5d47dfd49960249779e400d039f9ae8210330850ddf168a52236d,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=111; rawTagPayloadSha256=ef28206a3fa5d47dfd49960249779e400d039f9ae8210330850ddf168a52236d; exactTagIdentitySha256=8e1d9cf947658670405faf1e7eb314613dad40a97b491d3a3d50fb2843d7483e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,fed74cced9640d8b1c44400da7bf7e8f99a292f8b1a8f6c88f70ae3cb5b37859,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=78; rawTagPayloadSha256=fed74cced9640d8b1c44400da7bf7e8f99a292f8b1a8f6c88f70ae3cb5b37859; exactTagIdentitySha256=b936c926d4a03596c5ec3679fa3f050460af1d3d21e68bb9d818ec1cebbbe166; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,22da1ee311cad8c179c39c93978517550aac59d32725d9dafe2a8e3bce535f49,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=34; rawTagPayloadSha256=22da1ee311cad8c179c39c93978517550aac59d32725d9dafe2a8e3bce535f49; exactTagIdentitySha256=0e633987979b1166455cf1d9d31380d0a61c88e3cbaba643a331308a45f09167; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,11,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,97bc178aa453af623080ad2946888c72d592b4cea9accb43f58bc34938dae754,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=62; rawTagPayloadSha256=97bc178aa453af623080ad2946888c72d592b4cea9accb43f58bc34938dae754; exactTagIdentitySha256=8c44c729b32da90f47893225faa2a95d139d2e0d3c6a074c794294b385f47e31; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,12,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,1e68de141fff6a9d582d8ee302c68e6854b23018389d9558dc087d849c6f9a7a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=68; rawTagPayloadSha256=1e68de141fff6a9d582d8ee302c68e6854b23018389d9558dc087d849c6f9a7a; exactTagIdentitySha256=68ca2025b845cd81e9dede96a3557a38cc36ad34742a1d35129ee4a73c24cfc4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00024,13,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,bf94f9c5953be19da3e7eebde179b1d4c479cd9b9479a6720b5ae27576c6abf8,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=189; rawTagPayloadSha256=bf94f9c5953be19da3e7eebde179b1d4c479cd9b9479a6720b5ae27576c6abf8; exactTagIdentitySha256=4782d0b194837d9888685c503437d8ade65a40cd0460e722eb99a21f52199915; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00025,14,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,a1f4d770482592b362523282ce2eafbb4a1169b30ced0af2cec53b637c398358,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=175; rawTagPayloadSha256=a1f4d770482592b362523282ce2eafbb4a1169b30ced0af2cec53b637c398358; exactTagIdentitySha256=395e49e3c3fb719aab328a6a3bc6c0d71cffd774e0b34c2cdc1f5230d88cfaa4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00026,15,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,1a1b1be5b235c638e97f0b7b3ac4822761c86072ba8af064d7bc1d73ee37056e,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=80; rawTagPayloadSha256=1a1b1be5b235c638e97f0b7b3ac4822761c86072ba8af064d7bc1d73ee37056e; exactTagIdentitySha256=31b67246a7dc1a96b5eccf6cab89a9b81f148ab56e545ae1b80cb4635243a40a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00027,16,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,473619e85a1c805fa748b3abb37a40fd9ffb765ec31a766391a19947e19be3e6,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=25; rawTagPayloadSha256=473619e85a1c805fa748b3abb37a40fd9ffb765ec31a766391a19947e19be3e6; exactTagIdentitySha256=4a3ea755fafb5c6bb997eabf1c645657930b193af9b370aafaecd60ac8f5480c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00028,17,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,e7b440ae7f38b7e2b2d49c74575631cc7a4c3ad51e20ea6a31a214e74b4273cc,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=25; rawTagPayloadSha256=e7b440ae7f38b7e2b2d49c74575631cc7a4c3ad51e20ea6a31a214e74b4273cc; exactTagIdentitySha256=a8f68e7540dea1e80e9640f6c73cfdbf75d1608ffdd9d63ec140196a1610fc84; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,18,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,32e0c2b0791a95df7f961b6a7497946df1ef7a6ec9af30c7a649d29785e2b717,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=25; rawTagPayloadSha256=32e0c2b0791a95df7f961b6a7497946df1ef7a6ec9af30c7a649d29785e2b717; exactTagIdentitySha256=d4da44026c6cb735524ca8d2c59526f505cf8dbb4d36d5d9398ec901b2c5d614; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00030,19,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,12876f8359b5b62610c6079662aa83959857305e0a1e30341d55d29f94928b87,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=44; rawTagPayloadSha256=12876f8359b5b62610c6079662aa83959857305e0a1e30341d55d29f94928b87; exactTagIdentitySha256=7777d46d18dcdb8f74c0db1bf18e2280eae336bb321348b057adce2b43780c8a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00031,20,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,74d938c1783b766eb8c8cb27390ae6e73131d8700784536d6bee3726de1b08bb,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=34; rawTagPayloadSha256=74d938c1783b766eb8c8cb27390ae6e73131d8700784536d6bee3726de1b08bb; exactTagIdentitySha256=07ab2676300733ff81b9c5cff6b6a1ad1afcf156de1e3da769d5492f0c724a4b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00032,21,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,cad57378dc8835d6d4648e230db97e5ed2d9fd9438b548678d9028e3d9e78bc2,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=25; rawTagPayloadSha256=cad57378dc8835d6d4648e230db97e5ed2d9fd9438b548678d9028e3d9e78bc2; exactTagIdentitySha256=69f93dc07a26947bfacab7239fdee2a0ee6d36d34c24048470ee2d748159b256; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00033,22,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,69cc5ba38132bfb2b9a4dcecc43efabd2073a7a66d679e368a9a94553f7eb6f7,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=26; rawTagPayloadSha256=69cc5ba38132bfb2b9a4dcecc43efabd2073a7a66d679e368a9a94553f7eb6f7; exactTagIdentitySha256=b8e4105d93e6834d60468b418d4189d36394ad1427a7d9f8226efd31d56f8d51; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00034,23,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,7cf24c6fef44445adc99470b6ec14d94f419d23e4149757afb691855cf364118,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=34; payloadBytes=25; rawTagPayloadSha256=7cf24c6fef44445adc99470b6ec14d94f419d23e4149757afb691855cf364118; exactTagIdentitySha256=56e429bd7fb16b67838610094d9c312aae81a5ddc993127ce0a730bcdbf62a5d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00035,24,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,a8bc2dc1af24c0bc1efbf21f5e801fe1e2f2a52c648593c01bb2f23113565efd,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=283; rawTagPayloadSha256=a8bc2dc1af24c0bc1efbf21f5e801fe1e2f2a52c648593c01bb2f23113565efd; exactTagIdentitySha256=4552993e97af481d8cc442761cef66559e741858a965f66547ffea31befbdcda; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00036,25,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,989bde1f84d72a6381d6980aead3670ca9d6783e8de43a4a75d459056edf9708,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=31; rawTagPayloadSha256=989bde1f84d72a6381d6980aead3670ca9d6783e8de43a4a75d459056edf9708; exactTagIdentitySha256=a3534737826711ee220b9e15fa8797f078e43c1677e8fb6afc3d6c6bcaec3c5a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00037,26,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,32be5e65d1bb8caf3d0f188060ba6de8be60070f3a5cb4042b7ba477cc07ee6d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=31; rawTagPayloadSha256=32be5e65d1bb8caf3d0f188060ba6de8be60070f3a5cb4042b7ba477cc07ee6d; exactTagIdentitySha256=dc883326b6ad13acf59af037283fa1b87ab9ce8b4f4140ed989d4c0c09b88d1a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00038,27,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,d5d228339d1740b7ec2536fe861cf6b7e3c7ef380c8fa57c4a28984e343bc151,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=31; rawTagPayloadSha256=d5d228339d1740b7ec2536fe861cf6b7e3c7ef380c8fa57c4a28984e343bc151; exactTagIdentitySha256=f0665276a5eea4d50c9437fe3da6d5636c0fdee9c87f25aad041acd70f998efa; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00039,28,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,73a87ab94b9d716cd9b672f6aeec03c68aeacb0ed2b997ffb0fc8b2fd4665841,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=31; rawTagPayloadSha256=73a87ab94b9d716cd9b672f6aeec03c68aeacb0ed2b997ffb0fc8b2fd4665841; exactTagIdentitySha256=d6c0b21ca245b014b5e2639ad8c60b9112eb50097a88a16ef18b553318c54b25; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00040,29,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN10.swf,,,a3760a8c94253255141bbfee56a9a791c79d2dd23445dd6a25043afdbd3cb8cf,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=40; payloadBytes=31; rawTagPayloadSha256=a3760a8c94253255141bbfee56a9a791c79d2dd23445dd6a25043afdbd3cb8cf; exactTagIdentitySha256=7d7d51712da3c2b01ba832fbc2f07d6972d5e8b1b0d17a17f6ccc14ec1e7a3f7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
