asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,5da94c22df355023495e7bd944083357b20953f8eabc4552a3b372b9d9f47970,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=12; rawTagPayloadSha256=5da94c22df355023495e7bd944083357b20953f8eabc4552a3b372b9d9f47970; exactTagIdentitySha256=f612b9bb86fd09a6d6792918dcc5c96fc306ffb31a127aa9ed1228748a35d288; declaredFrameCount=3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00009,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,da936b1f18b25816d460dec363ac12d72164e8bd4c4205ece7fd1a5faf215360,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=24; rawTagPayloadSha256=da936b1f18b25816d460dec363ac12d72164e8bd4c4205ece7fd1a5faf215360; exactTagIdentitySha256=4744b9783a0138d321030b515c3675a1e9e763d5a292b625f12be19c330a811f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00011,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,185aeabd59e3df5d4f762a6c4e2c639809eaa771e3ebdf1657cce27c8fdc0b80,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=27; rawTagPayloadSha256=185aeabd59e3df5d4f762a6c4e2c639809eaa771e3ebdf1657cce27c8fdc0b80; exactTagIdentitySha256=bc6b45003ec391f41e0010c92623454e2d1c55c1408534e50b3a6188c89f9a22; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,2b9cdafdf5c6868142f1af82d23e662d7ff2261d3d4c2b3a58ba11c08f04fd53,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=66; rawTagPayloadSha256=2b9cdafdf5c6868142f1af82d23e662d7ff2261d3d4c2b3a58ba11c08f04fd53; exactTagIdentitySha256=a270ccf1a56aab5c1c7bc76d2b70d9be655ef935c8d9569635340261dd013f34; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,b1df0e49e05b658f2833cfd46b816daed123988d22cb7f7cca6ba8d50e44aca0,DefineFont2,,15,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=1033; rawTagPayloadSha256=b1df0e49e05b658f2833cfd46b816daed123988d22cb7f7cca6ba8d50e44aca0; exactTagIdentitySha256=f501d2850ed6735a9db87183bd688c76a1fd89464cbfcae76534553be76c2f1a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,19ec6e5d30b44de73679627da107301100167f4f3edebbb1bbdb95a3e1820b47,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=25; rawTagPayloadSha256=19ec6e5d30b44de73679627da107301100167f4f3edebbb1bbdb95a3e1820b47; exactTagIdentitySha256=9d7cd8c1f772ff3a34f39b43134da84e5518a887942ef6d15f376e82338d9f33; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,9c27243a0bf683402912818c82a4952195ed745eb4beb2f92a2b164f53db3c13,DefineFont2,,51,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=3781; rawTagPayloadSha256=9c27243a0bf683402912818c82a4952195ed745eb4beb2f92a2b164f53db3c13; exactTagIdentitySha256=04048a1f32d0b943a3e9f32482b299a9cdc38734af15379c05e4ffb311827245; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,89190b91a87327a172be1fbdb422b37f2a8a711fc03c3fd7f9c5e8c42cfaea40,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=111; rawTagPayloadSha256=89190b91a87327a172be1fbdb422b37f2a8a711fc03c3fd7f9c5e8c42cfaea40; exactTagIdentitySha256=6e7b9552aedf9424ccb14668f107702aace242e411e172c1b1879b18a1ba6007; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,20622f00a50eba378a729f42afd65f60de120f851933dc72a11066e2b956bda0,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=25; rawTagPayloadSha256=20622f00a50eba378a729f42afd65f60de120f851933dc72a11066e2b956bda0; exactTagIdentitySha256=d035a275fded72df750473249c4352367b5deb6acb027ed5d5c3e9d59129de81; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,10,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN18.swf,,,23ee5718662e8a30c4f0fa55386e83429100939b8db8414d01fad7bcebd4c758,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=25; rawTagPayloadSha256=23ee5718662e8a30c4f0fa55386e83429100939b8db8414d01fad7bcebd4c758; exactTagIdentitySha256=9b154f17d43c33064189dece1f49b09ce990824df3fa62cccbcceae523f4b760; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
