asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00010,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,216bd12e8d206e50c983c37e8ad8defcbf1525a17c4d36be9ad1fccf081019e9,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=10; payloadBytes=63; rawTagPayloadSha256=216bd12e8d206e50c983c37e8ad8defcbf1525a17c4d36be9ad1fccf081019e9; exactTagIdentitySha256=d512e0e60ab9ec7b0c899f9899e8dc96d600ff8318b7a7c7236d9fd1c9e2f489; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00011,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,8399b56a68b4b2e3118979308ec1d9be951c239cf4e49ad2c0c028656bfbc8ad,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=35; rawTagPayloadSha256=8399b56a68b4b2e3118979308ec1d9be951c239cf4e49ad2c0c028656bfbc8ad; exactTagIdentitySha256=1beb7fe1913e1c6de17a2aba58c08c79f1ead3cb0c88892943650c3ea2a4ec57; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,3,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,35210fba11e6f3eca1f99111a8673d45749a60e739f14d3ef4120d115ff3b287,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=24226; rawTagPayloadSha256=35210fba11e6f3eca1f99111a8673d45749a60e739f14d3ef4120d115ff3b287; exactTagIdentitySha256=f92b3f635a406104515a3a9f279a5b043807bebb59d3b6ec5f2fb957f5c7f914; declaredFrameCount=135; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00288,4,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,7df7d5a254d72f3aa013768153851dfda4e387456905e36e9a7f087c3b4e88ff,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=288; payloadBytes=24226; rawTagPayloadSha256=7df7d5a254d72f3aa013768153851dfda4e387456905e36e9a7f087c3b4e88ff; exactTagIdentitySha256=fcfdeab5a764f738ce5bb534d82d4a31579f9768aab8ae6f8dfff3e3037da339; declaredFrameCount=135; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00564,5,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,fdcd7398f7f0b11ca334208841cc465b334e92fd602672e550cc89613850f827,DefineFont2,,34,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=564; payloadBytes=2671; rawTagPayloadSha256=fdcd7398f7f0b11ca334208841cc465b334e92fd602672e550cc89613850f827; exactTagIdentitySha256=54272917fa7a0dcf17e598a8fa41a9868f3a82e7f266ca2998efe6f7227d8f04; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00566,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,0f7f77eefbf5d4d91bd7b11c28632b8c615bc39dbe984ba14f89a6ce95394acd,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=566; payloadBytes=122; rawTagPayloadSha256=0f7f77eefbf5d4d91bd7b11c28632b8c615bc39dbe984ba14f89a6ce95394acd; exactTagIdentitySha256=bccd1425ff46e4872a3e26c866086ec8e9c90de11908cbdf87e8d6c8fcbe4f4d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00567,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,8b2cb282652a5c06c2394ea32f10d8a1909ee1ce49a8785e6c7ceda7c390f80b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=567; payloadBytes=122; rawTagPayloadSha256=8b2cb282652a5c06c2394ea32f10d8a1909ee1ce49a8785e6c7ceda7c390f80b; exactTagIdentitySha256=46d7eded1935e0237c8c2d7c7e0ef7de715579083a6ea310bf494f5ff7b2bdea; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00568,8,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,3bb7a698bce057a7512e151b15cf0f0543ffb134540ed630799315b3cc3eb32c,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=568; payloadBytes=78; rawTagPayloadSha256=3bb7a698bce057a7512e151b15cf0f0543ffb134540ed630799315b3cc3eb32c; exactTagIdentitySha256=70ab09f709854a2945a00199c7530f5bda3060fb7a85bb810073aeb98ddeffdd; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00569,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,6e4b2de8e422a1c172159907bc26a1e1c3f0cffe7a88ed06b65fa881ef6bd98e,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=569; payloadBytes=130; rawTagPayloadSha256=6e4b2de8e422a1c172159907bc26a1e1c3f0cffe7a88ed06b65fa881ef6bd98e; exactTagIdentitySha256=1b658c67108bab07376963df9d822cc7d85226d42500d9954ae7a93d7974e664; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00570,10,Arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IR/L5RW01.swf,,,f6d5f0bd10c2c2548881e1a994135c592c3f84771ddfc9d805d20372bebd3a64,DefineFont2,,12,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=570; payloadBytes=652; rawTagPayloadSha256=f6d5f0bd10c2c2548881e1a994135c592c3f84771ddfc9d805d20372bebd3a64; exactTagIdentitySha256=55a0552b972c237d36eeb22d8041ffef1841f5907499386fb0c813912cdefddc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
