asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,bbc8f09094a6776b8fd3af015fabd232fdcc84bf3743a901044786e7bf8e7c5d,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=35; rawTagPayloadSha256=bbc8f09094a6776b8fd3af015fabd232fdcc84bf3743a901044786e7bf8e7c5d; exactTagIdentitySha256=f6420cfec79eff82c6512dcc090cc2612efd1b011e013633b89b23ac53c67bea; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,2,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,fb5df77f80957dfc7472b530318b12fb1d199d84595800300b7ba9127e3df108,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=31810; rawTagPayloadSha256=fb5df77f80957dfc7472b530318b12fb1d199d84595800300b7ba9127e3df108; exactTagIdentitySha256=f6c7c2fd43583a5e8a845e72ff6bbe4fccdce8207646a237c196803669dc0fc4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,7399b0dd8f6beaa52f6cd9f119998ead66c027d8e2b78ec88708abbfde5527a3,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=55; rawTagPayloadSha256=7399b0dd8f6beaa52f6cd9f119998ead66c027d8e2b78ec88708abbfde5527a3; exactTagIdentitySha256=cfa49bb884e936e8c1fef0e9664b68fe46c346becd253f2ab1a797799481e108; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,f79b7f51661b3daa694e7cdaec2b9b4be26da527629b55ed5990bce21fd56c32,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2620; rawTagPayloadSha256=f79b7f51661b3daa694e7cdaec2b9b4be26da527629b55ed5990bce21fd56c32; exactTagIdentitySha256=a9e9eda75eb775e9ec4174cf6a5592da318ede5e4384c481372dac530ecd6e93; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,5,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,e8b447da04235de811ef05bd98e6613692062b73f8e720e08b0437a61d352ed6,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=6644; rawTagPayloadSha256=e8b447da04235de811ef05bd98e6613692062b73f8e720e08b0437a61d352ed6; exactTagIdentitySha256=eebd748708377f9adb6c0069d32d23b8ed3c06be6570fe675ece00a6b5a30a6f; declaredFrameCount=564; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01147,6,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,ac4bfdf90422559d33569f24eca27d14bbb878868391a6316857465b59e92ef2,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1147; payloadBytes=32060; rawTagPayloadSha256=ac4bfdf90422559d33569f24eca27d14bbb878868391a6316857465b59e92ef2; exactTagIdentitySha256=b44d01ea62d1051e8949876c528ab5f7510b40f08262fa362a35d65816e1cfe9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01148,7,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,37edf3276821ea70c850391bced3753e7b8a77a544580ecaa4b500dab3ca63a9,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1148; payloadBytes=7574; rawTagPayloadSha256=37edf3276821ea70c850391bced3753e7b8a77a544580ecaa4b500dab3ca63a9; exactTagIdentitySha256=d922380701edb430489d2fd67423eea03c70eff534f70e24c2ac2bc2d418c5a3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01149,8,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,630e3c57b02f2cef4e79b6132808e0917a43a90e94345d7c2e51b7a5685fe5eb,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1149; payloadBytes=103; rawTagPayloadSha256=630e3c57b02f2cef4e79b6132808e0917a43a90e94345d7c2e51b7a5685fe5eb; exactTagIdentitySha256=46e08558995393fcfd0a39dc9ab29ef2c808a400ac695bf0f3574eb99e9a6e3d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01150,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,73a3b9675f72ea126a7bb488e481b478fff3f74979568be19eb9d024e5eef3b5,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1150; payloadBytes=1316; rawTagPayloadSha256=73a3b9675f72ea126a7bb488e481b478fff3f74979568be19eb9d024e5eef3b5; exactTagIdentitySha256=5ea230ae38c79e3e1cf869a644f7207942ccaefc494fa1f4b9a43397f2c4632b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01151,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,ecfbade9cb55f3a72400234efd9aea79f3cfe68abffaa575500c6565c36a8d41,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1151; payloadBytes=217; rawTagPayloadSha256=ecfbade9cb55f3a72400234efd9aea79f3cfe68abffaa575500c6565c36a8d41; exactTagIdentitySha256=bcdc8aad3713dacdd84eb59778946994d28d7eaf09b335c279d262777caa0af7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01152,11,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,c97b4621ecb3a701295dfad8ce2e5227ae16342772be7a11b669cac44089057b,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1152; payloadBytes=4024; rawTagPayloadSha256=c97b4621ecb3a701295dfad8ce2e5227ae16342772be7a11b669cac44089057b; exactTagIdentitySha256=c9a93aea46a747507a47dfa3fa7b766b49547ab669bbdd56c91e40a04c1fe09b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01153,12,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,42c7db1836ddc69318c65cdf311018daee1f426937744eeef2d70aff27816576,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1153; payloadBytes=2184; rawTagPayloadSha256=42c7db1836ddc69318c65cdf311018daee1f426937744eeef2d70aff27816576; exactTagIdentitySha256=8f01d01f906afaea985d38ea8d4428ba3f725ef66797534c5d671c4b0d334234; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01154,13,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,9aa8b682cc2b01df49ce8b14f5f07ef3652070b25e7a224659440b62002cb1be,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1154; payloadBytes=67; rawTagPayloadSha256=9aa8b682cc2b01df49ce8b14f5f07ef3652070b25e7a224659440b62002cb1be; exactTagIdentitySha256=2794c0ecc95e3c9e16655d21b73c3e5b309610ec53abb955ce76e83824de8c71; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01155,14,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,86fbb37b75e0723a1a4141e44d9114c73d2ef38329cfef65ae489d2b9dc4d04f,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1155; payloadBytes=1151; rawTagPayloadSha256=86fbb37b75e0723a1a4141e44d9114c73d2ef38329cfef65ae489d2b9dc4d04f; exactTagIdentitySha256=b5bd417996f64b70e610f2da0464cec3dfb594fd98d1cb80ea21e73370e13348; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01156,15,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,0cfcbcb9d971b14ef3deda63d4addecf820fd9f213a2af9df56911e06e59d4e5,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1156; payloadBytes=3683; rawTagPayloadSha256=0cfcbcb9d971b14ef3deda63d4addecf820fd9f213a2af9df56911e06e59d4e5; exactTagIdentitySha256=cd09730a03764ec452265a0ccead962ebb3bda1216637b871ec3372e999524ec; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01157,16,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW03.swf,,,596f232eb64f1240de5af9addeda9bed64e9c1ea15234adcee2fe4ebbfa3cbfe,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1157; payloadBytes=4268; rawTagPayloadSha256=596f232eb64f1240de5af9addeda9bed64e9c1ea15234adcee2fe4ebbfa3cbfe; exactTagIdentitySha256=334c091d5bf828352ee5efc92c2b08297304e230f03b715add57e63c3865b4a4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
