asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,79cae42150f153a7992153c1f88b953c6bf64d97824e591cc2d3dec890b281c9,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=35; rawTagPayloadSha256=79cae42150f153a7992153c1f88b953c6bf64d97824e591cc2d3dec890b281c9; exactTagIdentitySha256=9ad119d7ae1b207bc56f8298a4afa0cdf76cbc19f9a365afc48547369b58619b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,2,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,fb5df77f80957dfc7472b530318b12fb1d199d84595800300b7ba9127e3df108,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=31810; rawTagPayloadSha256=fb5df77f80957dfc7472b530318b12fb1d199d84595800300b7ba9127e3df108; exactTagIdentitySha256=f6c7c2fd43583a5e8a845e72ff6bbe4fccdce8207646a237c196803669dc0fc4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,7399b0dd8f6beaa52f6cd9f119998ead66c027d8e2b78ec88708abbfde5527a3,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=55; rawTagPayloadSha256=7399b0dd8f6beaa52f6cd9f119998ead66c027d8e2b78ec88708abbfde5527a3; exactTagIdentitySha256=cfa49bb884e936e8c1fef0e9664b68fe46c346becd253f2ab1a797799481e108; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,f79b7f51661b3daa694e7cdaec2b9b4be26da527629b55ed5990bce21fd56c32,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2620; rawTagPayloadSha256=f79b7f51661b3daa694e7cdaec2b9b4be26da527629b55ed5990bce21fd56c32; exactTagIdentitySha256=a9e9eda75eb775e9ec4174cf6a5592da318ede5e4384c481372dac530ecd6e93; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,5,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,e8b447da04235de811ef05bd98e6613692062b73f8e720e08b0437a61d352ed6,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=6644; rawTagPayloadSha256=e8b447da04235de811ef05bd98e6613692062b73f8e720e08b0437a61d352ed6; exactTagIdentitySha256=eebd748708377f9adb6c0069d32d23b8ed3c06be6570fe675ece00a6b5a30a6f; declaredFrameCount=564; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01147,6,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,6688580e543fa89673f3f7274faf9a97f971ea67043019c5dba768c79ed54da6,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1147; payloadBytes=7574; rawTagPayloadSha256=6688580e543fa89673f3f7274faf9a97f971ea67043019c5dba768c79ed54da6; exactTagIdentitySha256=100674844910e38837aa4dc2103afe49fa9ce1eb68f978e398c848102310fc28; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01148,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,9292c5dfbc657c6485498e5a0cc31ea5fe5f319df4236169e70a7af880c73b08,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1148; payloadBytes=56; rawTagPayloadSha256=9292c5dfbc657c6485498e5a0cc31ea5fe5f319df4236169e70a7af880c73b08; exactTagIdentitySha256=5b9f450e08cfd73fd66f1949f72b84986702109dbe9f29a9434364192e56e212; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01149,8,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,6ce729322b59e4650d006235989c8c8f672168022996619cb791e15bef348cb2,DefineBitsJPEG3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1149; payloadBytes=32060; rawTagPayloadSha256=6ce729322b59e4650d006235989c8c8f672168022996619cb791e15bef348cb2; exactTagIdentitySha256=80b70dd333c19a7e486411746acf5ea167917e0c4a643914beca9cf16ae3d842; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01150,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,deb8716f82d32e4cc82f9b4a40bd45ae4058f0418856e70d9c35c24d8259b679,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1150; payloadBytes=56; rawTagPayloadSha256=deb8716f82d32e4cc82f9b4a40bd45ae4058f0418856e70d9c35c24d8259b679; exactTagIdentitySha256=ffd4c83acdeb3e5a92eed243b65e73dcd6ca06cb3f6ca3e553b6462621657580; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01151,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,9227b4a7911b9458e88eb1aa4289c4d170dbf7ffea919c627bd38b051d86a52b,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1151; payloadBytes=1306; rawTagPayloadSha256=9227b4a7911b9458e88eb1aa4289c4d170dbf7ffea919c627bd38b051d86a52b; exactTagIdentitySha256=af83fc2705204279dbde4198edeae0dd1466d16a6ca95480c0ed0ea86c34684d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-01152,11,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,befd011f37b40296a45b7c08b48bf28040c357eede392681b2e2e203d2f0af5e,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=1152; payloadBytes=165; rawTagPayloadSha256=befd011f37b40296a45b7c08b48bf28040c357eede392681b2e2e203d2f0af5e; exactTagIdentitySha256=42bb38b7394b735c2bff1d37323262aa8df80935e6a3e0691f425322c2b66367; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
