asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,5de81723a3d10722d96cac56abf2eabcb85ce7a08b42ca1437d75b19a88a8cee,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2647; rawTagPayloadSha256=5de81723a3d10722d96cac56abf2eabcb85ce7a08b42ca1437d75b19a88a8cee; exactTagIdentitySha256=2588ad33010a570ba96ff11864665d76149347cdb71124c2e48f04e4bab14102; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,93ef3e7209257ac8b15d5e77dd97eaa9393ad0a3bafa33a77246e07f4f945145,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=1230; rawTagPayloadSha256=93ef3e7209257ac8b15d5e77dd97eaa9393ad0a3bafa33a77246e07f4f945145; exactTagIdentitySha256=c47324e6665a79fc052d2b1e94933eb5ac8e0d38fbb4c86b3ea8208625881736; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,2dd377fea748be1b8138f5a29995c2a6f485a041c01afbaed04e85e68a60dc50,DefineFont2,,29,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2273; rawTagPayloadSha256=2dd377fea748be1b8138f5a29995c2a6f485a041c01afbaed04e85e68a60dc50; exactTagIdentitySha256=c2153ed6a7f6e49afc316b23d08c9b064b2c89a11aebddd8b041f114d618ede9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,44b611bb5190155f36d42eaa29c486effcb0597078fb27a29cbf9c06607343d0,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=27; rawTagPayloadSha256=44b611bb5190155f36d42eaa29c486effcb0597078fb27a29cbf9c06607343d0; exactTagIdentitySha256=6c468e0fb1a17631fe25129ea79997e490043d79c62e1d6071e9d3065e8a6369; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,aa9dd6acb4667b98d1a6fa9d1753dd46811772f2dcf54c74e9dba0ba4d4698b5,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=27; rawTagPayloadSha256=aa9dd6acb4667b98d1a6fa9d1753dd46811772f2dcf54c74e9dba0ba4d4698b5; exactTagIdentitySha256=468f1ff6512df2a917c538f0e7635a0ad4c8cdfa11b2f14b6843b9dd23c74462; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,5bc9d9204e8d704144fed68a64379302885d96a27edf57d64d2332f1068a1c2a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=27; rawTagPayloadSha256=5bc9d9204e8d704144fed68a64379302885d96a27edf57d64d2332f1068a1c2a; exactTagIdentitySha256=9dd37500499e05b7efe2ddbc6b2e56b5733f4d4385e5285a6243d93af6d6dfe2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,92851f3e68859caf05f6c0333247e921e9ff55bc9188b2c9da63285253010fd7,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=25; rawTagPayloadSha256=92851f3e68859caf05f6c0333247e921e9ff55bc9188b2c9da63285253010fd7; exactTagIdentitySha256=bcb1520579814b90f5ac385a3d26461116c1fca8e24ec301fc2c342fc3643b72; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,b61a8f96599a4a6a9302dce3321de8a096e3c2fe7697d93299656f7ae159cfba,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=25; rawTagPayloadSha256=b61a8f96599a4a6a9302dce3321de8a096e3c2fe7697d93299656f7ae159cfba; exactTagIdentitySha256=6f7a726bb78687ef2a144ea74aa2eeb466ec3d4288f099bf7ef7662ef1724114; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,9be6b278f8087f5481ae7f188a5a7e30e67d8f35f9e2e34f7930ff71f171de64,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=62; rawTagPayloadSha256=9be6b278f8087f5481ae7f188a5a7e30e67d8f35f9e2e34f7930ff71f171de64; exactTagIdentitySha256=081ac3cd9b75a566d1caee3057b5534e37d042e31528c384764bbfa675c829c2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,Arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS02.swf,,,24fa918e9563e490a6dcaca6bc07406e69dedb8a6f4de7f1c285e0fe9586c131,DefineFont2,,0,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=15; rawTagPayloadSha256=24fa918e9563e490a6dcaca6bc07406e69dedb8a6f4de7f1c285e0fe9586c131; exactTagIdentitySha256=968b363e790bdb69e3ce684a823e348c53ee509b086081f3f937d4162a67b961; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
