asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,86d598e7fcf3420c4d85396d17518d0af68a679116ba87a240062b3edec6759e,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2647; rawTagPayloadSha256=86d598e7fcf3420c4d85396d17518d0af68a679116ba87a240062b3edec6759e; exactTagIdentitySha256=ff7e55c7c80584a28de48ace0263c62d4ed56fe7fc76d368131a9d02d6009331; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00013,2,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,49c5751c050f8f09b3bb6b9f0fda8fcb4be89cd2a4e984b650a54bd03739de4e,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=2554; rawTagPayloadSha256=49c5751c050f8f09b3bb6b9f0fda8fcb4be89cd2a4e984b650a54bd03739de4e; exactTagIdentitySha256=4d6e035576ead11da4d8a0c35cbe72923f9be68644fa50c78de3b1cd7f5ca5e5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,995117f7fd4758632ef15a96694e28f40559a3dcf652d133ac45ce9c5b015e32,DefineFont2,,35,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2736; rawTagPayloadSha256=995117f7fd4758632ef15a96694e28f40559a3dcf652d133ac45ce9c5b015e32; exactTagIdentitySha256=2ded2bbc33a344d2d2b56b6059db320147537540ce12de825c089b2a4a6afcbf; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00015,4,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,96dbe82da16851b7e53a08334fa26fea261d83cc9cf90247e6244dcb5b1617af,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=25; rawTagPayloadSha256=96dbe82da16851b7e53a08334fa26fea261d83cc9cf90247e6244dcb5b1617af; exactTagIdentitySha256=cfb53ab6b9cd407aa576642cd0d6ddd9242af98fd2045d09bdae9e8568ccce58; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,5,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,351b0c14b2f41f5ce5ca3f25b3e17426124bb01e5e64c1812395b600c53fb157,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=25; rawTagPayloadSha256=351b0c14b2f41f5ce5ca3f25b3e17426124bb01e5e64c1812395b600c53fb157; exactTagIdentitySha256=89310a6d01511d823729a643f753f3c8186cb8da78bb59051b4c3090d77ff87f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,36405fcb6620b68487c073c18798546a3eca39abdc6c0461fe2caa763b6753e2,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=25; rawTagPayloadSha256=36405fcb6620b68487c073c18798546a3eca39abdc6c0461fe2caa763b6753e2; exactTagIdentitySha256=cadd0fb2766c2bf6e75c84e734e3a39804242e26f0f1a5947fb58bfe9a051dd4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,073923403d5ca2474504fbfc2c45885b6c89642ba7e1cb7ff3292bab4700704a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=25; rawTagPayloadSha256=073923403d5ca2474504fbfc2c45885b6c89642ba7e1cb7ff3292bab4700704a; exactTagIdentitySha256=7b5a94c7c8c2717ab14cb5bdc852fa9e0011cc67d2a26915b742339695ebc365; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,b61a8f96599a4a6a9302dce3321de8a096e3c2fe7697d93299656f7ae159cfba,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=25; rawTagPayloadSha256=b61a8f96599a4a6a9302dce3321de8a096e3c2fe7697d93299656f7ae159cfba; exactTagIdentitySha256=6f7a726bb78687ef2a144ea74aa2eeb466ec3d4288f099bf7ef7662ef1724114; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,366a96c89e88120bf60bb9f4c52aa481e89c406b0829690c361c6cb15fa3fc0f,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=62; rawTagPayloadSha256=366a96c89e88120bf60bb9f4c52aa481e89c406b0829690c361c6cb15fa3fc0f; exactTagIdentitySha256=ac9e883ebfeb277f15ce8147203bcfc60c0bda214c5cbd194ad0334df2cabc19; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,10,Arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,24fa918e9563e490a6dcaca6bc07406e69dedb8a6f4de7f1c285e0fe9586c131,DefineFont2,,0,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=15; rawTagPayloadSha256=24fa918e9563e490a6dcaca6bc07406e69dedb8a6f4de7f1c285e0fe9586c131; exactTagIdentitySha256=968b363e790bdb69e3ce684a823e348c53ee509b086081f3f937d4162a67b961; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,11,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,e14b8121a13f933041862fabae747ece6d4b2492cf6adda150a244a72fadef52,DefineEditText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=32; rawTagPayloadSha256=e14b8121a13f933041862fabae747ece6d4b2492cf6adda150a244a72fadef52; exactTagIdentitySha256=73f2e5ead25206ecd6f60aed19def2b7fe18c6622692ddcf5cc6f8951d9f5ffd; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
