asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,b99a9a35894f8636053e1f45ce586bf4d13fee4c696255710efdec3ad3dfd0f4,DefineFont2,,33,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2486; rawTagPayloadSha256=b99a9a35894f8636053e1f45ce586bf4d13fee4c696255710efdec3ad3dfd0f4; exactTagIdentitySha256=3d0e45c946efa03427be492266ef1e097caece732a906b88cfc128f47de84598; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,24507548045b6840cce24c8e1a3947f285210cf52303137b06b6ccc9551a6e22,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=116; rawTagPayloadSha256=24507548045b6840cce24c8e1a3947f285210cf52303137b06b6ccc9551a6e22; exactTagIdentitySha256=a75cbba2a6de10719ab44f4f246fd8801f6c9e005081ecf243fa49e1e9168b53; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,f4ab41b896bd5f2c1fec63bfeeb139d0eb02886f1a81d77a1964fe9aacee5d4d,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2851; rawTagPayloadSha256=f4ab41b896bd5f2c1fec63bfeeb139d0eb02886f1a81d77a1964fe9aacee5d4d; exactTagIdentitySha256=137fc689d29715e1aa8fbf154df5c077112a917d5da0cb9b4b0616f98d53d807; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,be8af0a48fa357ed3428ac6209a7a35480aeb7d4849c0a433a7035650395fa7e,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=35; rawTagPayloadSha256=be8af0a48fa357ed3428ac6209a7a35480aeb7d4849c0a433a7035650395fa7e; exactTagIdentitySha256=847b8ce55a2572335dd1aaac1e894e86b44a9698214cf7e33889d5f4cede3f0e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,72bac3bb0d06531efbfb2e09165cc322d855e8ed3941c023e1603faf6ab391c7,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=55; rawTagPayloadSha256=72bac3bb0d06531efbfb2e09165cc322d855e8ed3941c023e1603faf6ab391c7; exactTagIdentitySha256=175849eed748f9b440bc2661780a4f4e7f8797176f71fd57bae3169eb389e71d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,180f99f1155ca5babb4ab3c4325e57659ed7bc36d0d4bdc63edb56c2a75b3da2,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=194; rawTagPayloadSha256=180f99f1155ca5babb4ab3c4325e57659ed7bc36d0d4bdc63edb56c2a75b3da2; exactTagIdentitySha256=c8c234ad0a4f88b689e53d1a03a4c2583bdc92b701322390a83ea3f868caba40; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,135cc14028d7ae6700c7c0bab5f8cf8bef79f982ced97ba96b1e1d4ec2bb8c85,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=31; rawTagPayloadSha256=135cc14028d7ae6700c7c0bab5f8cf8bef79f982ced97ba96b1e1d4ec2bb8c85; exactTagIdentitySha256=ff8cf610991120cb34d4aa18b7253025eae549ddba544bf8808d73cd10336dbc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,8,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,99e83a03028fba12f2c05cdb193ba9560e0c403bc821bb8418a65f92011d1ebf,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=170; rawTagPayloadSha256=99e83a03028fba12f2c05cdb193ba9560e0c403bc821bb8418a65f92011d1ebf; exactTagIdentitySha256=be75665d4188b25dca369489e5b89b02c2cf47415ce12cbc5121218b11430cbc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,9,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,aa41c20dfb8f0bd6f97ee39106766b9e96507be5dbec2cd71ed12f65c8fca61f,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=170; rawTagPayloadSha256=aa41c20dfb8f0bd6f97ee39106766b9e96507be5dbec2cd71ed12f65c8fca61f; exactTagIdentitySha256=c6515ff4f28e4be76016e6324a14db9b3cd84c288a2241de7fa0aac392d0aa34; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,10,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,de4be6777241db05e0fc6f6bdc24070d77566a5f03a18ad9e8b9d284f8e0a754,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=165; rawTagPayloadSha256=de4be6777241db05e0fc6f6bdc24070d77566a5f03a18ad9e8b9d284f8e0a754; exactTagIdentitySha256=2665ced1d1ce989312c365801d6cddd3d6c7c5df61cd3d85fd7687f7e6aa16ed; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,11,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,3fe8194ff47bd7c281cc2a627ae2317827f91dccc3f49d795008b4fd64d8f596,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=168; rawTagPayloadSha256=3fe8194ff47bd7c281cc2a627ae2317827f91dccc3f49d795008b4fd64d8f596; exactTagIdentitySha256=b33ca6db95333bea2caaa9184394c69dba1fb805fbd8e5e3e2bc30c336307039; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00024,12,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,7d5cebdc22516a26bd39892b195830fc8db29252e3acb80d7f1ba726f38ceb4b,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=175; rawTagPayloadSha256=7d5cebdc22516a26bd39892b195830fc8db29252e3acb80d7f1ba726f38ceb4b; exactTagIdentitySha256=e3d88a801e76b25068ecec1831e9d067d8191cb0baeba5b68cf39b80278c3e9a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00025,13,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,3ee32fac41b00848bc7770e568fe9c9eeee9a331399a8b499e01d82082d9e8d7,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=35; rawTagPayloadSha256=3ee32fac41b00848bc7770e568fe9c9eeee9a331399a8b499e01d82082d9e8d7; exactTagIdentitySha256=eb1ce773560e211e2d1865ddaf62a11190974e1873466419dd0746ea57b1ba5e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00026,14,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,470679681875f9dd2c230205a146e15118c424d2d075877adabde73d42dfbfb0,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=33; rawTagPayloadSha256=470679681875f9dd2c230205a146e15118c424d2d075877adabde73d42dfbfb0; exactTagIdentitySha256=1193342e4a7186d0943c24075073355423269fac2f7c328d9df496cd50fd4304; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00027,15,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,7cd244fbf32b2d1786bfb3ded35d32ddb9e527e88d1afdb3c09b5423a971cbeb,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=96; rawTagPayloadSha256=7cd244fbf32b2d1786bfb3ded35d32ddb9e527e88d1afdb3c09b5423a971cbeb; exactTagIdentitySha256=2eddf1b22e455099201632b1367d93bd961cd860814d04962c333e0d5eb79c95; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00028,16,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,5765d652c8901d324fa64a8ea203121359317279c585a399bf258fa1cef52c08,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=170; rawTagPayloadSha256=5765d652c8901d324fa64a8ea203121359317279c585a399bf258fa1cef52c08; exactTagIdentitySha256=48eada9490a8ddab335af93746a6d84089b8256f2e6c5e0e14ebf5a551828a09; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,17,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,021a25766412aed522b5be941a38443a02e81c31b17e71048af4ebc1d3607e5d,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=166; rawTagPayloadSha256=021a25766412aed522b5be941a38443a02e81c31b17e71048af4ebc1d3607e5d; exactTagIdentitySha256=bc91b490f477904731de9a0faad50cbec170049b29ba049f1403cc1956b2d91a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00030,18,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,05ac26a26a5c9faef0f723a7bceb4dc26537c7dbfa87f268bd6e527c7c76173f,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=34; rawTagPayloadSha256=05ac26a26a5c9faef0f723a7bceb4dc26537c7dbfa87f268bd6e527c7c76173f; exactTagIdentitySha256=5f08f740d9620e1776c1f5c3c0860aed2a6c571feefa1f12dd8a3e0403689612; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00031,19,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,649e789bb915579efc19b7716086466e7ccb70ef8f2148edd6639fa73ca58bb7,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=189; rawTagPayloadSha256=649e789bb915579efc19b7716086466e7ccb70ef8f2148edd6639fa73ca58bb7; exactTagIdentitySha256=86423d19ff8cd154341e76f35d28cfc440b20d460718d76c8e87e01c54a64d68; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00032,20,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,b9b7379b7fcc7742daa0515c0e354677e54334f1acd62411f831f8a6ba67e7aa,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=25; rawTagPayloadSha256=b9b7379b7fcc7742daa0515c0e354677e54334f1acd62411f831f8a6ba67e7aa; exactTagIdentitySha256=7276e60f12f0e04ba4a07cca4a3f159da9fd78191df750ce67e3c495a26a7b1b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00033,21,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,497e1d643cbc37687fd2885ab169dd1ec39b46d37e7d9b6fbccf03b1478f4883,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=199; rawTagPayloadSha256=497e1d643cbc37687fd2885ab169dd1ec39b46d37e7d9b6fbccf03b1478f4883; exactTagIdentitySha256=bde93bb8223d3b6e6b82060f2714678f5686fcf9219791abac1450734db01280; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00034,22,Arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,dbdd7646fe8572b39132ad99473692d90395676c0f528c75c8fe2fa643406290,DefineFont2,,10,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=34; payloadBytes=979; rawTagPayloadSha256=dbdd7646fe8572b39132ad99473692d90395676c0f528c75c8fe2fa643406290; exactTagIdentitySha256=1761b6dd92114df7442d94244671a13fff7c0cc61fe51e3bf60d12b2baba0ab3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00035,23,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,6d95ff8e5bbd60eafd8494ab6532f94b12a72cec66a4e430c40e4f424fa8bd9a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=25; rawTagPayloadSha256=6d95ff8e5bbd60eafd8494ab6532f94b12a72cec66a4e430c40e4f424fa8bd9a; exactTagIdentitySha256=6999f7484b46d3df70751dae35f6d11d12a3c1763d4dc34cc519f194b7fed8c7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00036,24,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,f93fe75fd7382a63b0705c25edf1e93daadc949d2bb4d2c7faae97768dae12d5,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=25; rawTagPayloadSha256=f93fe75fd7382a63b0705c25edf1e93daadc949d2bb4d2c7faae97768dae12d5; exactTagIdentitySha256=bab57e06df077e7be032eb39b9d9d398d84eafecc213ee4683ef40e641201c84; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
