asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,12acc92928a3f1efdb23077060a13fe96aa2616bad77f00462ac488af3f891ea,DefineFont2,,38,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2636; rawTagPayloadSha256=12acc92928a3f1efdb23077060a13fe96aa2616bad77f00462ac488af3f891ea; exactTagIdentitySha256=f878c349221ca7770df5dc2bbf916efec7c27ad780189428163a2f74b20967f9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,f8fe38d1899fc95ed04eccf44c026dbed7234acda9e5f37a5cc50bedc327ef76,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=122; rawTagPayloadSha256=f8fe38d1899fc95ed04eccf44c026dbed7234acda9e5f37a5cc50bedc327ef76; exactTagIdentitySha256=cc7c000a36e0275297edf03ca6648e134597d08c6a5a0d590532128a076cfae6; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,3781fdfdc140cd2281df627d4fc6fb16d10cbb083dc3d49851852d8da277a3c5,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2851; rawTagPayloadSha256=3781fdfdc140cd2281df627d4fc6fb16d10cbb083dc3d49851852d8da277a3c5; exactTagIdentitySha256=05d7b3e19c942d94ccdb37d69e954979eb531563f7f9ec861eff8f027ac75373; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,4,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,6e51a43bb7601e989862a4931843f149912aaa476a06782401a16607ecaf390d,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=79; rawTagPayloadSha256=6e51a43bb7601e989862a4931843f149912aaa476a06782401a16607ecaf390d; exactTagIdentitySha256=1eda7745b89c36a9833e5df635a4fceca4bc2fdc357657ae338df1cc9a9066fb; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,975fd2ccdbaa9a84aad913e7665f058bbd5a3c058b5732b014336642526b8ea8,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=34; rawTagPayloadSha256=975fd2ccdbaa9a84aad913e7665f058bbd5a3c058b5732b014336642526b8ea8; exactTagIdentitySha256=2a1b982952c15f50c3d6e5983e4e540c25c8ea911fa4b398d6586535178e295e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,b8627913883da55b61c0a9a66a2332adf4b7939a3b392e7a15f7347993e12288,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=191; rawTagPayloadSha256=b8627913883da55b61c0a9a66a2332adf4b7939a3b392e7a15f7347993e12288; exactTagIdentitySha256=048480de78c7eee673520a3f36a999e55dde173f759fb05b0c53fbed752b330d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,888f205446113b7f1fdbf3629df6c9ba2ee098bab6b32056fc24d16bd6aed4b7,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=31; rawTagPayloadSha256=888f205446113b7f1fdbf3629df6c9ba2ee098bab6b32056fc24d16bd6aed4b7; exactTagIdentitySha256=df47aad14f3ef0117343586001c8d0beb387f0e9b6650389a31aab6cd88592c0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,8,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,b43aeb4409fe66bf7017030e349b78b95480c5eecb40023991db66f1d5c5d9d0,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=175; rawTagPayloadSha256=b43aeb4409fe66bf7017030e349b78b95480c5eecb40023991db66f1d5c5d9d0; exactTagIdentitySha256=a922a22f6f715e1ac1eeccae437fb90906a32078f5ba828c58f4a0b6068863a6; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,9,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,e9897d9834fcb51c7ed22f2aa5f15540ef15594f70a67ccdbef29015cebaaf4d,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=175; rawTagPayloadSha256=e9897d9834fcb51c7ed22f2aa5f15540ef15594f70a67ccdbef29015cebaaf4d; exactTagIdentitySha256=9b816c43cd6696c0c70d74e558768e78e01d7b11f7e992a31426f4f47957481e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,10,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB07.swf,,,7c538d37a4db0118dd77bbd6d05cfb4bc2915a0bc284555e0cf1903d032140c8,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=34; rawTagPayloadSha256=7c538d37a4db0118dd77bbd6d05cfb4bc2915a0bc284555e0cf1903d032140c8; exactTagIdentitySha256=94f7188065459cfe52027bea3a5c2b605f5f535d20ec4fcf6b4417ac9d824194; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
