asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,e94e01bb8ff1d61a2949c25d433a957ddb6dc1875f4e148891b500a46c2fa1b9,DefineFont2,,38,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2652; rawTagPayloadSha256=e94e01bb8ff1d61a2949c25d433a957ddb6dc1875f4e148891b500a46c2fa1b9; exactTagIdentitySha256=c2d02a60aee09f1a4abc5668f671194c9d5179d7f69127f9412e5db17d7ffb43; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,5bd2bb32ffc0a631d25e3e5f30d786cf87552c9f338c69bfceb819bc128a4835,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=122; rawTagPayloadSha256=5bd2bb32ffc0a631d25e3e5f30d786cf87552c9f338c69bfceb819bc128a4835; exactTagIdentitySha256=2cb079d1e05667da40bf6adf6aae81d4d4146632c248f8a23a4a3b669177ed8f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,c96caf66877cd628d34f1bfc2a8476c37ad37eb04e800cf0282cdb3a6fc70c6c,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2851; rawTagPayloadSha256=c96caf66877cd628d34f1bfc2a8476c37ad37eb04e800cf0282cdb3a6fc70c6c; exactTagIdentitySha256=ed2f853cb4df34ca14141bd217d1b3842ae7ed3d81f9ba6beb91f7d25be00bd7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,4,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,e26b73cd0ec185d85f1da23e45a406976c8a3c7bb0ca72839f08dfcee3b03011,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=79; rawTagPayloadSha256=e26b73cd0ec185d85f1da23e45a406976c8a3c7bb0ca72839f08dfcee3b03011; exactTagIdentitySha256=fd20674ecf3761b4c280964e134ba66b0ed1faa31d4c1dc5858b56c9ad7eb4d0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,5,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,403b0d624a4f42fe3ccdca0adc63284c952c72ca5f31936dc122e0267497deb6,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=40; rawTagPayloadSha256=403b0d624a4f42fe3ccdca0adc63284c952c72ca5f31936dc122e0267497deb6; exactTagIdentitySha256=286ece0f19bdd6632ae897e3301f0fb2402cd3eb5f4440fed5176e9c18f33b7a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,6,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,9142927200e3ee0fde90274affc953331b1f45cb6c176797db482b9bc5ca3a33,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=187; rawTagPayloadSha256=9142927200e3ee0fde90274affc953331b1f45cb6c176797db482b9bc5ca3a33; exactTagIdentitySha256=70212f748d38dd948c812b50531b62284b70eaf5783ff29af1ff3a560d3a77f8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,888f205446113b7f1fdbf3629df6c9ba2ee098bab6b32056fc24d16bd6aed4b7,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=31; rawTagPayloadSha256=888f205446113b7f1fdbf3629df6c9ba2ee098bab6b32056fc24d16bd6aed4b7; exactTagIdentitySha256=df47aad14f3ef0117343586001c8d0beb387f0e9b6650389a31aab6cd88592c0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,8,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,99e83a03028fba12f2c05cdb193ba9560e0c403bc821bb8418a65f92011d1ebf,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=170; rawTagPayloadSha256=99e83a03028fba12f2c05cdb193ba9560e0c403bc821bb8418a65f92011d1ebf; exactTagIdentitySha256=be75665d4188b25dca369489e5b89b02c2cf47415ce12cbc5121218b11430cbc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,9,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,12c902e7daf39c036f7e9194ec6f6073f804f98b45216d9872c987cb0cb0d4ab,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=167; rawTagPayloadSha256=12c902e7daf39c036f7e9194ec6f6073f804f98b45216d9872c987cb0cb0d4ab; exactTagIdentitySha256=baa43358cd0249b3a4911173949a0535dcf7de8481d386f9a88e8ee4b7b1a7ef; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,10,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,6a4bf07996e701ba2d5fb4f87ee62eae0184ee2915c251fdf3e6f219cde3cead,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=166; rawTagPayloadSha256=6a4bf07996e701ba2d5fb4f87ee62eae0184ee2915c251fdf3e6f219cde3cead; exactTagIdentitySha256=8953c9fde98ab8f31739e415f199016a415e94d8f67aa47bbb8d03b0dde5e1a3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,11,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,e5abca46acc091f2ec671b0b0f513d1567583beeb6787d8a9871bc01ecfb4ddb,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=219; rawTagPayloadSha256=e5abca46acc091f2ec671b0b0f513d1567583beeb6787d8a9871bc01ecfb4ddb; exactTagIdentitySha256=004ebd63ac04d66d93024168c136ea2db6ed69dab9acf143895df9b8c10ecd68; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
