asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,bab6150256ce3815b361fd6b834fb5888a2d5da87e195ac17f34249ecfe148bc,DefineFont2,,38,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2820; rawTagPayloadSha256=bab6150256ce3815b361fd6b834fb5888a2d5da87e195ac17f34249ecfe148bc; exactTagIdentitySha256=db8548ea761dff53526411ead147756c1f0e69e1e4a23814f0f773251664976e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00012,2,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,6a92e3c7c6383da6fbe72cf361897cf278b44e320ba927204dad93f93329d298,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=122; rawTagPayloadSha256=6a92e3c7c6383da6fbe72cf361897cf278b44e320ba927204dad93f93329d298; exactTagIdentitySha256=05245a9d8baaaa5cd73bbd870152170732b6bb1ec762451e5556e096de846b8e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00014,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,3edd52c1cf7542e0654ceda75e69878d91ec7de96c1ceee3b944735785a3470b,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=2851; rawTagPayloadSha256=3edd52c1cf7542e0654ceda75e69878d91ec7de96c1ceee3b944735785a3470b; exactTagIdentitySha256=40c470346b4ff399fdd9a26e091bb0e2295bff6039cfb7a0742adc1ebb1fc404; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00016,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,cd5e6bed55e18a081af63fe88ef029d7491da4c36cbb38556c984d8e94d28bef,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=213; rawTagPayloadSha256=cd5e6bed55e18a081af63fe88ef029d7491da4c36cbb38556c984d8e94d28bef; exactTagIdentitySha256=df1f76b4f7be5987e07767770efb0ab5c57378eec3406299e01082f75d3f0f39; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00017,5,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,3c0680521f238806510fe9bc44db3e7090cfb98a0bd1b0c3f6e12d0e18018b52,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=25; rawTagPayloadSha256=3c0680521f238806510fe9bc44db3e7090cfb98a0bd1b0c3f6e12d0e18018b52; exactTagIdentitySha256=288f48b234723af5a0cbf80f232df61f8a9428c03002a9aa8a39fd1f47e28d10; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00018,6,Arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,b0e72d40773018bdad2d306f9849caa506008c6ffc0146472fc5bbae8dbd1725,DefineFont2,,9,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=830; rawTagPayloadSha256=b0e72d40773018bdad2d306f9849caa506008c6ffc0146472fc5bbae8dbd1725; exactTagIdentitySha256=155d774c3109415c40b2c79b07092f38e0d2e5e07f382652bf340f5105ce43db; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00019,7,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,cf3442e58c9a6da4375b9da19f8ba984fab5d62637a5bba12ad1accb056ba04d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=30; rawTagPayloadSha256=cf3442e58c9a6da4375b9da19f8ba984fab5d62637a5bba12ad1accb056ba04d; exactTagIdentitySha256=1a50ca3057eacecd47c7a042d3d39cbcd00a86c8f865822a8f4bf9d75cbe46bf; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00020,8,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,6a74bf98bd37ed41b1c4f0fc574c5c0aa4d46f28cf3400c54554c2731c4d2281,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=30; rawTagPayloadSha256=6a74bf98bd37ed41b1c4f0fc574c5c0aa4d46f28cf3400c54554c2731c4d2281; exactTagIdentitySha256=6e54d1cfe175d200546458b08383b286963a4a1a62d61d76f08bce8c57ddd60c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00021,9,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,85062550c85a947e926579279324a8b064f441a1a78d8d0816e3e8d25662f361,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=30; rawTagPayloadSha256=85062550c85a947e926579279324a8b064f441a1a78d8d0816e3e8d25662f361; exactTagIdentitySha256=3b649cab864307e483b5d7c9bbd5fb761785f529f4fd078e7d6b2b2764988e1e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00022,10,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,98ba3752381d1d87885543222a0962d501bfee07791689fb599c0eb9b954b17a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=30; rawTagPayloadSha256=98ba3752381d1d87885543222a0962d501bfee07791689fb599c0eb9b954b17a; exactTagIdentitySha256=24766c22c60f3d99b94b5f01d88e2739e73ba9a6964b3d29d95abc411f4ba9cb; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,11,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,8b30eb0cd8849d5a21484d66ff3df0242376c23579b94d35bcee639b48225ff5,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=30; rawTagPayloadSha256=8b30eb0cd8849d5a21484d66ff3df0242376c23579b94d35bcee639b48225ff5; exactTagIdentitySha256=9ebde8e325c79cddd8c77faba15da3364615318fff8b9b883559e9d098118bad; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00024,12,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB11.swf,,,d709ccbfee1c4f8c38ab33f6f9a54ace5d4065e72700f9d55e953745bb003b50,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=30; rawTagPayloadSha256=d709ccbfee1c4f8c38ab33f6f9a54ace5d4065e72700f9d55e953745bb003b50; exactTagIdentitySha256=ee94bf89666d16f51916c44fb3825941178c75148d40ae5708fb4ab9e2039af3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
