asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
sprite-334,334,animation,vector-morph-button-timeline,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L13/RW/L13RW02.swf,1-1873,work/course-assets/course-g05-l13-rw-002-main-canvas/DefineSprite_334/frames.html,c94e288ba292a9a8b5db432ce4d538e2cf0c165de2babd71741ba7c5445df9e6,FFDec Canvas HTML,source drawing bounds,,"one-indexed local frame n maps to zero-indexed export frame n-1; stage render offset (-349.75,-689.15)",machine-extracted,owner-provided SWF,"Structural drawing source only; runtime click transition and post-673 reachability are not proven"
safe-canvas-runtime,334,animation,generated-deterministic-canvas-adapter,work/course-assets/course-g05-l13-rw-002-main-canvas/DefineSprite_334/frames.html,1-1873,public/flash-assets/courses/course-g05-l13-rw-002/canvas-renderer.js,74c68ad3a5988f9a11f580d958ca6666380a7a87c905afd8eb93bf8f133ba8b3,JavaScript,800x600 backing canvas,,"local static drawing adapter; en/es preserve identical untranslated source pixels; no AVM1 execution timers network or storage",engineering-candidate,derived from owner-provided SWF,"Modern module directly addresses source drawings 1-1873 in en/es; not a natural child traversal translation audio or strict implementation"
bilingual-visual-disposition,334,animation,source-shared-bilingual-visual-disposition,migrations/course-g05-l13-rw-002/audit/machine/ffdec-scripts.txt.gz,root:1-10 and sprite-334:1-1873,migrations/course-g05-l13-rw-002/audit/bilingual-visual-source-disposition.json,91df6c655b59d01c9aff48e25df044be20463e70aa456de1eec3be15cf04162d,JSON,en/es source-shared visual,,"binds child scripts host contract minimal tree placement scenario static disposition Canvas and root assets",source-derived-audit,derived from owner-provided SWF,"All translation audio original-runtime full-frame RMSE human owner and strict acceptance effects remain false"
root-frame-manifest,root,root,source-runtime-root-frame-implementation-manifest,migrations/course-g05-l13-rw-002/baseline/adobe-flash-player-32-standalone-default.json,1-10,public/flash-assets/courses/course-g05-l13-rw-002/root-frames/manifest.json,c214b72920581f5c91be49819198719fd744756ea10a42f63e2db42cccd0e946,JSON,10 frames,,"hash-bound standalone English root-frame asset mapping",source-runtime-evidence,derived from owner-provided SWF,"Captured authority remains English standalone only; modern en/es contexts reuse the same untranslated source pixels; strict effect none"
root-frame-0001,root,root,source-runtime-root-frame,migrations/course-g05-l13-rw-002/baseline/adobe-flash-player-32-standalone-default.json,1,public/flash-assets/courses/course-g05-l13-rw-002/root-frames/frame-0001.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0002,root,root,source-runtime-root-frame,migrations/course-g05-l13-rw-002/baseline/adobe-flash-player-32-standalone-default.json,2,public/flash-assets/courses/course-g05-l13-rw-002/root-frames/frame-0002.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0003,root,root,source-runtime-root-frame,migrations/course-g05-l13-rw-002/baseline/adobe-flash-player-32-standalone-default.json,3,public/flash-assets/courses/course-g05-l13-rw-002/root-frames/frame-0003.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0004,root,root,source-runtime-root-frame,migrations/course-g05-l13-rw-002/baseline/adobe-flash-player-32-standalone-default.json,4,public/flash-assets/courses/course-g05-l13-rw-002/root-frames/frame-0004.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0005,root,root,source-runtime-root-frame,migrations/course-g05-l13-rw-002/baseline/adobe-flash-player-32-standalone-default.json,5,public/flash-assets/courses/course-g05-l13-rw-002/root-frames/frame-0005.png,a2dee8a9e10c4b5d4e4b683a4e3a534ea7614945479167b6c08de75c4bbc0aea,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
root-frame-0006,root,root,source-runtime-root-frame,migrations/course-g05-l13-rw-002/baseline/adobe-flash-player-32-standalone-default.json,6,public/flash-assets/courses/course-g05-l13-rw-002/root-frames/frame-0006.png,b836aab921b6ef25695f8303139d3864d0a5ef9c76bb0813e35cc726b06e9982,PNG,800x600,,"byte-identical copy of lossless deterministic-step capture",source-runtime-evidence,derived from owner-provided SWF,"Standalone English root visual only"
