frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,0.000,default,en,static,initial teaching composition,initial load,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-001.png,99f26fa3b9013b0caa0177d143410228ff1a388d5aa225b20ead8c8e0798ce4f,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
10,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,750.000,default,en,static,last resting frame,source frame 10 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-010.png,99f26fa3b9013b0caa0177d143410228ff1a388d5aa225b20ead8c8e0798ce4f,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
11,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,833.333,default,en,transition,carton motion begins,source frame 11 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-011.png,50f4355fa337462a6dcd926c90387fd4f8b6dd6101ce25c34ba82db7dd3a866b,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
16,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,1250.000,default,en,transition,pour begins,source frame 16 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-016.png,f380adb5dbffd9299f801cf693f568e9f6de03492350fcaf02013f95d2e74034,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
39,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3166.667,default,en,transition,pour remains visible at boundary,source frame 39 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-039.png,b5e233dcf5aebeeff2cfb062a490dacced18c659d5c1bb1773e4026f8f4c21bf,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
40,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3250.000,default,en,transition,carton return begins,source frame 40 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-040.png,5946e071ef97c82b0e01175fe7e1f969f48f040c29e71d99a79749b5ac3f0cf7,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
45,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3666.667,default,en,transition,carton returns to source matrix,source frame 45 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-045.png,0ab878684acbaac19f41f3acd3239b3cef387b1ceeaf83a97436accf11067e86,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
46,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3750.000,default,en,static,resting state restored,source frame 46 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-046.png,0ab878684acbaac19f41f3acd3239b3cef387b1ceeaf83a97436accf11067e86,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
47,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3833.333,default,en,transition,ounce callout fade begins,source frame 47 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-047.png,42e9b9969eb612357e59d356d8a5c48f1eb91f0be8f07752360eb3832ea42a9d,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
52,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4250.000,default,en,transition,first ActionScript-cleared blank frame,source frame 52 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-052.png,265a8a05139fb1e179e913a6a600605856f8be7533781f5a07c90bff829460d4,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
