frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,0.000,default,en,static,Initial bilingual title and horizontal AB ray with AC at its start angle,initial load,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-en/frame-001.png,02c30ba36b698409aa6f1bcf91d4ff9ee01f8ff4e0b63c660f05b9fb0c32c897,,,,,,,,"Engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
26,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,2083.333,default,en,transition,Moving AC ray reaches the dotted vertical guide,source frame 26,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-en/frame-026.png,eb4fa8f3f0d44d2dde419547ee197e17b83b53c05a04d8e6873d1540be981d5a,,,,,,,,"Exact one-indexed vertical-ray boundary. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
33,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,2666.667,default,en,transition,AC ray has passed the vertical return boundary,source frame 33,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-en/frame-033.png,8c1b7b8912518c0fe872bcb2022ea421abb3d2418200172a56ea3cf1884918b8,,,,,,,,"No one-frame timing offset is visible in engineering prereview. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
43,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3500.000,default,en,transition,Maximum numeric-difference motion frame with all geometry present,source frame 43,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-en/frame-043.png,2e67388145f399bf25a4e51df4bada89bfaa3f8596a336aeb6339cac6caecd53,,,,,,,,"Maximum RMSE remains below the assigned 0.08 transition threshold. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
60,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4916.667,default,en,static,Terminal composition returns to the frame-1 geometry,source frame 60,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-en/frame-060.png,02c30ba36b698409aa6f1bcf91d4ff9ee01f8ff4e0b63c660f05b9fb0c32c897,,,,,,,,"Terminal child visual only; audio completion is not proved. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,0.000,default,es,static,Language-neutral child visual at initial frame,Spanish product context,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-es/frame-001.png,02c30ba36b698409aa6f1bcf91d4ff9ee01f8ff4e0b63c660f05b9fb0c32c897,,,,,,,,"Does not prove original-host Spanish title definition or audio. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
26,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,2083.333,default,es,transition,Language-neutral AC ray reaches the vertical guide,Spanish product context frame 26,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-es/frame-026.png,eb4fa8f3f0d44d2dde419547ee197e17b83b53c05a04d8e6873d1540be981d5a,,,,,,,,"Spanish narration remains blocked by missing SAD source. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
33,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,2666.667,default,es,transition,Language-neutral AC ray passes the return boundary,Spanish product context frame 33,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-es/frame-033.png,8c1b7b8912518c0fe872bcb2022ea421abb3d2418200172a56ea3cf1884918b8,,,,,,,,"Visual-only evidence. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
43,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,3500.000,default,es,transition,Language-neutral maximum numeric-difference motion frame,Spanish product context frame 43,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-es/frame-043.png,2e67388145f399bf25a4e51df4bada89bfaa3f8596a336aeb6339cac6caecd53,,,,,,,,"Visual-only evidence below transition threshold. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
60,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,4916.667,default,es,static,Language-neutral terminal child composition,Spanish product context frame 60,,,output/playwright/schema-v4-queue/keyterm-elementary-acute-angle-v3/req-root-default-es/frame-060.png,02c30ba36b698409aa6f1bcf91d4ff9ee01f8ff4e0b63c660f05b9fb0c32c897,,,,,,,,"Missing Spanish SAD narration prevents strict bilingual acceptance. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
