asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00003,1,,sound,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,d99d9d9e60b33b4c7c95a7776fec5eb97c789c17fbe16c3f32a7c536031af564,DefineSound,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=3; payloadBytes=73698; exactTagIdentitySha256=4beecc5fb5b7e4456564f29996f5cdcf55bec4e57281d65870baf359e9bc272c; declaredSampleCount=202752; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00005,2,,sound,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,d6dc00975b2f298b2e340042f58002095778c8b3b9a7dda71209b1f9d6aa4c4c,DefineSound,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=5; payloadBytes=323219; exactTagIdentitySha256=14d66e5959492b13ab5fdc0bb0edf292980e91a2c16b12148ec0e83dd6c45d90; declaredSampleCount=890496; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00007,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,1f2851a6197385c5b0a22c2ed4a59fe5e3e7c2240363bacf3c58490666ef3ff2,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=7; payloadBytes=54; exactTagIdentitySha256=59e1bf3d3ac3487b08979106a079af5b1b0669fb5750d0bb2be0318fd2f9b3d1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00008,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,2efda54c48a199e53e2cbb4932dde8edae9ac07559a63a9d3ec7478a9c66ef4a,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=8; payloadBytes=34; exactTagIdentitySha256=3e64c956fad60f961550e2ca06da2718986de44c376ff150259e5121d61c242c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00009,5,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,a1e15a6607678ceb6978ffe909e72f237226f7d4da2566101dadcda8ca8f6944,DefineButton2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=9; payloadBytes=20; exactTagIdentitySha256=a95da9aba88594e17312c330946eb567393bf1a1c4f953f33b76b1ebec881c65; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00011,6,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,f87cdea4d7a0049fe936b9b37be7c07ef2eebe3a7547e09b297cc81d9d1c5c81,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=37; exactTagIdentitySha256=839a3ab1c4116886268a3042fb119790331df157d90f4cc085b5a75a0369df5f; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00018,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,9f72fb018704c4cafc20c37cfab3f015aa7c9f15f543005890e8bfb9667fb3aa,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=28; exactTagIdentitySha256=935b56e6aad2420a8e0b946f29cbd74a4b7c0f56533c3e959cb81ddfe82dae2c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00019,8,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,4b1bdc9dcd7998fe71f3b6dfc1f71cda16c0c5baf4edc378e65398f18432de78,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=22; exactTagIdentitySha256=c750a46e937a211c5b117ec7d33f12ecbbd89ea2f652302289fcf04690a77a88; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00024,9,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,7a7feac4cb2b15ba6d31514a27ab2cc5a7cd1d6dd6edd6cf87a8e883231eb2ed,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=39; exactTagIdentitySha256=111d31a40d599919a64c02fe94116f867b162e5a8015aa811ad1a6df8b5e056b; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00025,10,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,f07b12760923a3ffbbf7dd3926956fb6354c21ad7cf236c9df3dfdc3122ef5dc,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=22; exactTagIdentitySha256=788ebf6c078be467efb08b4d92dedb424958011f062e1566def8c38e244d9579; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00030,11,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,43e2879cea3154d2c6672ba3d457c610814d89e8c068f37bb5206a699d574a68,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=32; exactTagIdentitySha256=23f17a4cfc8ddb8f949fa76c22e36ea6a610c8daca717f82d899444a95dde4b0; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00031,12,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,f40b90f179e0e9fbdaa4461056aff5f8651d97bcc5cf42f163c3a269afc10702,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=22; exactTagIdentitySha256=fe5ab588b5c058142a305bed0a2399a2da2e237a902e570ee8f08378e31f1b20; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00036,13,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,eb5ef7a393d434c972e71710302f8564d8a4bd37fe2784e856df502fc07dbe38,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=33; exactTagIdentitySha256=b67257cff768f0a74aa016f431a10cd8e153f484df24f8380f9c305fbaa64c4a; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00037,14,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,f82cbb85a2d666d2ab1232ab3503707a73e8fc60d036be21363293ca1fa51f4c,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=22; exactTagIdentitySha256=1f1fbfcc95d8664438f5b03c5df01f5905ef2d11688602d0d2746be73da91fea; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00042,15,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,9dd00501a6294092fecad9938e6bf1ffd1568cc1270fa91f38d4383f9b32b54d,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=42; payloadBytes=33; exactTagIdentitySha256=489cea0bcf9fd39703b572b90c736940ab4da359302a046b812b77a8031beaaa; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00043,16,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,e82c30a91cc6f131258f56e6216e590b67f1953b8b6473e4745c92b72fbd774a,DefineSprite,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=43; payloadBytes=22; exactTagIdentitySha256=47a6c71745eaa4aad47ae63bb84165a16726c6bfe2fff1e14448a989f8e7b7ae; declaredFrameCount=1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00048,17,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/index_local.swf,,,4ae8bcf5ac8661d7f2471dbd5569b1ed5ca9bdcd994c746ab732bd8c6d925dec,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=33; exactTagIdentitySha256=bab9817a85834f9ed5e41502a4f4a31914fe72ea0c2259728fe9be13cbe71541; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
