frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,0,default,en,interaction,source-derived structural candidate; directReasons=initial-one-indexed-frame|structural-action:DoInitAction; controlStates=14; interactionInstances=1; events=release; categories=side-effect; sourceTimelineCount=7; projectionSha256=41ee3137a57a250da0225097bc0f5e6335bf8e1fcd8fbfc1468ba3f458a3d6d5,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
1,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,0,default,es,interaction,source-derived structural candidate; directReasons=initial-one-indexed-frame|structural-action:DoInitAction; controlStates=14; interactionInstances=1; events=release; categories=side-effect; sourceTimelineCount=7; projectionSha256=41ee3137a57a250da0225097bc0f5e6335bf8e1fcd8fbfc1468ba3f458a3d6d5,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
2,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,83.333333,default,en,static,source-derived structural candidate; directReasons=exported-action-script|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=665e309fecea87bc82d6f585c0bb33f28a04a89d293af28e8fda6745ee8750d4,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
2,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,83.333333,default,es,static,source-derived structural candidate; directReasons=exported-action-script|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=665e309fecea87bc82d6f585c0bb33f28a04a89d293af28e8fda6745ee8750d4,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
35,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,2833.333333,default,en,authored-stop,source-derived structural candidate; directReasons=exported-action-script|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=6f2ca56e637fdf4723a7af997bd6328624a72cc4f91ebc120231f84fa0a06682,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
35,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,2833.333333,default,es,authored-stop,source-derived structural candidate; directReasons=exported-action-script|script-stop-state|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=6f2ca56e637fdf4723a7af997bd6328624a72cc4f91ebc120231f84fa0a06682,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
37,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,3000,default,en,static,source-derived structural candidate; directReasons=exported-action-script|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=82bc04439c614c32cd609a39f67efd63a9d956f802f4d1ee5daf2035fb03d1e6,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
37,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,3000,default,es,static,source-derived structural candidate; directReasons=exported-action-script|structural-action:DoAction; controlStates=1; interactionInstances=0; events=none; categories=none; sourceTimelineCount=1; projectionSha256=82bc04439c614c32cd609a39f67efd63a9d956f802f4d1ee5daf2035fb03d1e6,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
38,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,3083.333333,default,en,static,source-derived structural candidate; directReasons=exported-action-script; controlStates=6; interactionInstances=0; events=none; categories=none; sourceTimelineCount=4; projectionSha256=ca1befb89d0038612482d5a55122efaffd5e06f6f987b26c71346923e54aa69f,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
38,req-default-root-es,root,default-root-es,4e4bcf0390c6fd9bb1539b0c26a8555d9e4034ef5c591548bdb1f9a506f70067,3083.333333,default,es,static,source-derived structural candidate; directReasons=exported-action-script; controlStates=6; interactionInstances=0; events=none; categories=none; sourceTimelineCount=4; projectionSha256=ca1befb89d0038612482d5a55122efaffd5e06f6f987b26c71346923e54aa69f,static-source-control-state,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
49,req-default-root-en,root,default-root-en,bf209e3302a76c14fff3e7e12f6fdc0f9bc01d4934aadd03334b5c3cf61b7cf1,4000,default,en,interaction,source-derived structural candidate; directReasons=event-handler:release|exported-action-script|frame-label:start|script-stop-state|structural-action:DoAction; controlStates=402; interactionInstances=43; events=release|rollOut|rollOver; categories=audio-control|calculator|drag|glossary-or-hyperlink|navigation-or-timeline|popup|replay-explicit|side-effect|terminal-or-result; sourceTimelineCount=21; projectionSha256=85fa87974f8772174548423d74d7d7110d04207f74899926c9e07a77dfb7fdae,static-source-interaction-obligation,,,,,,,,pending-authoritative-original-runtime,pending-authoritative-original-runtime,migrations/shell-course-g05-l04-index-local/audit/scenario-inventory.json#source-derived-candidate,,"Static source-derived candidate only: the row frame is a declared pending coverage-domain structural anchor, not an observed runtime frame. The language value binds the existing pending coverage identity only; no bilingual visual or audio result is asserted. Baseline PNG, runtime authority, interaction causality, implementation capture, RMSE, human review, Owner acceptance, strict completion, and publication remain absent. Product/structural candidate boundary: nested source facts are aggregated only at a source-proven declared-domain entry anchor and do not create a canonical nested runtime domain."
